Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,38.12431,,1.758495,,0.004220394,XLK,USD,ETF
2025-09-06,37.788925,,1.7599678,,0.004199665,XLK,USD,ETF
2025-09-07,37.788925,,1.7599678,,0.004199665,XLK,USD,ETF
2025-09-08,37.788925,,1.7599678,,0.004199665,XLK,USD,ETF
2025-09-09,38.072136,,1.7731578,,0.00419615,XLK,USD,ETF
2025-09-10,38.145454,,1.7765726,,0.0041649365,XLK,USD,ETF
2025-10-31,42.081684,,2.01319,,0.0036718932,XLK,USD,ETF
2025-11-07,40.32945,,1.929363,,0.0038144973,XLK,USD,ETF
2025-11-10,41.008232,,1.961836,,0.0037322778,XLK,USD,ETF
2025-11-11,41.13559,,1.9679289,,0.0037643767,XLK,USD,ETF
2025-11-12,40.10972,,1.9188511,,0.0037527217,XLK,USD,ETF
2025-11-13,40.32805,,1.929296,,0.003848704,XLK,USD,ETF
2025-11-14,39.696854,,1.8990996,,0.0038278676,XLK,USD,ETF
2025-11-18,39.32317,,1.8812226,,0.00395298,XLK,USD,ETF
2025-11-19,38.088768,,1.8221687,,0.0039256862,XLK,USD,ETF
2025-11-20,38.23572,,1.8291991,,0.0040529124,XLK,USD,ETF
2025-11-21,39.146828,,1.8727863,,0.004037335,XLK,USD,ETF
2025-11-24,39.251793,,1.8778079,,0.00394337,XLK,USD,ETF
2025-11-25,39.716446,,1.9000368,,0.003932825,XLK,USD,ETF
2025-11-26,40.057934,,1.9163738,,0.003886814,XLK,USD,ETF
2025-11-28,40.07613,,1.9172442,,0.0038536792,XLK,USD,ETF
2025-12-01,40.488995,,1.9369957,,0.0038519294,XLK,USD,ETF
2025-12-02,40.585564,,1.9416156,,0.0038126516,XLK,USD,ETF
2025-12-03,40.736717,,1.9488468,,0.0038035796,XLK,USD,ETF
2025-12-04,20.517412,,0.9815541,,0.007578933,XLK,USD,ETF
2025-12-05,40.91964,,0.9884504,,0.0075238743,XLK,USD,ETF
2025-12-08,41.02774,,0.9910616,,0.007471381,XLK,USD,ETF
2025-12-09,39.97194,,0.99581534,,0.007451696,XLK,USD,ETF
2025-12-10,39.767685,,0.9907268,,0.0074161235,XLK,USD,ETF
2025-12-11,38.617416,,0.9620703,,0.007454214,XLK,USD,ETF
2025-12-12,38.243847,,0.9527636,,0.0076762475,XLK,USD,ETF
2025-12-15,38.31372,,0.9545044,,0.00775123,XLK,USD,ETF
2025-12-16,37.461765,,0.9332798,,0.0077370936,XLK,USD,ETF
2025-12-17,38.03959,,0.947675,,0.00791305,XLK,USD,ETF
2025-12-19,38.861984,,0.9681632,,0.007792851,XLK,USD,ETF
2025-12-22,39.2248,,0.977202,,0.007598512,XLK,USD,ETF
2025-12-23,39.318867,,0.9795454,,0.0075573833,XLK,USD,ETF
2025-12-24,39.380676,,0.98108536,,0.007539303,XLK,USD,ETF
2025-12-26,39.2033,,0.97666633,,0.007527469,XLK,USD,ETF
2025-12-29,39.079674,,0.9735865,,0.007561528,XLK,USD,ETF
2025-12-30,38.692665,,0.963945,,0.007585448,XLK,USD,ETF
2026-01-06,39.412926,,0.9818888,,0.0076268846,XLK,USD,ETF
2026-01-07,38.371326,,0.9657528,,0.007527469,XLK,USD,ETF
2026-01-08,38.87943,,0.9785411,,0.0076469774,XLK,USD,ETF
2026-01-09,38.87943,,0.9785411,,0.0076268846,XLK,USD,ETF
2026-01-12,39.049686,,0.9828261,,0.0075470414,XLK,USD,ETF
2026-01-13,38.493694,,0.9688327,,0.0075300387,XLK,USD,ETF
2026-01-14,38.695877,,0.97392124,,0.007622668,XLK,USD,ETF
2026-01-15,38.738438,,0.97499245,,0.0075828405,XLK,USD,ETF
2026-01-16,37.732864,,0.94968367,,0.0075745094,XLK,USD,ETF
2026-01-20,38.256935,,0.9628737,,0.0077763684,XLK,USD,ETF
2026-01-21,38.54158,,0.9700379,,0.007669843,XLK,USD,ETF
2026-01-22,38.597446,,0.9714439,,0.007613197,XLK,USD,ETF
2026-01-23,38.86081,,0.9780724,,0.0076021785,XLK,USD,ETF
2026-01-26,39.384876,,0.9912625,,0.0075506573,XLK,USD,ETF
2026-01-27,39.698784,,0.9991631,,0.0074501857,XLK,USD,ETF
2026-01-28,39.07097,,0.9833618,,0.007391276,XLK,USD,ETF
2026-01-29,38.27556,,0.9633424,,0.0075100437,XLK,USD,ETF
2026-02-02,37.796715,,0.9512906,,0.0075932816,XLK,USD,ETF
2026-02-03,36.743256,,0.92477655,,0.007763232,XLK,USD,ETF
2026-02-04,35.883537,,0.9081049,,0.00798581,XLK,USD,ETF
2026-02-05,37.33867,,0.9449299,,0.00813242,XLK,USD,ETF
2026-02-06,37.926014,,0.95979387,,0.00781549,XLK,USD,ETF
2026-02-09,36.066845,,0.95443743,,0.007694454,XLK,USD,ETF
2026-02-10,36.17311,,0.9572495,,0.007737636,XLK,USD,ETF
2026-02-11,35.221786,,0.93207467,,0.0077149053,XLK,USD,ETF
2026-02-12,35.310337,,0.934418,,0.007923282,XLK,USD,ETF
2026-02-13,35.290096,,0.93388236,,0.007903411,XLK,USD,ETF
2026-02-17,35.651905,,0.9434569,,0.007907945,XLK,USD,ETF
2026-02-18,35.474796,,0.9387701,,0.007827692,XLK,USD,ETF
2026-02-19,35.644314,,0.9432561,,0.007866771,XLK,USD,ETF
2026-02-20,35.047207,,0.92745477,,0.007829359,XLK,USD,ETF
2026-02-23,35.50263,,0.93950665,,0.007962749,XLK,USD,ETF
2026-02-24,36.183228,,0.9575173,,0.007860605,XLK,USD,ETF
2026-02-25,35.677204,,0.9441264,,0.007712748,XLK,USD,ETF
2026-02-26,35.10793,,0.92906165,,0.007822141,XLK,USD,ETF
2026-02-27,35.305275,,0.9342841,,0.007948977,XLK,USD,ETF
2026-03-02,34.789135,,0.9206254,,0.0079045445,XLK,USD,ETF
2026-03-03,35.38118,,0.9362927,,0.0080218185,XLK,USD,ETF
2026-03-04,36.96067,,0.9385692,,0.007887586,XLK,USD,ETF
