REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
AT,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
AT,2002-01,GASDIES,CLOSTLV,KBBL,2931.7800,1
AT,2002-01,GASDIES,CLOSTLV,KBD,x,3
AT,2002-01,GASDIES,CLOSTLV,KL,466.1166,1
AT,2002-01,GASDIES,CLOSTLV,KTONS,393.0000,1
AT,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
AT,2002-01,GASDIES,IPTRANSF,KBBL,,3
AT,2002-01,GASDIES,IPTRANSF,KBD,,3
AT,2002-01,GASDIES,IPTRANSF,KL,,3
AT,2002-01,GASDIES,IPTRANSF,KTONS,,3
AT,2002-01,GASDIES,PTRANSF,CONVBBL,,3
AT,2002-01,GASDIES,PTRANSF,KBBL,,3
AT,2002-01,GASDIES,PTRANSF,KBD,,3
AT,2002-01,GASDIES,PTRANSF,KL,,3
AT,2002-01,GASDIES,PTRANSF,KTONS,,3
AT,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
AT,2002-01,GASDIES,RECEIPTS,KBBL,,3
AT,2002-01,GASDIES,RECEIPTS,KBD,,3
AT,2002-01,GASDIES,RECEIPTS,KL,,3
AT,2002-01,GASDIES,RECEIPTS,KTONS,,3
AT,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
AT,2002-01,GASDIES,REFGROUT,KBBL,2663.2200,1
AT,2002-01,GASDIES,REFGROUT,KBD,85.9103,1
AT,2002-01,GASDIES,REFGROUT,KL,423.4189,1
AT,2002-01,GASDIES,REFGROUT,KTONS,357.0000,1
AT,2002-01,GASDIES,STATDIFF,CONVBBL,,3
AT,2002-01,GASDIES,STATDIFF,KBBL,,3
AT,2002-01,GASDIES,STATDIFF,KBD,,3
AT,2002-01,GASDIES,STATDIFF,KL,,3
AT,2002-01,GASDIES,STATDIFF,KTONS,,3
AT,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
AT,2002-01,GASDIES,STOCKCH,KBBL,67.1400,1
AT,2002-01,GASDIES,STOCKCH,KBD,x,3
AT,2002-01,GASDIES,STOCKCH,KL,10.6744,1
AT,2002-01,GASDIES,STOCKCH,KTONS,9.0000,1
AT,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
AT,2002-01,GASDIES,TOTDEMO,KBBL,4117.9200,1
AT,2002-01,GASDIES,TOTDEMO,KBD,132.8361,1
AT,2002-01,GASDIES,TOTDEMO,KL,654.6981,1
AT,2002-01,GASDIES,TOTDEMO,KTONS,552.0000,1
AT,2002-01,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
AT,2002-01,GASDIES,TOTEXPSB,KBBL,268.5600,1
AT,2002-01,GASDIES,TOTEXPSB,KBD,8.6632,1
AT,2002-01,GASDIES,TOTEXPSB,KL,42.6977,1
AT,2002-01,GASDIES,TOTEXPSB,KTONS,36.0000,1
AT,2002-01,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
AT,2002-01,GASDIES,TOTIMPSB,KBBL,1805.3200,1
AT,2002-01,GASDIES,TOTIMPSB,KBD,58.2361,1
AT,2002-01,GASDIES,TOTIMPSB,KL,287.0234,1
AT,2002-01,GASDIES,TOTIMPSB,KTONS,242.0000,1
AT,2002-02,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
AT,2002-02,GASDIES,CLOSTLV,KBBL,3110.8200,1
AT,2002-02,GASDIES,CLOSTLV,KBD,x,3
AT,2002-02,GASDIES,CLOSTLV,KL,494.5817,1
AT,2002-02,GASDIES,CLOSTLV,KTONS,417.0000,1
AT,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
AT,2002-02,GASDIES,IPTRANSF,KBBL,,3
AT,2002-02,GASDIES,IPTRANSF,KBD,,3
AT,2002-02,GASDIES,IPTRANSF,KL,,3
AT,2002-02,GASDIES,IPTRANSF,KTONS,,3
AT,2002-02,GASDIES,PTRANSF,CONVBBL,,3
AT,2002-02,GASDIES,PTRANSF,KBBL,,3
AT,2002-02,GASDIES,PTRANSF,KBD,,3
AT,2002-02,GASDIES,PTRANSF,KL,,3
AT,2002-02,GASDIES,PTRANSF,KTONS,,3
AT,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
AT,2002-02,GASDIES,RECEIPTS,KBBL,,3
AT,2002-02,GASDIES,RECEIPTS,KBD,,3
AT,2002-02,GASDIES,RECEIPTS,KL,,3
AT,2002-02,GASDIES,RECEIPTS,KTONS,,3
AT,2002-02,GASDIES,REFGROUT,CONVBBL,7460.0000,3
AT,2002-02,GASDIES,REFGROUT,KBBL,2230.5400,1
AT,2002-02,GASDIES,REFGROUT,KBD,79.6621,1
AT,2002-02,GASDIES,REFGROUT,KL,354.6281,1
AT,2002-02,GASDIES,REFGROUT,KTONS,299.0000,1
AT,2002-02,GASDIES,STATDIFF,CONVBBL,,3
AT,2002-02,GASDIES,STATDIFF,KBBL,,3
AT,2002-02,GASDIES,STATDIFF,KBD,,3
AT,2002-02,GASDIES,STATDIFF,KL,,3
AT,2002-02,GASDIES,STATDIFF,KTONS,,3
AT,2002-02,GASDIES,STOCKCH,CONVBBL,7460.0000,3
AT,2002-02,GASDIES,STOCKCH,KBBL,179.0400,1
