REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
AU,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
AU,2002-01,GASDIES,CLOSTLV,KBBL,4908.6800,1
AU,2002-01,GASDIES,CLOSTLV,KBD,x,3
AU,2002-01,GASDIES,CLOSTLV,KL,780.4191,1
AU,2002-01,GASDIES,CLOSTLV,KTONS,658.0000,1
AU,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
AU,2002-01,GASDIES,IPTRANSF,KBBL,,3
AU,2002-01,GASDIES,IPTRANSF,KBD,,3
AU,2002-01,GASDIES,IPTRANSF,KL,,3
AU,2002-01,GASDIES,IPTRANSF,KTONS,,3
AU,2002-01,GASDIES,PTRANSF,CONVBBL,,3
AU,2002-01,GASDIES,PTRANSF,KBBL,,3
AU,2002-01,GASDIES,PTRANSF,KBD,,3
AU,2002-01,GASDIES,PTRANSF,KL,,3
AU,2002-01,GASDIES,PTRANSF,KTONS,,3
AU,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
AU,2002-01,GASDIES,RECEIPTS,KBBL,,3
AU,2002-01,GASDIES,RECEIPTS,KBD,,3
AU,2002-01,GASDIES,RECEIPTS,KL,,3
AU,2002-01,GASDIES,RECEIPTS,KTONS,,3
AU,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
AU,2002-01,GASDIES,REFGROUT,KBBL,6915.4200,1
AU,2002-01,GASDIES,REFGROUT,KBD,223.0781,1
AU,2002-01,GASDIES,REFGROUT,KL,1099.4658,1
AU,2002-01,GASDIES,REFGROUT,KTONS,927.0000,1
AU,2002-01,GASDIES,STATDIFF,CONVBBL,,3
AU,2002-01,GASDIES,STATDIFF,KBBL,,3
AU,2002-01,GASDIES,STATDIFF,KBD,,3
AU,2002-01,GASDIES,STATDIFF,KL,,3
AU,2002-01,GASDIES,STATDIFF,KTONS,,3
AU,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
AU,2002-01,GASDIES,STOCKCH,KBBL,842.9800,1
AU,2002-01,GASDIES,STOCKCH,KBD,x,3
AU,2002-01,GASDIES,STOCKCH,KL,134.0233,1
AU,2002-01,GASDIES,STOCKCH,KTONS,113.0000,1
AU,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
AU,2002-01,GASDIES,TOTDEMO,KBBL,6609.5600,1
AU,2002-01,GASDIES,TOTDEMO,KBD,213.2116,1
AU,2002-01,GASDIES,TOTDEMO,KL,1050.8379,1
AU,2002-01,GASDIES,TOTDEMO,KTONS,886.0000,1
AU,2002-01,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
AU,2002-01,GASDIES,TOTEXPSB,KBBL,395.3800,1
AU,2002-01,GASDIES,TOTEXPSB,KBD,12.7542,1
AU,2002-01,GASDIES,TOTEXPSB,KL,62.8605,1
AU,2002-01,GASDIES,TOTEXPSB,KTONS,53.0000,1
AU,2002-01,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
AU,2002-01,GASDIES,TOTIMPSB,KBBL,678.8600,1
AU,2002-01,GASDIES,TOTIMPSB,KBD,21.8987,1
AU,2002-01,GASDIES,TOTIMPSB,KL,107.9303,1
AU,2002-01,GASDIES,TOTIMPSB,KTONS,91.0000,1
AU,2002-02,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
AU,2002-02,GASDIES,CLOSTLV,KBBL,5333.9000,1
AU,2002-02,GASDIES,CLOSTLV,KBD,x,3
AU,2002-02,GASDIES,CLOSTLV,KL,848.0238,1
AU,2002-02,GASDIES,CLOSTLV,KTONS,715.0000,1
AU,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
AU,2002-02,GASDIES,IPTRANSF,KBBL,,3
AU,2002-02,GASDIES,IPTRANSF,KBD,,3
AU,2002-02,GASDIES,IPTRANSF,KL,,3
AU,2002-02,GASDIES,IPTRANSF,KTONS,,3
AU,2002-02,GASDIES,PTRANSF,CONVBBL,,3
AU,2002-02,GASDIES,PTRANSF,KBBL,,3
AU,2002-02,GASDIES,PTRANSF,KBD,,3
AU,2002-02,GASDIES,PTRANSF,KL,,3
AU,2002-02,GASDIES,PTRANSF,KTONS,,3
AU,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
AU,2002-02,GASDIES,RECEIPTS,KBBL,,3
AU,2002-02,GASDIES,RECEIPTS,KBD,,3
AU,2002-02,GASDIES,RECEIPTS,KL,,3
AU,2002-02,GASDIES,RECEIPTS,KTONS,,3
AU,2002-02,GASDIES,REFGROUT,CONVBBL,7460.0000,3
AU,2002-02,GASDIES,REFGROUT,KBBL,6520.0400,1
AU,2002-02,GASDIES,REFGROUT,KBD,232.8586,1
AU,2002-02,GASDIES,REFGROUT,KL,1036.6053,1
AU,2002-02,GASDIES,REFGROUT,KTONS,874.0000,1
AU,2002-02,GASDIES,STATDIFF,CONVBBL,,3
AU,2002-02,GASDIES,STATDIFF,KBBL,,3
AU,2002-02,GASDIES,STATDIFF,KBD,,3
AU,2002-02,GASDIES,STATDIFF,KL,,3
AU,2002-02,GASDIES,STATDIFF,KTONS,,3
AU,2002-02,GASDIES,STOCKCH,CONVBBL,7460.0000,3
AU,2002-02,GASDIES,STOCKCH,KBBL,425.2200,1
AU,2002-02,GASDIES,STOCKCH,KBD,x,3
AU,2002-02,GASDIES,STOCKCH,KL,67.6047,1
AU,2002-02,GASDIES,STOCKCH,KTONS,57.0000,1
AU,2002-02,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
AU,2002-02,GASDIES,TOTDEMO,KBBL,6602.1000,1
AU,2002-02,GASDIES,TOTDEMO,KBD,235.7893,1
AU,2002-02,GASDIES,TOTDEMO,KL,1049.6518,1
AU,2002-02,GASDIES,TOTDEMO,KTONS,885.0000,1
AU,2002-02,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
AU,2002-02,GASDIES,TOTEXPSB,KBBL,238.7200,1
AU,2002-02,GASDIES,TOTEXPSB,KBD,8.5257,1
AU,2002-02,GASDIES,TOTEXPSB,KL,37.9535,1
AU,2002-02,GASDIES,TOTEXPSB,KTONS,32.0000,1
AU,2002-02,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
AU,2002-02,GASDIES,TOTIMPSB,KBBL,469.9800,1
AU,2002-02,GASDIES,TOTIMPSB,KBD,16.7850,1
AU,2002-02,GASDIES,TOTIMPSB,KL,74.7210,1
AU,2002-02,GASDIES,TOTIMPSB,KTONS,63.0000,1
AU,2002-03,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
AU,2002-03,GASDIES,CLOSTLV,KBBL,5184.7000,1
AU,2002-03,GASDIES,CLOSTLV,KBD,x,3
AU,2002-03,GASDIES,CLOSTLV,KL,824.3028,1
AU,2002-03,GASDIES,CLOSTLV,KTONS,695.0000,1
AU,2002-03,GASDIES,IPTRANSF,CONVBBL,,3
AU,2002-03,GASDIES,IPTRANSF,KBBL,,3
AU,2002-03,GASDIES,IPTRANSF,KBD,,3
AU,2002-03,GASDIES,IPTRANSF,KL,,3
AU,2002-03,GASDIES,IPTRANSF,KTONS,,3
AU,2002-03,GASDIES,PTRANSF,CONVBBL,,3
AU,2002-03,GASDIES,PTRANSF,KBBL,,3
AU,2002-03,GASDIES,PTRANSF,KBD,,3
AU,2002-03,GASDIES,PTRANSF,KL,,3
AU,2002-03,GASDIES,PTRANSF,KTONS,,3
AU,2002-03,GASDIES,RECEIPTS,CONVBBL,,3
AU,2002-03,GASDIES,RECEIPTS,KBBL,,3
AU,2002-03,GASDIES,RECEIPTS,KBD,,3
AU,2002-03,GASDIES,RECEIPTS,KL,,3
AU,2002-03,GASDIES,RECEIPTS,KTONS,,3
AU,2002-03,GASDIES,REFGROUT,CONVBBL,7460.0000,3
AU,2002-03,GASDIES,REFGROUT,KBBL,7154.1400,1
AU,2002-03,GASDIES,REFGROUT,KBD,230.7787,1
AU,2002-03,GASDIES,REFGROUT,KL,1137.4193,1
AU,2002-03,GASDIES,REFGROUT,KTONS,959.0000,1
AU,2002-03,GASDIES,STATDIFF,CONVBBL,,3
AU,2002-03,GASDIES,STATDIFF,KBBL,,3
AU,2002-03,GASDIES,STATDIFF,KBD,,3
AU,2002-03,GASDIES,STATDIFF,KL,,3
AU,2002-03,GASDIES,STATDIFF,KTONS,,3
AU,2002-03,GASDIES,STOCKCH,CONVBBL,7460.0000,3
AU,2002-03,GASDIES,STOCKCH,KBBL,-149.2000,1
AU,2002-03,GASDIES,STOCKCH,KBD,x,3
AU,2002-03,GASDIES,STOCKCH,KL,-23.7209,1
AU,2002-03,GASDIES,STOCKCH,KTONS,-20.0000,1
AU,2002-03,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
AU,2002-03,GASDIES,TOTDEMO,KBBL,6945.2600,1
AU,2002-03,GASDIES,TOTDEMO,KBD,224.0406,1
AU,2002-03,GASDIES,TOTDEMO,KL,1104.2100,1
AU,2002-03,GASDIES,TOTDEMO,KTONS,931.0000,1
AU,2002-03,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
AU,2002-03,GASDIES,TOTEXPSB,KBBL,581.8800,1
AU,2002-03,GASDIES,TOTEXPSB,KBD,18.7703,1
AU,2002-03,GASDIES,TOTEXPSB,KL,92.5117,1
AU,2002-03,GASDIES,TOTEXPSB,KTONS,78.0000,1
AU,2002-03,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
AU,2002-03,GASDIES,TOTIMPSB,KBBL,678.8600,1
AU,2002-03,GASDIES,TOTIMPSB,KBD,21.8987,1
AU,2002-03,GASDIES,TOTIMPSB,KL,107.9303,1
AU,2002-03,GASDIES,TOTIMPSB,KTONS,91.0000,1
AU,2002-04,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
AU,2002-04,GASDIES,CLOSTLV,KBBL,4722.1800,1
AU,2002-04,GASDIES,CLOSTLV,KBD,x,3
AU,2002-04,GASDIES,CLOSTLV,KL,750.7679,1
AU,2002-04,GASDIES,CLOSTLV,KTONS,633.0000,1
AU,2002-04,GASDIES,IPTRANSF,CONVBBL,,3
AU,2002-04,GASDIES,IPTRANSF,KBBL,,3
AU,2002-04,GASDIES,IPTRANSF,KBD,,3
AU,2002-04,GASDIES,IPTRANSF,KL,,3
AU,2002-04,GASDIES,IPTRANSF,KTONS,,3
AU,2002-04,GASDIES,PTRANSF,CONVBBL,,3
AU,2002-04,GASDIES,PTRANSF,KBBL,,3
AU,2002-04,GASDIES,PTRANSF,KBD,,3
AU,2002-04,GASDIES,PTRANSF,KL,,3
AU,2002-04,GASDIES,PTRANSF,KTONS,,3
AU,2002-04,GASDIES,RECEIPTS,CONVBBL,,3
AU,2002-04,GASDIES,RECEIPTS,KBBL,,3
AU,2002-04,GASDIES,RECEIPTS,KBD,,3
AU,2002-04,GASDIES,RECEIPTS,KL,,3
AU,2002-04,GASDIES,RECEIPTS,KTONS,,3
AU,2002-04,GASDIES,REFGROUT,CONVBBL,7460.0000,3
AU,2002-04,GASDIES,REFGROUT,KBBL,6766.2200,1
AU,2002-04,GASDIES,REFGROUT,KBD,225.5407,1
AU,2002-04,GASDIES,REFGROUT,KL,1075.7449,1
AU,2002-04,GASDIES,REFGROUT,KTONS,907.0000,1
AU,2002-04,GASDIES,STATDIFF,CONVBBL,,3
AU,2002-04,GASDIES,STATDIFF,KBBL,,3
AU,2002-04,GASDIES,STATDIFF,KBD,,3
AU,2002-04,GASDIES,STATDIFF,KL,,3
AU,2002-04,GASDIES,STATDIFF,KTONS,,3
AU,2002-04,GASDIES,STOCKCH,CONVBBL,7460.0000,3
AU,2002-04,GASDIES,STOCKCH,KBBL,-462.5200,1
AU,2002-04,GASDIES,STOCKCH,KBD,x,3
AU,2002-04,GASDIES,STOCKCH,KL,-73.5349,1
AU,2002-04,GASDIES,STOCKCH,KTONS,-62.0000,1
AU,2002-04,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
AU,2002-04,GASDIES,TOTDEMO,KBBL,7430.1600,1
AU,2002-04,GASDIES,TOTDEMO,KBD,247.6720,1
AU,2002-04,GASDIES,TOTDEMO,KL,1181.3031,1
AU,2002-04,GASDIES,TOTDEMO,KTONS,996.0000,1
AU,2002-04,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
AU,2002-04,GASDIES,TOTEXPSB,KBBL,425.2200,1
AU,2002-04,GASDIES,TOTEXPSB,KBD,14.1740,1
