REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
BN,2002-01,GASDIES,CLOSTLV,CONVBBL,8087.0000,3
BN,2002-01,GASDIES,CLOSTLV,KBBL,56.6090,3
BN,2002-01,GASDIES,CLOSTLV,KBD,x,3
BN,2002-01,GASDIES,CLOSTLV,KL,9.0001,3
BN,2002-01,GASDIES,CLOSTLV,KTONS,7.0000,3
BN,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
BN,2002-01,GASDIES,IPTRANSF,KBBL,,3
BN,2002-01,GASDIES,IPTRANSF,KBD,,3
BN,2002-01,GASDIES,IPTRANSF,KL,,3
BN,2002-01,GASDIES,IPTRANSF,KTONS,,3
BN,2002-01,GASDIES,PTRANSF,CONVBBL,,3
BN,2002-01,GASDIES,PTRANSF,KBBL,,3
BN,2002-01,GASDIES,PTRANSF,KBD,,3
BN,2002-01,GASDIES,PTRANSF,KL,,3
BN,2002-01,GASDIES,PTRANSF,KTONS,,3
BN,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
BN,2002-01,GASDIES,RECEIPTS,KBBL,,3
BN,2002-01,GASDIES,RECEIPTS,KBD,,3
BN,2002-01,GASDIES,RECEIPTS,KL,,3
BN,2002-01,GASDIES,RECEIPTS,KTONS,,3
BN,2002-01,GASDIES,REFGROUT,CONVBBL,7433.0000,3
BN,2002-01,GASDIES,REFGROUT,KBBL,81.7630,3
BN,2002-01,GASDIES,REFGROUT,KBD,2.6375,3
BN,2002-01,GASDIES,REFGROUT,KL,12.9993,3
BN,2002-01,GASDIES,REFGROUT,KTONS,11.0000,3
BN,2002-01,GASDIES,STATDIFF,CONVBBL,,3
BN,2002-01,GASDIES,STATDIFF,KBBL,,3
BN,2002-01,GASDIES,STATDIFF,KBD,,3
BN,2002-01,GASDIES,STATDIFF,KL,,3
BN,2002-01,GASDIES,STATDIFF,KTONS,,3
BN,2002-01,GASDIES,STOCKCH,CONVBBL,6290.0000,3
BN,2002-01,GASDIES,STOCKCH,KBBL,-6.2900,3
BN,2002-01,GASDIES,STOCKCH,KBD,x,3
BN,2002-01,GASDIES,STOCKCH,KL,-1.0000,3
BN,2002-01,GASDIES,STOCKCH,KTONS,-1.0000,3
BN,2002-01,GASDIES,TOTDEMO,CONVBBL,7338.0000,3
BN,2002-01,GASDIES,TOTDEMO,KBBL,88.0560,1
BN,2002-01,GASDIES,TOTDEMO,KBD,2.8405,1
BN,2002-01,GASDIES,TOTDEMO,KL,13.9998,1
BN,2002-01,GASDIES,TOTDEMO,KTONS,12.0000,1
BN,2002-01,GASDIES,TOTEXPSB,CONVBBL,7400.0000,3
BN,2002-01,GASDIES,TOTEXPSB,KBBL,0.0000,3
BN,2002-01,GASDIES,TOTEXPSB,KBD,0.0000,3
BN,2002-01,GASDIES,TOTEXPSB,KL,0.0000,3
BN,2002-01,GASDIES,TOTEXPSB,KTONS,0.0000,3
BN,2002-01,GASDIES,TOTIMPSB,CONVBBL,7400.0000,3
BN,2002-01,GASDIES,TOTIMPSB,KBBL,0.0000,3
BN,2002-01,GASDIES,TOTIMPSB,KBD,0.0000,3
BN,2002-01,GASDIES,TOTIMPSB,KL,0.0000,3
BN,2002-01,GASDIES,TOTIMPSB,KTONS,0.0000,3
BN,2002-02,GASDIES,CLOSTLV,CONVBBL,6919.0000,3
BN,2002-02,GASDIES,CLOSTLV,KBBL,69.1900,3
BN,2002-02,GASDIES,CLOSTLV,KBD,x,3
BN,2002-02,GASDIES,CLOSTLV,KL,11.0003,3
BN,2002-02,GASDIES,CLOSTLV,KTONS,10.0000,3
BN,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
BN,2002-02,GASDIES,IPTRANSF,KBBL,,3
BN,2002-02,GASDIES,IPTRANSF,KBD,,3
BN,2002-02,GASDIES,IPTRANSF,KL,,3
BN,2002-02,GASDIES,IPTRANSF,KTONS,,3
BN,2002-02,GASDIES,PTRANSF,CONVBBL,,3
BN,2002-02,GASDIES,PTRANSF,KBBL,,3
BN,2002-02,GASDIES,PTRANSF,KBD,,3
BN,2002-02,GASDIES,PTRANSF,KL,,3
BN,2002-02,GASDIES,PTRANSF,KTONS,,3
BN,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
BN,2002-02,GASDIES,RECEIPTS,KBBL,,3
BN,2002-02,GASDIES,RECEIPTS,KBD,,3
BN,2002-02,GASDIES,RECEIPTS,KL,,3
BN,2002-02,GASDIES,RECEIPTS,KTONS,,3
BN,2002-02,GASDIES,REFGROUT,CONVBBL,7433.0000,3
BN,2002-02,GASDIES,REFGROUT,KBBL,81.7630,3
BN,2002-02,GASDIES,REFGROUT,KBD,2.9201,3
BN,2002-02,GASDIES,REFGROUT,KL,12.9993,3
BN,2002-02,GASDIES,REFGROUT,KTONS,11.0000,3
BN,2002-02,GASDIES,STATDIFF,CONVBBL,,3
BN,2002-02,GASDIES,STATDIFF,KBBL,,3
BN,2002-02,GASDIES,STATDIFF,KBD,,3
BN,2002-02,GASDIES,STATDIFF,KL,,3
BN,2002-02,GASDIES,STATDIFF,KTONS,,3
BN,2002-02,GASDIES,STOCKCH,CONVBBL,9435.0000,3
BN,2002-02,GASDIES,STOCKCH,KBBL,18.8700,1
BN,2002-02,GASDIES,STOCKCH,KBD,x,3
BN,2002-02,GASDIES,STOCKCH,KL,3.0001,1
BN,2002-02,GASDIES,STOCKCH,KTONS,2.0000,1
BN,2002-02,GASDIES,TOTDEMO,CONVBBL,7688.0000,3
BN,2002-02,GASDIES,TOTDEMO,KBBL,69.1920,2
BN,2002-02,GASDIES,TOTDEMO,KBD,2.4711,2
BN,2002-02,GASDIES,TOTDEMO,KL,11.0007,2
BN,2002-02,GASDIES,TOTDEMO,KTONS,9.0000,2
BN,2002-02,GASDIES,TOTEXPSB,CONVBBL,7400.0000,3
BN,2002-02,GASDIES,TOTEXPSB,KBBL,0.0000,3
BN,2002-02,GASDIES,TOTEXPSB,KBD,0.0000,3
BN,2002-02,GASDIES,TOTEXPSB,KL,0.0000,3
BN,2002-02,GASDIES,TOTEXPSB,KTONS,0.0000,3
BN,2002-02,GASDIES,TOTIMPSB,CONVBBL,7400.0000,3
BN,2002-02,GASDIES,TOTIMPSB,KBBL,0.0000,3
BN,2002-02,GASDIES,TOTIMPSB,KBD,0.0000,3
BN,2002-02,GASDIES,TOTIMPSB,KL,0.0000,3
BN,2002-02,GASDIES,TOTIMPSB,KTONS,0.0000,3
BN,2002-03,GASDIES,CLOSTLV,CONVBBL,6862.0000,3
BN,2002-03,GASDIES,CLOSTLV,KBBL,75.4820,3
BN,2002-03,GASDIES,CLOSTLV,KBD,x,3
BN,2002-03,GASDIES,CLOSTLV,KL,12.0007,3
BN,2002-03,GASDIES,CLOSTLV,KTONS,11.0000,3
BN,2002-03,GASDIES,IPTRANSF,CONVBBL,,3
BN,2002-03,GASDIES,IPTRANSF,KBBL,,3
BN,2002-03,GASDIES,IPTRANSF,KBD,,3
BN,2002-03,GASDIES,IPTRANSF,KL,,3
BN,2002-03,GASDIES,IPTRANSF,KTONS,,3
BN,2002-03,GASDIES,PTRANSF,CONVBBL,,3
BN,2002-03,GASDIES,PTRANSF,KBBL,,3
BN,2002-03,GASDIES,PTRANSF,KBD,,3
BN,2002-03,GASDIES,PTRANSF,KL,,3
BN,2002-03,GASDIES,PTRANSF,KTONS,,3
BN,2002-03,GASDIES,RECEIPTS,CONVBBL,,3
BN,2002-03,GASDIES,RECEIPTS,KBBL,,3
BN,2002-03,GASDIES,RECEIPTS,KBD,,3
BN,2002-03,GASDIES,RECEIPTS,KL,,3
BN,2002-03,GASDIES,RECEIPTS,KTONS,,3
BN,2002-03,GASDIES,REFGROUT,CONVBBL,7338.0000,3
BN,2002-03,GASDIES,REFGROUT,KBBL,88.0560,3
BN,2002-03,GASDIES,REFGROUT,KBD,2.8405,3
