REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
CA,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
CA,2002-01,GASDIES,CLOSTLV,KBBL,19276.6400,1
CA,2002-01,GASDIES,CLOSTLV,KBD,x,3
CA,2002-01,GASDIES,CLOSTLV,KL,3064.7461,1
CA,2002-01,GASDIES,CLOSTLV,KTONS,2584.0000,1
CA,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
CA,2002-01,GASDIES,IPTRANSF,KBBL,,3
CA,2002-01,GASDIES,IPTRANSF,KBD,,3
CA,2002-01,GASDIES,IPTRANSF,KL,,3
CA,2002-01,GASDIES,IPTRANSF,KTONS,,3
CA,2002-01,GASDIES,PTRANSF,CONVBBL,,3
CA,2002-01,GASDIES,PTRANSF,KBBL,,3
CA,2002-01,GASDIES,PTRANSF,KBD,,3
CA,2002-01,GASDIES,PTRANSF,KL,,3
CA,2002-01,GASDIES,PTRANSF,KTONS,,3
CA,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
CA,2002-01,GASDIES,RECEIPTS,KBBL,,3
CA,2002-01,GASDIES,RECEIPTS,KBD,,3
CA,2002-01,GASDIES,RECEIPTS,KL,,3
CA,2002-01,GASDIES,RECEIPTS,KTONS,,3
CA,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
CA,2002-01,GASDIES,REFGROUT,KBBL,19903.2800,1
CA,2002-01,GASDIES,REFGROUT,KBD,642.0413,1
CA,2002-01,GASDIES,REFGROUT,KL,3164.3741,1
CA,2002-01,GASDIES,REFGROUT,KTONS,2668.0000,1
CA,2002-01,GASDIES,STATDIFF,CONVBBL,,3
CA,2002-01,GASDIES,STATDIFF,KBBL,,3
CA,2002-01,GASDIES,STATDIFF,KBD,,3
CA,2002-01,GASDIES,STATDIFF,KL,,3
CA,2002-01,GASDIES,STATDIFF,KTONS,,3
CA,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
CA,2002-01,GASDIES,STOCKCH,KBBL,1342.8000,1
CA,2002-01,GASDIES,STOCKCH,KBD,x,3
CA,2002-01,GASDIES,STOCKCH,KL,213.4885,1
CA,2002-01,GASDIES,STOCKCH,KTONS,180.0000,1
CA,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
CA,2002-01,GASDIES,TOTDEMO,KBBL,15733.1400,1
CA,2002-01,GASDIES,TOTDEMO,KBD,507.5206,1
CA,2002-01,GASDIES,TOTDEMO,KL,2501.3737,1
CA,2002-01,GASDIES,TOTDEMO,KTONS,2109.0000,1
CA,2002-01,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
CA,2002-01,GASDIES,TOTEXPSB,KBBL,3521.1200,1
CA,2002-01,GASDIES,TOTEXPSB,KBD,113.5845,1
CA,2002-01,GASDIES,TOTEXPSB,KL,559.8143,1
CA,2002-01,GASDIES,TOTEXPSB,KTONS,472.0000,1
CA,2002-01,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
CA,2002-01,GASDIES,TOTIMPSB,KBBL,387.9200,1
CA,2002-01,GASDIES,TOTIMPSB,KBD,12.5135,1
CA,2002-01,GASDIES,TOTIMPSB,KL,61.6745,1
CA,2002-01,GASDIES,TOTIMPSB,KTONS,52.0000,1
