REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
CZ,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
CZ,2002-01,GASDIES,CLOSTLV,KBBL,5930.7000,1
CZ,2002-01,GASDIES,CLOSTLV,KBD,x,3
CZ,2002-01,GASDIES,CLOSTLV,KL,942.9076,1
CZ,2002-01,GASDIES,CLOSTLV,KTONS,795.0000,1
CZ,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
CZ,2002-01,GASDIES,IPTRANSF,KBBL,,3
CZ,2002-01,GASDIES,IPTRANSF,KBD,,3
CZ,2002-01,GASDIES,IPTRANSF,KL,,3
CZ,2002-01,GASDIES,IPTRANSF,KTONS,,3
CZ,2002-01,GASDIES,PTRANSF,CONVBBL,,3
CZ,2002-01,GASDIES,PTRANSF,KBBL,,3
CZ,2002-01,GASDIES,PTRANSF,KBD,,3
CZ,2002-01,GASDIES,PTRANSF,KL,,3
CZ,2002-01,GASDIES,PTRANSF,KTONS,,3
CZ,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
CZ,2002-01,GASDIES,RECEIPTS,KBBL,,3
CZ,2002-01,GASDIES,RECEIPTS,KBD,,3
CZ,2002-01,GASDIES,RECEIPTS,KL,,3
CZ,2002-01,GASDIES,RECEIPTS,KTONS,,3
CZ,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
CZ,2002-01,GASDIES,REFGROUT,KBBL,1574.0600,1
CZ,2002-01,GASDIES,REFGROUT,KBD,50.7761,1
CZ,2002-01,GASDIES,REFGROUT,KL,250.2560,1
CZ,2002-01,GASDIES,REFGROUT,KTONS,211.0000,1
CZ,2002-01,GASDIES,STATDIFF,CONVBBL,,3
CZ,2002-01,GASDIES,STATDIFF,KBBL,,3
CZ,2002-01,GASDIES,STATDIFF,KBD,,3
CZ,2002-01,GASDIES,STATDIFF,KL,,3
CZ,2002-01,GASDIES,STATDIFF,KTONS,,3
CZ,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
CZ,2002-01,GASDIES,STOCKCH,KBBL,544.5800,1
CZ,2002-01,GASDIES,STOCKCH,KBD,x,3
CZ,2002-01,GASDIES,STOCKCH,KL,86.5814,1
CZ,2002-01,GASDIES,STOCKCH,KTONS,73.0000,1
CZ,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
CZ,2002-01,GASDIES,TOTDEMO,KBBL,1395.0200,1
CZ,2002-01,GASDIES,TOTDEMO,KBD,45.0006,1
CZ,2002-01,GASDIES,TOTDEMO,KL,221.7908,1
CZ,2002-01,GASDIES,TOTDEMO,KTONS,187.0000,1
CZ,2002-01,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
CZ,2002-01,GASDIES,TOTEXPSB,KBBL,455.0600,1
CZ,2002-01,GASDIES,TOTEXPSB,KBD,14.6794,1
CZ,2002-01,GASDIES,TOTEXPSB,KL,72.3489,1
CZ,2002-01,GASDIES,TOTEXPSB,KTONS,61.0000,1
CZ,2002-01,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
CZ,2002-01,GASDIES,TOTIMPSB,KBBL,820.6000,1
CZ,2002-01,GASDIES,TOTIMPSB,KBD,26.4710,1
CZ,2002-01,GASDIES,TOTIMPSB,KL,130.4652,1
CZ,2002-01,GASDIES,TOTIMPSB,KTONS,110.0000,1
CZ,2002-02,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
CZ,2002-02,GASDIES,CLOSTLV,KBBL,5930.7000,1
CZ,2002-02,GASDIES,CLOSTLV,KBD,x,3
CZ,2002-02,GASDIES,CLOSTLV,KL,942.9076,1
CZ,2002-02,GASDIES,CLOSTLV,KTONS,795.0000,1
CZ,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
CZ,2002-02,GASDIES,IPTRANSF,KBBL,,3
CZ,2002-02,GASDIES,IPTRANSF,KBD,,3
CZ,2002-02,GASDIES,IPTRANSF,KL,,3
CZ,2002-02,GASDIES,IPTRANSF,KTONS,,3
CZ,2002-02,GASDIES,PTRANSF,CONVBBL,,3
CZ,2002-02,GASDIES,PTRANSF,KBBL,,3
CZ,2002-02,GASDIES,PTRANSF,KBD,,3
CZ,2002-02,GASDIES,PTRANSF,KL,,3
CZ,2002-02,GASDIES,PTRANSF,KTONS,,3
