REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
FR,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
FR,2002-01,GASDIES,CLOSTLV,KBBL,54301.3400,1
FR,2002-01,GASDIES,CLOSTLV,KBD,x,3
FR,2002-01,GASDIES,CLOSTLV,KL,8633.2379,1
FR,2002-01,GASDIES,CLOSTLV,KTONS,7279.0000,1
FR,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
FR,2002-01,GASDIES,IPTRANSF,KBBL,,3
FR,2002-01,GASDIES,IPTRANSF,KBD,,3
FR,2002-01,GASDIES,IPTRANSF,KL,,3
FR,2002-01,GASDIES,IPTRANSF,KTONS,,3
FR,2002-01,GASDIES,PTRANSF,CONVBBL,,3
FR,2002-01,GASDIES,PTRANSF,KBBL,,3
FR,2002-01,GASDIES,PTRANSF,KBD,,3
FR,2002-01,GASDIES,PTRANSF,KL,,3
FR,2002-01,GASDIES,PTRANSF,KTONS,,3
FR,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
FR,2002-01,GASDIES,RECEIPTS,KBBL,,3
FR,2002-01,GASDIES,RECEIPTS,KBD,,3
FR,2002-01,GASDIES,RECEIPTS,KL,,3
FR,2002-01,GASDIES,RECEIPTS,KTONS,,3
FR,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
FR,2002-01,GASDIES,REFGROUT,KBBL,22432.2200,1
FR,2002-01,GASDIES,REFGROUT,KBD,723.6200,1
FR,2002-01,GASDIES,REFGROUT,KL,3566.4441,1
FR,2002-01,GASDIES,REFGROUT,KTONS,3007.0000,1
FR,2002-01,GASDIES,STATDIFF,CONVBBL,,3
FR,2002-01,GASDIES,STATDIFF,KBBL,,3
FR,2002-01,GASDIES,STATDIFF,KBD,,3
FR,2002-01,GASDIES,STATDIFF,KL,,3
FR,2002-01,GASDIES,STATDIFF,KTONS,,3
FR,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
FR,2002-01,GASDIES,STOCKCH,KBBL,134.2800,1
FR,2002-01,GASDIES,STOCKCH,KBD,x,3
FR,2002-01,GASDIES,STOCKCH,KL,21.3489,1
FR,2002-01,GASDIES,STOCKCH,KTONS,18.0000,1
FR,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
FR,2002-01,GASDIES,TOTDEMO,KBBL,34301.0800,1
FR,2002-01,GASDIES,TOTDEMO,KBD,1106.4865,1
FR,2002-01,GASDIES,TOTDEMO,KL,5453.4453,1
FR,2002-01,GASDIES,TOTDEMO,KTONS,4598.0000,1
FR,2002-01,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
FR,2002-01,GASDIES,TOTEXPSB,KBBL,783.3000,1
FR,2002-01,GASDIES,TOTEXPSB,KBD,25.2677,1
FR,2002-01,GASDIES,TOTEXPSB,KL,124.5350,1
FR,2002-01,GASDIES,TOTEXPSB,KTONS,105.0000,1
FR,2002-01,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
FR,2002-01,GASDIES,TOTIMPSB,KBBL,9242.9400,1
FR,2002-01,GASDIES,TOTIMPSB,KBD,298.1594,1
FR,2002-01,GASDIES,TOTIMPSB,KL,1469.5125,1
FR,2002-01,GASDIES,TOTIMPSB,KTONS,1239.0000,1
FR,2002-02,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
FR,2002-02,GASDIES,CLOSTLV,KBBL,55412.8800,1
FR,2002-02,GASDIES,CLOSTLV,KBD,x,3
FR,2002-02,GASDIES,CLOSTLV,KL,8809.9590,1
FR,2002-02,GASDIES,CLOSTLV,KTONS,7428.0000,1
FR,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
FR,2002-02,GASDIES,IPTRANSF,KBBL,,3
FR,2002-02,GASDIES,IPTRANSF,KBD,,3
FR,2002-02,GASDIES,IPTRANSF,KL,,3
FR,2002-02,GASDIES,IPTRANSF,KTONS,,3
FR,2002-02,GASDIES,PTRANSF,CONVBBL,,3
FR,2002-02,GASDIES,PTRANSF,KBBL,,3
FR,2002-02,GASDIES,PTRANSF,KBD,,3
FR,2002-02,GASDIES,PTRANSF,KL,,3
FR,2002-02,GASDIES,PTRANSF,KTONS,,3
FR,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
FR,2002-02,GASDIES,RECEIPTS,KBBL,,3
FR,2002-02,GASDIES,RECEIPTS,KBD,,3
FR,2002-02,GASDIES,RECEIPTS,KL,,3
FR,2002-02,GASDIES,RECEIPTS,KTONS,,3
FR,2002-02,GASDIES,REFGROUT,CONVBBL,7460.0000,3
FR,2002-02,GASDIES,REFGROUT,KBBL,19164.7400,1
FR,2002-02,GASDIES,REFGROUT,KBD,684.4550,1
FR,2002-02,GASDIES,REFGROUT,KL,3046.9554,1
FR,2002-02,GASDIES,REFGROUT,KTONS,2569.0000,1
FR,2002-02,GASDIES,STATDIFF,CONVBBL,,3
FR,2002-02,GASDIES,STATDIFF,KBBL,,3
FR,2002-02,GASDIES,STATDIFF,KBD,,3
FR,2002-02,GASDIES,STATDIFF,KL,,3
FR,2002-02,GASDIES,STATDIFF,KTONS,,3
FR,2002-02,GASDIES,STOCKCH,CONVBBL,7460.0000,3
FR,2002-02,GASDIES,STOCKCH,KBBL,1111.5400,1
FR,2002-02,GASDIES,STOCKCH,KBD,x,3
FR,2002-02,GASDIES,STOCKCH,KL,176.7210,1
FR,2002-02,GASDIES,STOCKCH,KTONS,149.0000,1
FR,2002-02,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
FR,2002-02,GASDIES,TOTDEMO,KBBL,29138.7600,1
FR,2002-02,GASDIES,TOTDEMO,KBD,1040.6700,1
FR,2002-02,GASDIES,TOTDEMO,KL,4632.7006,1
FR,2002-02,GASDIES,TOTDEMO,KTONS,3906.0000,1
FR,2002-02,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
FR,2002-02,GASDIES,TOTEXPSB,KBBL,1245.8200,1
FR,2002-02,GASDIES,TOTEXPSB,KBD,44.4936,1
FR,2002-02,GASDIES,TOTEXPSB,KL,198.0699,1
FR,2002-02,GASDIES,TOTEXPSB,KTONS,167.0000,1
FR,2002-02,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
FR,2002-02,GASDIES,TOTIMPSB,KBBL,9011.6800,1
FR,2002-02,GASDIES,TOTIMPSB,KBD,321.8457,1
FR,2002-02,GASDIES,TOTIMPSB,KL,1432.7451,1
FR,2002-02,GASDIES,TOTIMPSB,KTONS,1208.0000,1
FR,2002-03,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
FR,2002-03,GASDIES,CLOSTLV,KBBL,55062.2600,1
FR,2002-03,GASDIES,CLOSTLV,KBD,x,3
FR,2002-03,GASDIES,CLOSTLV,KL,8754.2148,1
FR,2002-03,GASDIES,CLOSTLV,KTONS,7381.0000,1
FR,2002-03,GASDIES,IPTRANSF,CONVBBL,,3
FR,2002-03,GASDIES,IPTRANSF,KBBL,,3
FR,2002-03,GASDIES,IPTRANSF,KBD,,3
FR,2002-03,GASDIES,IPTRANSF,KL,,3
FR,2002-03,GASDIES,IPTRANSF,KTONS,,3
FR,2002-03,GASDIES,PTRANSF,CONVBBL,,3
FR,2002-03,GASDIES,PTRANSF,KBBL,,3
FR,2002-03,GASDIES,PTRANSF,KBD,,3
FR,2002-03,GASDIES,PTRANSF,KL,,3
FR,2002-03,GASDIES,PTRANSF,KTONS,,3
