REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
JP,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
JP,2002-01,GASDIES,CLOSTLV,KBBL,19873.4400,1
JP,2002-01,GASDIES,CLOSTLV,KBD,x,3
JP,2002-01,GASDIES,CLOSTLV,KL,3159.6299,1
JP,2002-01,GASDIES,CLOSTLV,KTONS,2664.0000,1
JP,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
JP,2002-01,GASDIES,IPTRANSF,KBBL,,3
JP,2002-01,GASDIES,IPTRANSF,KBD,,3
JP,2002-01,GASDIES,IPTRANSF,KL,,3
JP,2002-01,GASDIES,IPTRANSF,KTONS,,3
JP,2002-01,GASDIES,PTRANSF,CONVBBL,,3
JP,2002-01,GASDIES,PTRANSF,KBBL,,3
JP,2002-01,GASDIES,PTRANSF,KBD,,3
JP,2002-01,GASDIES,PTRANSF,KL,,3
JP,2002-01,GASDIES,PTRANSF,KTONS,,3
JP,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
JP,2002-01,GASDIES,RECEIPTS,KBBL,,3
JP,2002-01,GASDIES,RECEIPTS,KBD,,3
JP,2002-01,GASDIES,RECEIPTS,KL,,3
JP,2002-01,GASDIES,RECEIPTS,KTONS,,3
JP,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
JP,2002-01,GASDIES,REFGROUT,KBBL,37628.2400,1
JP,2002-01,GASDIES,REFGROUT,KBD,1213.8142,1
JP,2002-01,GASDIES,REFGROUT,KL,5982.4223,1
JP,2002-01,GASDIES,REFGROUT,KTONS,5044.0000,1
JP,2002-01,GASDIES,STATDIFF,CONVBBL,,3
JP,2002-01,GASDIES,STATDIFF,KBBL,,3
JP,2002-01,GASDIES,STATDIFF,KBD,,3
JP,2002-01,GASDIES,STATDIFF,KL,,3
JP,2002-01,GASDIES,STATDIFF,KTONS,,3
JP,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
JP,2002-01,GASDIES,STOCKCH,KBBL,1372.6400,1
JP,2002-01,GASDIES,STOCKCH,KBD,x,3
JP,2002-01,GASDIES,STOCKCH,KL,218.2327,1
JP,2002-01,GASDIES,STOCKCH,KTONS,184.0000,1
JP,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
JP,2002-01,GASDIES,TOTDEMO,KBBL,37605.8600,1
JP,2002-01,GASDIES,TOTDEMO,KBD,1213.0923,1
JP,2002-01,GASDIES,TOTDEMO,KL,5978.8642,1
JP,2002-01,GASDIES,TOTDEMO,KTONS,5041.0000,1
JP,2002-01,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
JP,2002-01,GASDIES,TOTEXPSB,KBBL,656.4800,1
JP,2002-01,GASDIES,TOTEXPSB,KBD,21.1768,1
JP,2002-01,GASDIES,TOTEXPSB,KL,104.3722,1
JP,2002-01,GASDIES,TOTEXPSB,KTONS,88.0000,1
JP,2002-01,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
JP,2002-01,GASDIES,TOTIMPSB,KBBL,1797.8600,1
JP,2002-01,GASDIES,TOTIMPSB,KBD,57.9955,1
JP,2002-01,GASDIES,TOTIMPSB,KL,285.8374,1
JP,2002-01,GASDIES,TOTIMPSB,KTONS,241.0000,1
JP,2002-02,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
JP,2002-02,GASDIES,CLOSTLV,KBBL,20835.7800,1
JP,2002-02,GASDIES,CLOSTLV,KBD,x,3
JP,2002-02,GASDIES,CLOSTLV,KL,3312.6300,1
JP,2002-02,GASDIES,CLOSTLV,KTONS,2793.0000,1
JP,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
JP,2002-02,GASDIES,IPTRANSF,KBBL,,3
JP,2002-02,GASDIES,IPTRANSF,KBD,,3
JP,2002-02,GASDIES,IPTRANSF,KL,,3
JP,2002-02,GASDIES,IPTRANSF,KTONS,,3
JP,2002-02,GASDIES,PTRANSF,CONVBBL,,3
JP,2002-02,GASDIES,PTRANSF,KBBL,,3
JP,2002-02,GASDIES,PTRANSF,KBD,,3
JP,2002-02,GASDIES,PTRANSF,KL,,3
JP,2002-02,GASDIES,PTRANSF,KTONS,,3
JP,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
JP,2002-02,GASDIES,RECEIPTS,KBBL,,3
JP,2002-02,GASDIES,RECEIPTS,KBD,,3
JP,2002-02,GASDIES,RECEIPTS,KL,,3
JP,2002-02,GASDIES,RECEIPTS,KTONS,,3
JP,2002-02,GASDIES,REFGROUT,CONVBBL,7460.0000,3
JP,2002-02,GASDIES,REFGROUT,KBBL,36867.3200,1
JP,2002-02,GASDIES,REFGROUT,KBD,1316.6900,1
JP,2002-02,GASDIES,REFGROUT,KL,5861.4455,1
JP,2002-02,GASDIES,REFGROUT,KTONS,4942.0000,1
JP,2002-02,GASDIES,STATDIFF,CONVBBL,,3
JP,2002-02,GASDIES,STATDIFF,KBBL,,3
JP,2002-02,GASDIES,STATDIFF,KBD,,3
JP,2002-02,GASDIES,STATDIFF,KL,,3
JP,2002-02,GASDIES,STATDIFF,KTONS,,3
JP,2002-02,GASDIES,STOCKCH,CONVBBL,7460.0000,3
JP,2002-02,GASDIES,STOCKCH,KBBL,962.3400,1
JP,2002-02,GASDIES,STOCKCH,KBD,x,3
JP,2002-02,GASDIES,STOCKCH,KL,153.0001,1
JP,2002-02,GASDIES,STOCKCH,KTONS,129.0000,1
JP,2002-02,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
JP,2002-02,GASDIES,TOTDEMO,KBBL,37479.0400,1
JP,2002-02,GASDIES,TOTDEMO,KBD,1338.5371,1
JP,2002-02,GASDIES,TOTDEMO,KL,5958.7014,1
JP,2002-02,GASDIES,TOTDEMO,KTONS,5024.0000,1
JP,2002-02,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
JP,2002-02,GASDIES,TOTEXPSB,KBBL,253.6400,1
JP,2002-02,GASDIES,TOTEXPSB,KBD,9.0586,1
JP,2002-02,GASDIES,TOTEXPSB,KL,40.3256,1
JP,2002-02,GASDIES,TOTEXPSB,KTONS,34.0000,1
JP,2002-02,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
JP,2002-02,GASDIES,TOTIMPSB,KBBL,1506.9200,1
JP,2002-02,GASDIES,TOTIMPSB,KBD,53.8186,1
JP,2002-02,GASDIES,TOTIMPSB,KL,239.5815,1
JP,2002-02,GASDIES,TOTIMPSB,KTONS,202.0000,1
JP,2002-03,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
JP,2002-03,GASDIES,CLOSTLV,KBBL,19873.4400,1
JP,2002-03,GASDIES,CLOSTLV,KBD,x,3
JP,2002-03,GASDIES,CLOSTLV,KL,3159.6299,1
JP,2002-03,GASDIES,CLOSTLV,KTONS,2664.0000,1
JP,2002-03,GASDIES,IPTRANSF,CONVBBL,,3
JP,2002-03,GASDIES,IPTRANSF,KBBL,,3
JP,2002-03,GASDIES,IPTRANSF,KBD,,3
JP,2002-03,GASDIES,IPTRANSF,KL,,3
JP,2002-03,GASDIES,IPTRANSF,KTONS,,3
JP,2002-03,GASDIES,PTRANSF,CONVBBL,,3
JP,2002-03,GASDIES,PTRANSF,KBBL,,3
JP,2002-03,GASDIES,PTRANSF,KBD,,3
JP,2002-03,GASDIES,PTRANSF,KL,,3
JP,2002-03,GASDIES,PTRANSF,KTONS,,3
JP,2002-03,GASDIES,RECEIPTS,CONVBBL,,3
JP,2002-03,GASDIES,RECEIPTS,KBBL,,3
JP,2002-03,GASDIES,RECEIPTS,KBD,,3
JP,2002-03,GASDIES,RECEIPTS,KL,,3
JP,2002-03,GASDIES,RECEIPTS,KTONS,,3
JP,2002-03,GASDIES,REFGROUT,CONVBBL,7460.0000,3
JP,2002-03,GASDIES,REFGROUT,KBBL,39724.5000,1
JP,2002-03,GASDIES,REFGROUT,KBD,1281.4355,1
JP,2002-03,GASDIES,REFGROUT,KL,6315.7016,1
JP,2002-03,GASDIES,REFGROUT,KTONS,5325.0000,1
JP,2002-03,GASDIES,STATDIFF,CONVBBL,,3
JP,2002-03,GASDIES,STATDIFF,KBBL,,3
JP,2002-03,GASDIES,STATDIFF,KBD,,3
JP,2002-03,GASDIES,STATDIFF,KL,,3
JP,2002-03,GASDIES,STATDIFF,KTONS,,3
JP,2002-03,GASDIES,STOCKCH,CONVBBL,7460.0000,3
JP,2002-03,GASDIES,STOCKCH,KBBL,-962.3400,1
