REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
LT,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
LT,2002-01,GASDIES,CLOSTLV,KBBL,-,3
LT,2002-01,GASDIES,CLOSTLV,KBD,x,3
LT,2002-01,GASDIES,CLOSTLV,KL,-,3
LT,2002-01,GASDIES,CLOSTLV,KTONS,-,3
LT,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
LT,2002-01,GASDIES,IPTRANSF,KBBL,,3
LT,2002-01,GASDIES,IPTRANSF,KBD,,3
LT,2002-01,GASDIES,IPTRANSF,KL,,3
LT,2002-01,GASDIES,IPTRANSF,KTONS,,3
LT,2002-01,GASDIES,PTRANSF,CONVBBL,,3
LT,2002-01,GASDIES,PTRANSF,KBBL,,3
LT,2002-01,GASDIES,PTRANSF,KBD,,3
LT,2002-01,GASDIES,PTRANSF,KL,,3
LT,2002-01,GASDIES,PTRANSF,KTONS,,3
LT,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
LT,2002-01,GASDIES,RECEIPTS,KBBL,,3
LT,2002-01,GASDIES,RECEIPTS,KBD,,3
LT,2002-01,GASDIES,RECEIPTS,KL,,3
LT,2002-01,GASDIES,RECEIPTS,KTONS,,3
LT,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
LT,2002-01,GASDIES,REFGROUT,KBBL,-,3
LT,2002-01,GASDIES,REFGROUT,KBD,-,3
LT,2002-01,GASDIES,REFGROUT,KL,-,3
LT,2002-01,GASDIES,REFGROUT,KTONS,-,3
LT,2002-01,GASDIES,STATDIFF,CONVBBL,,3
LT,2002-01,GASDIES,STATDIFF,KBBL,,3
LT,2002-01,GASDIES,STATDIFF,KBD,,3
LT,2002-01,GASDIES,STATDIFF,KL,,3
LT,2002-01,GASDIES,STATDIFF,KTONS,,3
LT,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
LT,2002-01,GASDIES,STOCKCH,KBBL,-,3
LT,2002-01,GASDIES,STOCKCH,KBD,x,3
LT,2002-01,GASDIES,STOCKCH,KL,-,3
LT,2002-01,GASDIES,STOCKCH,KTONS,-,3
LT,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
LT,2002-01,GASDIES,TOTDEMO,KBBL,-,3
LT,2002-01,GASDIES,TOTDEMO,KBD,-,3
LT,2002-01,GASDIES,TOTDEMO,KL,-,3
LT,2002-01,GASDIES,TOTDEMO,KTONS,-,3
LT,2002-01,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
LT,2002-01,GASDIES,TOTEXPSB,KBBL,-,3
LT,2002-01,GASDIES,TOTEXPSB,KBD,-,3
LT,2002-01,GASDIES,TOTEXPSB,KL,-,3
LT,2002-01,GASDIES,TOTEXPSB,KTONS,-,3
LT,2002-01,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
LT,2002-01,GASDIES,TOTIMPSB,KBBL,-,3
LT,2002-01,GASDIES,TOTIMPSB,KBD,-,3
LT,2002-01,GASDIES,TOTIMPSB,KL,-,3
LT,2002-01,GASDIES,TOTIMPSB,KTONS,-,3
LT,2002-02,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
LT,2002-02,GASDIES,CLOSTLV,KBBL,-,3
LT,2002-02,GASDIES,CLOSTLV,KBD,x,3
LT,2002-02,GASDIES,CLOSTLV,KL,-,3
LT,2002-02,GASDIES,CLOSTLV,KTONS,-,3
LT,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
LT,2002-02,GASDIES,IPTRANSF,KBBL,,3
LT,2002-02,GASDIES,IPTRANSF,KBD,,3
LT,2002-02,GASDIES,IPTRANSF,KL,,3
LT,2002-02,GASDIES,IPTRANSF,KTONS,,3
LT,2002-02,GASDIES,PTRANSF,CONVBBL,,3
LT,2002-02,GASDIES,PTRANSF,KBBL,,3
LT,2002-02,GASDIES,PTRANSF,KBD,,3
LT,2002-02,GASDIES,PTRANSF,KL,,3
LT,2002-02,GASDIES,PTRANSF,KTONS,,3
LT,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
LT,2002-02,GASDIES,RECEIPTS,KBBL,,3
LT,2002-02,GASDIES,RECEIPTS,KBD,,3
LT,2002-02,GASDIES,RECEIPTS,KL,,3
LT,2002-02,GASDIES,RECEIPTS,KTONS,,3
LT,2002-02,GASDIES,REFGROUT,CONVBBL,7460.0000,3
LT,2002-02,GASDIES,REFGROUT,KBBL,-,3
LT,2002-02,GASDIES,REFGROUT,KBD,-,3
LT,2002-02,GASDIES,REFGROUT,KL,-,3
LT,2002-02,GASDIES,REFGROUT,KTONS,-,3
LT,2002-02,GASDIES,STATDIFF,CONVBBL,,3
LT,2002-02,GASDIES,STATDIFF,KBBL,,3
LT,2002-02,GASDIES,STATDIFF,KBD,,3
LT,2002-02,GASDIES,STATDIFF,KL,,3
LT,2002-02,GASDIES,STATDIFF,KTONS,,3
LT,2002-02,GASDIES,STOCKCH,CONVBBL,7460.0000,3
LT,2002-02,GASDIES,STOCKCH,KBBL,-,3
LT,2002-02,GASDIES,STOCKCH,KBD,x,3
LT,2002-02,GASDIES,STOCKCH,KL,-,3
LT,2002-02,GASDIES,STOCKCH,KTONS,-,3
LT,2002-02,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
LT,2002-02,GASDIES,TOTDEMO,KBBL,-,3
LT,2002-02,GASDIES,TOTDEMO,KBD,-,3
LT,2002-02,GASDIES,TOTDEMO,KL,-,3
LT,2002-02,GASDIES,TOTDEMO,KTONS,-,3
LT,2002-02,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
LT,2002-02,GASDIES,TOTEXPSB,KBBL,-,3
LT,2002-02,GASDIES,TOTEXPSB,KBD,-,3
LT,2002-02,GASDIES,TOTEXPSB,KL,-,3
LT,2002-02,GASDIES,TOTEXPSB,KTONS,-,3
LT,2002-02,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
LT,2002-02,GASDIES,TOTIMPSB,KBBL,-,3
LT,2002-02,GASDIES,TOTIMPSB,KBD,-,3
LT,2002-02,GASDIES,TOTIMPSB,KL,-,3
LT,2002-02,GASDIES,TOTIMPSB,KTONS,-,3
LT,2002-03,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
LT,2002-03,GASDIES,CLOSTLV,KBBL,-,3
LT,2002-03,GASDIES,CLOSTLV,KBD,x,3
LT,2002-03,GASDIES,CLOSTLV,KL,-,3
LT,2002-03,GASDIES,CLOSTLV,KTONS,-,3
LT,2002-03,GASDIES,IPTRANSF,CONVBBL,,3
LT,2002-03,GASDIES,IPTRANSF,KBBL,,3
LT,2002-03,GASDIES,IPTRANSF,KBD,,3
LT,2002-03,GASDIES,IPTRANSF,KL,,3
