REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
LU,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
LU,2002-01,GASDIES,CLOSTLV,KBBL,514.7400,1
LU,2002-01,GASDIES,CLOSTLV,KBD,x,3
LU,2002-01,GASDIES,CLOSTLV,KL,81.8373,1
LU,2002-01,GASDIES,CLOSTLV,KTONS,69.0000,1
LU,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
LU,2002-01,GASDIES,IPTRANSF,KBBL,,3
LU,2002-01,GASDIES,IPTRANSF,KBD,,3
LU,2002-01,GASDIES,IPTRANSF,KL,,3
LU,2002-01,GASDIES,IPTRANSF,KTONS,,3
LU,2002-01,GASDIES,PTRANSF,CONVBBL,,3
LU,2002-01,GASDIES,PTRANSF,KBBL,,3
LU,2002-01,GASDIES,PTRANSF,KBD,,3
LU,2002-01,GASDIES,PTRANSF,KL,,3
LU,2002-01,GASDIES,PTRANSF,KTONS,,3
LU,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
LU,2002-01,GASDIES,RECEIPTS,KBBL,,3
LU,2002-01,GASDIES,RECEIPTS,KBD,,3
LU,2002-01,GASDIES,RECEIPTS,KL,,3
LU,2002-01,GASDIES,RECEIPTS,KTONS,,3
LU,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
LU,2002-01,GASDIES,REFGROUT,KBBL,0.0000,1
LU,2002-01,GASDIES,REFGROUT,KBD,0.0000,1
LU,2002-01,GASDIES,REFGROUT,KL,0.0000,1
LU,2002-01,GASDIES,REFGROUT,KTONS,0.0000,1
LU,2002-01,GASDIES,STATDIFF,CONVBBL,,3
LU,2002-01,GASDIES,STATDIFF,KBBL,,3
LU,2002-01,GASDIES,STATDIFF,KBD,,3
LU,2002-01,GASDIES,STATDIFF,KL,,3
LU,2002-01,GASDIES,STATDIFF,KTONS,,3
LU,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
LU,2002-01,GASDIES,STOCKCH,KBBL,29.8400,1
LU,2002-01,GASDIES,STOCKCH,KBD,x,3
LU,2002-01,GASDIES,STOCKCH,KL,4.7442,1
LU,2002-01,GASDIES,STOCKCH,KTONS,4.0000,1
LU,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
LU,2002-01,GASDIES,TOTDEMO,KBBL,1014.5600,1
LU,2002-01,GASDIES,TOTDEMO,KBD,32.7277,1
LU,2002-01,GASDIES,TOTDEMO,KL,161.3024,1
LU,2002-01,GASDIES,TOTDEMO,KTONS,136.0000,1
LU,2002-01,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
LU,2002-01,GASDIES,TOTEXPSB,KBBL,7.4600,1
LU,2002-01,GASDIES,TOTEXPSB,KBD,0.2406,1
LU,2002-01,GASDIES,TOTEXPSB,KL,1.1860,1
LU,2002-01,GASDIES,TOTEXPSB,KTONS,1.0000,1
LU,2002-01,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
LU,2002-01,GASDIES,TOTIMPSB,KBBL,1051.8600,1
LU,2002-01,GASDIES,TOTIMPSB,KBD,33.9310,1
LU,2002-01,GASDIES,TOTIMPSB,KL,167.2327,1
LU,2002-01,GASDIES,TOTIMPSB,KTONS,141.0000,1
LU,2002-02,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
LU,2002-02,GASDIES,CLOSTLV,KBBL,589.3400,1
LU,2002-02,GASDIES,CLOSTLV,KBD,x,3
LU,2002-02,GASDIES,CLOSTLV,KL,93.6977,1
LU,2002-02,GASDIES,CLOSTLV,KTONS,79.0000,1
LU,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
LU,2002-02,GASDIES,IPTRANSF,KBBL,,3
LU,2002-02,GASDIES,IPTRANSF,KBD,,3
LU,2002-02,GASDIES,IPTRANSF,KL,,3
LU,2002-02,GASDIES,IPTRANSF,KTONS,,3
LU,2002-02,GASDIES,PTRANSF,CONVBBL,,3
LU,2002-02,GASDIES,PTRANSF,KBBL,,3
LU,2002-02,GASDIES,PTRANSF,KBD,,3
LU,2002-02,GASDIES,PTRANSF,KL,,3
LU,2002-02,GASDIES,PTRANSF,KTONS,,3
