REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
MX,2002-01,GASDIES,CLOSTLV,CONVBBL,7410.0000,3
MX,2002-01,GASDIES,CLOSTLV,KBBL,7143.2400,1
MX,2002-01,GASDIES,CLOSTLV,KBD,x,3
MX,2002-01,GASDIES,CLOSTLV,KL,1135.6863,1
MX,2002-01,GASDIES,CLOSTLV,KTONS,964.0000,1
MX,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
MX,2002-01,GASDIES,IPTRANSF,KBBL,,3
MX,2002-01,GASDIES,IPTRANSF,KBD,,3
MX,2002-01,GASDIES,IPTRANSF,KL,,3
MX,2002-01,GASDIES,IPTRANSF,KTONS,,3
MX,2002-01,GASDIES,PTRANSF,CONVBBL,,3
MX,2002-01,GASDIES,PTRANSF,KBBL,,3
MX,2002-01,GASDIES,PTRANSF,KBD,,3
MX,2002-01,GASDIES,PTRANSF,KL,,3
MX,2002-01,GASDIES,PTRANSF,KTONS,,3
MX,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
MX,2002-01,GASDIES,RECEIPTS,KBBL,,3
MX,2002-01,GASDIES,RECEIPTS,KBD,,3
MX,2002-01,GASDIES,RECEIPTS,KL,,3
MX,2002-01,GASDIES,RECEIPTS,KTONS,,3
MX,2002-01,GASDIES,REFGROUT,CONVBBL,7410.0000,3
MX,2002-01,GASDIES,REFGROUT,KBBL,9166.1700,1
MX,2002-01,GASDIES,REFGROUT,KBD,295.6829,1
MX,2002-01,GASDIES,REFGROUT,KL,1457.3071,1
MX,2002-01,GASDIES,REFGROUT,KTONS,1237.0000,1
MX,2002-01,GASDIES,STATDIFF,CONVBBL,,3
MX,2002-01,GASDIES,STATDIFF,KBBL,,3
MX,2002-01,GASDIES,STATDIFF,KBD,,3
MX,2002-01,GASDIES,STATDIFF,KL,,3
MX,2002-01,GASDIES,STATDIFF,KTONS,,3
MX,2002-01,GASDIES,STOCKCH,CONVBBL,7410.0000,3
MX,2002-01,GASDIES,STOCKCH,KBBL,637.2600,1
MX,2002-01,GASDIES,STOCKCH,KBD,x,3
MX,2002-01,GASDIES,STOCKCH,KL,101.3164,1
MX,2002-01,GASDIES,STOCKCH,KTONS,86.0000,1
MX,2002-01,GASDIES,TOTDEMO,CONVBBL,7410.0000,3
MX,2002-01,GASDIES,TOTDEMO,KBBL,8484.4500,1
MX,2002-01,GASDIES,TOTDEMO,KBD,273.6919,1
MX,2002-01,GASDIES,TOTDEMO,KL,1348.9221,1
MX,2002-01,GASDIES,TOTDEMO,KTONS,1145.0000,1
MX,2002-01,GASDIES,TOTEXPSB,CONVBBL,7410.0000,3
MX,2002-01,GASDIES,TOTEXPSB,KBBL,466.8300,1
MX,2002-01,GASDIES,TOTEXPSB,KBD,15.0590,1
MX,2002-01,GASDIES,TOTEXPSB,KL,74.2202,1
MX,2002-01,GASDIES,TOTEXPSB,KTONS,63.0000,1
MX,2002-01,GASDIES,TOTIMPSB,CONVBBL,7410.0000,3
MX,2002-01,GASDIES,TOTIMPSB,KBBL,637.2600,1
MX,2002-01,GASDIES,TOTIMPSB,KBD,20.5568,1
MX,2002-01,GASDIES,TOTIMPSB,KL,101.3164,1
MX,2002-01,GASDIES,TOTIMPSB,KTONS,86.0000,1
MX,2002-02,GASDIES,CLOSTLV,CONVBBL,7410.0000,3
MX,2002-02,GASDIES,CLOSTLV,KBBL,6083.6100,1
MX,2002-02,GASDIES,CLOSTLV,KBD,x,3
MX,2002-02,GASDIES,CLOSTLV,KL,967.2184,1
MX,2002-02,GASDIES,CLOSTLV,KTONS,821.0000,1
MX,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
MX,2002-02,GASDIES,IPTRANSF,KBBL,,3
MX,2002-02,GASDIES,IPTRANSF,KBD,,3
MX,2002-02,GASDIES,IPTRANSF,KL,,3
MX,2002-02,GASDIES,IPTRANSF,KTONS,,3
MX,2002-02,GASDIES,PTRANSF,CONVBBL,,3
MX,2002-02,GASDIES,PTRANSF,KBBL,,3
MX,2002-02,GASDIES,PTRANSF,KBD,,3
MX,2002-02,GASDIES,PTRANSF,KL,,3
MX,2002-02,GASDIES,PTRANSF,KTONS,,3
MX,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
MX,2002-02,GASDIES,RECEIPTS,KBBL,,3
MX,2002-02,GASDIES,RECEIPTS,KBD,,3
MX,2002-02,GASDIES,RECEIPTS,KL,,3
MX,2002-02,GASDIES,RECEIPTS,KTONS,,3
MX,2002-02,GASDIES,REFGROUT,CONVBBL,7410.0000,3
MX,2002-02,GASDIES,REFGROUT,KBBL,7691.5800,1
MX,2002-02,GASDIES,REFGROUT,KBD,274.6993,1
MX,2002-02,GASDIES,REFGROUT,KL,1222.8656,1
MX,2002-02,GASDIES,REFGROUT,KTONS,1038.0000,1
MX,2002-02,GASDIES,STATDIFF,CONVBBL,,3
MX,2002-02,GASDIES,STATDIFF,KBBL,,3
MX,2002-02,GASDIES,STATDIFF,KBD,,3
MX,2002-02,GASDIES,STATDIFF,KL,,3
MX,2002-02,GASDIES,STATDIFF,KTONS,,3
MX,2002-02,GASDIES,STOCKCH,CONVBBL,7410.0000,3
MX,2002-02,GASDIES,STOCKCH,KBBL,-1059.6300,1
MX,2002-02,GASDIES,STOCKCH,KBD,x,3
MX,2002-02,GASDIES,STOCKCH,KL,-168.4680,1
MX,2002-02,GASDIES,STOCKCH,KTONS,-143.0000,1
MX,2002-02,GASDIES,TOTDEMO,CONVBBL,7410.0000,3
MX,2002-02,GASDIES,TOTDEMO,KBBL,7847.1900,1
MX,2002-02,GASDIES,TOTDEMO,KBD,280.2568,1
MX,2002-02,GASDIES,TOTDEMO,KL,1247.6056,1
MX,2002-02,GASDIES,TOTDEMO,KTONS,1059.0000,1
MX,2002-02,GASDIES,TOTEXPSB,CONVBBL,7410.0000,3
MX,2002-02,GASDIES,TOTEXPSB,KBBL,459.4200,1
MX,2002-02,GASDIES,TOTEXPSB,KBD,16.4079,1
MX,2002-02,GASDIES,TOTEXPSB,KL,73.0421,1
MX,2002-02,GASDIES,TOTEXPSB,KTONS,62.0000,1
MX,2002-02,GASDIES,TOTIMPSB,CONVBBL,7410.0000,3
MX,2002-02,GASDIES,TOTIMPSB,KBBL,0.0000,1
MX,2002-02,GASDIES,TOTIMPSB,KBD,0.0000,1
MX,2002-02,GASDIES,TOTIMPSB,KL,0.0000,1
MX,2002-02,GASDIES,TOTIMPSB,KTONS,0.0000,1
MX,2002-03,GASDIES,CLOSTLV,CONVBBL,7410.0000,3
MX,2002-03,GASDIES,CLOSTLV,KBBL,5876.1300,1
MX,2002-03,GASDIES,CLOSTLV,KBD,x,3
MX,2002-03,GASDIES,CLOSTLV,KL,934.2316,1
MX,2002-03,GASDIES,CLOSTLV,KTONS,793.0000,1
MX,2002-03,GASDIES,IPTRANSF,CONVBBL,,3
MX,2002-03,GASDIES,IPTRANSF,KBBL,,3
MX,2002-03,GASDIES,IPTRANSF,KBD,,3
MX,2002-03,GASDIES,IPTRANSF,KL,,3
MX,2002-03,GASDIES,IPTRANSF,KTONS,,3
MX,2002-03,GASDIES,PTRANSF,CONVBBL,,3
MX,2002-03,GASDIES,PTRANSF,KBBL,,3
MX,2002-03,GASDIES,PTRANSF,KBD,,3
MX,2002-03,GASDIES,PTRANSF,KL,,3
MX,2002-03,GASDIES,PTRANSF,KTONS,,3
MX,2002-03,GASDIES,RECEIPTS,CONVBBL,,3
MX,2002-03,GASDIES,RECEIPTS,KBBL,,3
MX,2002-03,GASDIES,RECEIPTS,KBD,,3
MX,2002-03,GASDIES,RECEIPTS,KL,,3
MX,2002-03,GASDIES,RECEIPTS,KTONS,,3
MX,2002-03,GASDIES,REFGROUT,CONVBBL,7410.0000,3
MX,2002-03,GASDIES,REFGROUT,KBBL,8603.0100,1
MX,2002-03,GASDIES,REFGROUT,KBD,277.5165,1
MX,2002-03,GASDIES,REFGROUT,KL,1367.7716,1
MX,2002-03,GASDIES,REFGROUT,KTONS,1161.0000,1
MX,2002-03,GASDIES,STATDIFF,CONVBBL,,3
MX,2002-03,GASDIES,STATDIFF,KBBL,,3
MX,2002-03,GASDIES,STATDIFF,KBD,,3
MX,2002-03,GASDIES,STATDIFF,KL,,3
MX,2002-03,GASDIES,STATDIFF,KTONS,,3
MX,2002-03,GASDIES,STOCKCH,CONVBBL,7410.0000,3
MX,2002-03,GASDIES,STOCKCH,KBBL,-207.4800,1
MX,2002-03,GASDIES,STOCKCH,KBD,x,3
MX,2002-03,GASDIES,STOCKCH,KL,-32.9867,1
MX,2002-03,GASDIES,STOCKCH,KTONS,-28.0000,1
MX,2002-03,GASDIES,TOTDEMO,CONVBBL,7410.0000,3
MX,2002-03,GASDIES,TOTDEMO,KBBL,8136.1800,1
MX,2002-03,GASDIES,TOTDEMO,KBD,262.4574,1
MX,2002-03,GASDIES,TOTDEMO,KL,1293.5515,1
MX,2002-03,GASDIES,TOTDEMO,KTONS,1098.0000,1
MX,2002-03,GASDIES,TOTEXPSB,CONVBBL,7410.0000,3
MX,2002-03,GASDIES,TOTEXPSB,KBBL,526.1100,1
MX,2002-03,GASDIES,TOTEXPSB,KBD,16.9713,1
MX,2002-03,GASDIES,TOTEXPSB,KL,83.6449,1
MX,2002-03,GASDIES,TOTEXPSB,KTONS,71.0000,1
MX,2002-03,GASDIES,TOTIMPSB,CONVBBL,7410.0000,3
MX,2002-03,GASDIES,TOTIMPSB,KBBL,518.7000,1
MX,2002-03,GASDIES,TOTIMPSB,KBD,16.7323,1
MX,2002-03,GASDIES,TOTIMPSB,KL,82.4669,1
MX,2002-03,GASDIES,TOTIMPSB,KTONS,70.0000,1
MX,2002-04,GASDIES,CLOSTLV,CONVBBL,7410.0000,3
MX,2002-04,GASDIES,CLOSTLV,KBBL,6231.8100,1
MX,2002-04,GASDIES,CLOSTLV,KBD,x,3
MX,2002-04,GASDIES,CLOSTLV,KL,990.7803,1
MX,2002-04,GASDIES,CLOSTLV,KTONS,841.0000,1
MX,2002-04,GASDIES,IPTRANSF,CONVBBL,,3
MX,2002-04,GASDIES,IPTRANSF,KBBL,,3
MX,2002-04,GASDIES,IPTRANSF,KBD,,3
MX,2002-04,GASDIES,IPTRANSF,KL,,3
MX,2002-04,GASDIES,IPTRANSF,KTONS,,3
MX,2002-04,GASDIES,PTRANSF,CONVBBL,,3
MX,2002-04,GASDIES,PTRANSF,KBBL,,3
MX,2002-04,GASDIES,PTRANSF,KBD,,3
MX,2002-04,GASDIES,PTRANSF,KL,,3
MX,2002-04,GASDIES,PTRANSF,KTONS,,3
MX,2002-04,GASDIES,RECEIPTS,CONVBBL,,3
