REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
PH,2002-01,GASDIES,CLOSTLV,CONVBBL,7455.0000,3
PH,2002-01,GASDIES,CLOSTLV,KBBL,1998.0000,3
PH,2002-01,GASDIES,CLOSTLV,KBD,x,3
PH,2002-01,GASDIES,CLOSTLV,KL,317.6476,3
PH,2002-01,GASDIES,CLOSTLV,KTONS,268.0000,3
PH,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
PH,2002-01,GASDIES,IPTRANSF,KBBL,,3
PH,2002-01,GASDIES,IPTRANSF,KBD,,3
PH,2002-01,GASDIES,IPTRANSF,KL,,3
PH,2002-01,GASDIES,IPTRANSF,KTONS,,3
PH,2002-01,GASDIES,PTRANSF,CONVBBL,,3
PH,2002-01,GASDIES,PTRANSF,KBBL,,3
PH,2002-01,GASDIES,PTRANSF,KBD,,3
PH,2002-01,GASDIES,PTRANSF,KL,,3
PH,2002-01,GASDIES,PTRANSF,KTONS,,3
PH,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
PH,2002-01,GASDIES,RECEIPTS,KBBL,,3
PH,2002-01,GASDIES,RECEIPTS,KBD,,3
PH,2002-01,GASDIES,RECEIPTS,KL,,3
PH,2002-01,GASDIES,RECEIPTS,KTONS,,3
PH,2002-01,GASDIES,REFGROUT,CONVBBL,7471.0000,3
PH,2002-01,GASDIES,REFGROUT,KBBL,2032.0000,3
PH,2002-01,GASDIES,REFGROUT,KBD,65.5484,3
PH,2002-01,GASDIES,REFGROUT,KL,323.0805,3
PH,2002-01,GASDIES,REFGROUT,KTONS,272.0000,3
PH,2002-01,GASDIES,STATDIFF,CONVBBL,,3
PH,2002-01,GASDIES,STATDIFF,KBBL,,3
PH,2002-01,GASDIES,STATDIFF,KBD,,3
PH,2002-01,GASDIES,STATDIFF,KL,,3
PH,2002-01,GASDIES,STATDIFF,KTONS,,3
PH,2002-01,GASDIES,STOCKCH,CONVBBL,7510.0000,3
PH,2002-01,GASDIES,STOCKCH,KBBL,-368.0000,3
PH,2002-01,GASDIES,STOCKCH,KBD,x,3
PH,2002-01,GASDIES,STOCKCH,KL,-58.5058,3
PH,2002-01,GASDIES,STOCKCH,KTONS,-49.0000,3
PH,2002-01,GASDIES,TOTDEMO,CONVBBL,7464.0000,3
PH,2002-01,GASDIES,TOTDEMO,KBBL,3687.0000,2
PH,2002-01,GASDIES,TOTDEMO,KBD,118.9355,2
PH,2002-01,GASDIES,TOTDEMO,KL,586.2215,2
PH,2002-01,GASDIES,TOTDEMO,KTONS,494.0000,2
PH,2002-01,GASDIES,TOTEXPSB,CONVBBL,7000.0000,3
PH,2002-01,GASDIES,TOTEXPSB,KBBL,0.0000,3
PH,2002-01,GASDIES,TOTEXPSB,KBD,0.0000,3
PH,2002-01,GASDIES,TOTEXPSB,KL,0.0000,3
PH,2002-01,GASDIES,TOTEXPSB,KTONS,0.0000,3
PH,2002-01,GASDIES,TOTIMPSB,CONVBBL,7461.0000,3
PH,2002-01,GASDIES,TOTIMPSB,KBBL,1537.0000,3
PH,2002-01,GASDIES,TOTIMPSB,KBD,49.5806,3
PH,2002-01,GASDIES,TOTIMPSB,KL,244.3585,3
PH,2002-01,GASDIES,TOTIMPSB,KTONS,206.0000,3
PH,2002-02,GASDIES,CLOSTLV,CONVBBL,7472.0000,3
PH,2002-02,GASDIES,CLOSTLV,KBBL,1883.0000,3
PH,2002-02,GASDIES,CLOSTLV,KBD,x,3
PH,2002-02,GASDIES,CLOSTLV,KL,299.3647,3
PH,2002-02,GASDIES,CLOSTLV,KTONS,252.0000,3
PH,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
PH,2002-02,GASDIES,IPTRANSF,KBBL,,3
PH,2002-02,GASDIES,IPTRANSF,KBD,,3
PH,2002-02,GASDIES,IPTRANSF,KL,,3
PH,2002-02,GASDIES,IPTRANSF,KTONS,,3
PH,2002-02,GASDIES,PTRANSF,CONVBBL,,3
PH,2002-02,GASDIES,PTRANSF,KBBL,,3
PH,2002-02,GASDIES,PTRANSF,KBD,,3
PH,2002-02,GASDIES,PTRANSF,KL,,3
PH,2002-02,GASDIES,PTRANSF,KTONS,,3
PH,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
PH,2002-02,GASDIES,RECEIPTS,KBBL,,3
PH,2002-02,GASDIES,RECEIPTS,KBD,,3
PH,2002-02,GASDIES,RECEIPTS,KL,,3
PH,2002-02,GASDIES,RECEIPTS,KTONS,,3
PH,2002-02,GASDIES,REFGROUT,CONVBBL,7452.0000,3
PH,2002-02,GASDIES,REFGROUT,KBBL,2012.0000,3
PH,2002-02,GASDIES,REFGROUT,KBD,71.8571,3
PH,2002-02,GASDIES,REFGROUT,KL,319.8893,3
PH,2002-02,GASDIES,REFGROUT,KTONS,270.0000,3
PH,2002-02,GASDIES,STATDIFF,CONVBBL,,3
PH,2002-02,GASDIES,STATDIFF,KBBL,,3
PH,2002-02,GASDIES,STATDIFF,KBD,,3
PH,2002-02,GASDIES,STATDIFF,KL,,3
PH,2002-02,GASDIES,STATDIFF,KTONS,,3
PH,2002-02,GASDIES,STOCKCH,CONVBBL,7667.0000,3
PH,2002-02,GASDIES,STOCKCH,KBBL,-115.0000,1
PH,2002-02,GASDIES,STOCKCH,KBD,x,3
PH,2002-02,GASDIES,STOCKCH,KL,-18.2844,1
PH,2002-02,GASDIES,STOCKCH,KTONS,-15.0000,1
PH,2002-02,GASDIES,TOTDEMO,CONVBBL,7458.0000,3
PH,2002-02,GASDIES,TOTDEMO,KBBL,3401.0000,1
PH,2002-02,GASDIES,TOTDEMO,KBD,121.4643,1
PH,2002-02,GASDIES,TOTDEMO,KL,540.6925,1
PH,2002-02,GASDIES,TOTDEMO,KTONS,456.0000,1
PH,2002-02,GASDIES,TOTEXPSB,CONVBBL,7346.0000,3
PH,2002-02,GASDIES,TOTEXPSB,KBBL,191.0000,3
PH,2002-02,GASDIES,TOTEXPSB,KBD,6.8214,3
PH,2002-02,GASDIES,TOTEXPSB,KL,30.3660,3
PH,2002-02,GASDIES,TOTEXPSB,KTONS,26.0000,3
PH,2002-02,GASDIES,TOTIMPSB,CONVBBL,7463.0000,3
PH,2002-02,GASDIES,TOTIMPSB,KBBL,1612.0000,3
PH,2002-02,GASDIES,TOTIMPSB,KBD,57.5714,3
PH,2002-02,GASDIES,TOTIMPSB,KL,256.2892,3
PH,2002-02,GASDIES,TOTIMPSB,KTONS,216.0000,3
PH,2002-03,GASDIES,CLOSTLV,CONVBBL,7461.0000,3
PH,2002-03,GASDIES,CLOSTLV,KBBL,1992.0000,3
PH,2002-03,GASDIES,CLOSTLV,KBD,x,3
PH,2002-03,GASDIES,CLOSTLV,KL,316.7171,3
PH,2002-03,GASDIES,CLOSTLV,KTONS,267.0000,3
PH,2002-03,GASDIES,IPTRANSF,CONVBBL,,3
PH,2002-03,GASDIES,IPTRANSF,KBBL,,3
PH,2002-03,GASDIES,IPTRANSF,KBD,,3
PH,2002-03,GASDIES,IPTRANSF,KL,,3
PH,2002-03,GASDIES,IPTRANSF,KTONS,,3
PH,2002-03,GASDIES,PTRANSF,CONVBBL,,3
PH,2002-03,GASDIES,PTRANSF,KBBL,,3
PH,2002-03,GASDIES,PTRANSF,KBD,,3
PH,2002-03,GASDIES,PTRANSF,KL,,3
PH,2002-03,GASDIES,PTRANSF,KTONS,,3
PH,2002-03,GASDIES,RECEIPTS,CONVBBL,,3
PH,2002-03,GASDIES,RECEIPTS,KBBL,,3
PH,2002-03,GASDIES,RECEIPTS,KBD,,3
PH,2002-03,GASDIES,RECEIPTS,KL,,3
PH,2002-03,GASDIES,RECEIPTS,KTONS,,3
PH,2002-03,GASDIES,REFGROUT,CONVBBL,7447.0000,3
PH,2002-03,GASDIES,REFGROUT,KBBL,1899.0000,3
PH,2002-03,GASDIES,REFGROUT,KBD,61.2581,3
PH,2002-03,GASDIES,REFGROUT,KL,301.9150,3
PH,2002-03,GASDIES,REFGROUT,KTONS,255.0000,3
PH,2002-03,GASDIES,STATDIFF,CONVBBL,,3
PH,2002-03,GASDIES,STATDIFF,KBBL,,3
PH,2002-03,GASDIES,STATDIFF,KBD,,3
PH,2002-03,GASDIES,STATDIFF,KL,,3
PH,2002-03,GASDIES,STATDIFF,KTONS,,3
PH,2002-03,GASDIES,STOCKCH,CONVBBL,7267.0000,3
PH,2002-03,GASDIES,STOCKCH,KBBL,109.0000,1
PH,2002-03,GASDIES,STOCKCH,KBD,x,3
PH,2002-03,GASDIES,STOCKCH,KL,17.3304,1
PH,2002-03,GASDIES,STOCKCH,KTONS,15.0000,1
PH,2002-03,GASDIES,TOTDEMO,CONVBBL,7459.0000,3
PH,2002-03,GASDIES,TOTDEMO,KBBL,3767.0000,1
PH,2002-03,GASDIES,TOTDEMO,KBD,121.5161,1
PH,2002-03,GASDIES,TOTDEMO,KL,598.8736,1
PH,2002-03,GASDIES,TOTDEMO,KTONS,505.0000,1
PH,2002-03,GASDIES,TOTEXPSB,CONVBBL,7000.0000,3
PH,2002-03,GASDIES,TOTEXPSB,KBBL,0.0000,3
PH,2002-03,GASDIES,TOTEXPSB,KBD,0.0000,3
PH,2002-03,GASDIES,TOTEXPSB,KL,0.0000,3
PH,2002-03,GASDIES,TOTEXPSB,KTONS,0.0000,3
PH,2002-03,GASDIES,TOTIMPSB,CONVBBL,7455.0000,3
PH,2002-03,GASDIES,TOTIMPSB,KBBL,2050.0000,3
PH,2002-03,GASDIES,TOTIMPSB,KBD,66.1290,3
PH,2002-03,GASDIES,TOTIMPSB,KL,325.9444,3
PH,2002-03,GASDIES,TOTIMPSB,KTONS,275.0000,3
PH,2002-04,GASDIES,CLOSTLV,CONVBBL,7471.0000,3
PH,2002-04,GASDIES,CLOSTLV,KBBL,2286.0000,3
PH,2002-04,GASDIES,CLOSTLV,KBD,x,3
PH,2002-04,GASDIES,CLOSTLV,KL,363.4656,3
PH,2002-04,GASDIES,CLOSTLV,KTONS,306.0000,3
PH,2002-04,GASDIES,IPTRANSF,CONVBBL,,3
PH,2002-04,GASDIES,IPTRANSF,KBBL,,3
PH,2002-04,GASDIES,IPTRANSF,KBD,,3
PH,2002-04,GASDIES,IPTRANSF,KL,,3
PH,2002-04,GASDIES,IPTRANSF,KTONS,,3
PH,2002-04,GASDIES,PTRANSF,CONVBBL,,3
PH,2002-04,GASDIES,PTRANSF,KBBL,,3
PH,2002-04,GASDIES,PTRANSF,KBD,,3
PH,2002-04,GASDIES,PTRANSF,KL,,3
PH,2002-04,GASDIES,PTRANSF,KTONS,,3
PH,2002-04,GASDIES,RECEIPTS,CONVBBL,,3
PH,2002-04,GASDIES,RECEIPTS,KBBL,,3
PH,2002-04,GASDIES,RECEIPTS,KBD,,3
PH,2002-04,GASDIES,RECEIPTS,KL,,3
PH,2002-04,GASDIES,RECEIPTS,KTONS,,3
PH,2002-04,GASDIES,REFGROUT,CONVBBL,7454.0000,3
PH,2002-04,GASDIES,REFGROUT,KBBL,2445.0000,3
PH,2002-04,GASDIES,REFGROUT,KBD,81.5000,3
PH,2002-04,GASDIES,REFGROUT,KL,388.7106,3
PH,2002-04,GASDIES,REFGROUT,KTONS,328.0000,3
PH,2002-04,GASDIES,STATDIFF,CONVBBL,,3
PH,2002-04,GASDIES,STATDIFF,KBBL,,3
PH,2002-04,GASDIES,STATDIFF,KBD,,3
PH,2002-04,GASDIES,STATDIFF,KL,,3
PH,2002-04,GASDIES,STATDIFF,KTONS,,3
