REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
QA,2002-01,GASDIES,CLOSTLV,CONVBBL,7400.0000,3
QA,2002-01,GASDIES,CLOSTLV,KBBL,0.0000,3
QA,2002-01,GASDIES,CLOSTLV,KBD,x,3
QA,2002-01,GASDIES,CLOSTLV,KL,0.0000,3
QA,2002-01,GASDIES,CLOSTLV,KTONS,0.0000,3
QA,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
QA,2002-01,GASDIES,IPTRANSF,KBBL,,3
QA,2002-01,GASDIES,IPTRANSF,KBD,,3
QA,2002-01,GASDIES,IPTRANSF,KL,,3
QA,2002-01,GASDIES,IPTRANSF,KTONS,,3
QA,2002-01,GASDIES,PTRANSF,CONVBBL,,3
QA,2002-01,GASDIES,PTRANSF,KBBL,,3
QA,2002-01,GASDIES,PTRANSF,KBD,,3
QA,2002-01,GASDIES,PTRANSF,KL,,3
QA,2002-01,GASDIES,PTRANSF,KTONS,,3
QA,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
QA,2002-01,GASDIES,RECEIPTS,KBBL,,3
QA,2002-01,GASDIES,RECEIPTS,KBD,,3
QA,2002-01,GASDIES,RECEIPTS,KL,,3
QA,2002-01,GASDIES,RECEIPTS,KTONS,,3
QA,2002-01,GASDIES,REFGROUT,CONVBBL,7400.0000,3
QA,2002-01,GASDIES,REFGROUT,KBBL,434.0000,3
QA,2002-01,GASDIES,REFGROUT,KBD,14.0000,3
QA,2002-01,GASDIES,REFGROUT,KL,69.0006,3
QA,2002-01,GASDIES,REFGROUT,KTONS,58.6486,3
QA,2002-01,GASDIES,STATDIFF,CONVBBL,,3
QA,2002-01,GASDIES,STATDIFF,KBBL,,3
QA,2002-01,GASDIES,STATDIFF,KBD,,3
QA,2002-01,GASDIES,STATDIFF,KL,,3
QA,2002-01,GASDIES,STATDIFF,KTONS,,3
QA,2002-01,GASDIES,STOCKCH,CONVBBL,7400.0000,3
QA,2002-01,GASDIES,STOCKCH,KBBL,-62.0000,3
QA,2002-01,GASDIES,STOCKCH,KBD,x,3
QA,2002-01,GASDIES,STOCKCH,KL,-9.8572,3
QA,2002-01,GASDIES,STOCKCH,KTONS,-8.3784,3
QA,2002-01,GASDIES,TOTDEMO,CONVBBL,7400.0000,3
QA,2002-01,GASDIES,TOTDEMO,KBBL,248.0000,2
QA,2002-01,GASDIES,TOTDEMO,KBD,8.0000,2
QA,2002-01,GASDIES,TOTDEMO,KL,39.4289,2
QA,2002-01,GASDIES,TOTDEMO,KTONS,33.5135,2
QA,2002-01,GASDIES,TOTEXPSB,CONVBBL,7400.0000,3
QA,2002-01,GASDIES,TOTEXPSB,KBBL,248.0000,3
QA,2002-01,GASDIES,TOTEXPSB,KBD,8.0000,3
QA,2002-01,GASDIES,TOTEXPSB,KL,39.4289,3
QA,2002-01,GASDIES,TOTEXPSB,KTONS,33.5135,3
QA,2002-01,GASDIES,TOTIMPSB,CONVBBL,7400.0000,3
QA,2002-01,GASDIES,TOTIMPSB,KBBL,0.0000,3
QA,2002-01,GASDIES,TOTIMPSB,KBD,0.0000,3
QA,2002-01,GASDIES,TOTIMPSB,KL,0.0000,3
QA,2002-01,GASDIES,TOTIMPSB,KTONS,0.0000,3
QA,2002-02,GASDIES,CLOSTLV,CONVBBL,7400.0000,3
QA,2002-02,GASDIES,CLOSTLV,KBBL,0.0000,3
QA,2002-02,GASDIES,CLOSTLV,KBD,x,3
QA,2002-02,GASDIES,CLOSTLV,KL,0.0000,3
QA,2002-02,GASDIES,CLOSTLV,KTONS,0.0000,3
QA,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
QA,2002-02,GASDIES,IPTRANSF,KBBL,,3
QA,2002-02,GASDIES,IPTRANSF,KBD,,3
QA,2002-02,GASDIES,IPTRANSF,KL,,3
QA,2002-02,GASDIES,IPTRANSF,KTONS,,3
QA,2002-02,GASDIES,PTRANSF,CONVBBL,,3
QA,2002-02,GASDIES,PTRANSF,KBBL,,3
QA,2002-02,GASDIES,PTRANSF,KBD,,3
QA,2002-02,GASDIES,PTRANSF,KL,,3
QA,2002-02,GASDIES,PTRANSF,KTONS,,3
QA,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
QA,2002-02,GASDIES,RECEIPTS,KBBL,,3
QA,2002-02,GASDIES,RECEIPTS,KBD,,3
QA,2002-02,GASDIES,RECEIPTS,KL,,3
QA,2002-02,GASDIES,RECEIPTS,KTONS,,3
QA,2002-02,GASDIES,REFGROUT,CONVBBL,7400.0000,3
QA,2002-02,GASDIES,REFGROUT,KBBL,560.0000,3
QA,2002-02,GASDIES,REFGROUT,KBD,20.0000,3
QA,2002-02,GASDIES,REFGROUT,KL,89.0330,3
QA,2002-02,GASDIES,REFGROUT,KTONS,75.6757,3
QA,2002-02,GASDIES,STATDIFF,CONVBBL,,3
QA,2002-02,GASDIES,STATDIFF,KBBL,,3
QA,2002-02,GASDIES,STATDIFF,KBD,,3
QA,2002-02,GASDIES,STATDIFF,KL,,3
QA,2002-02,GASDIES,STATDIFF,KTONS,,3
QA,2002-02,GASDIES,STOCKCH,CONVBBL,7400.0000,3
QA,2002-02,GASDIES,STOCKCH,KBBL,108.0000,3
QA,2002-02,GASDIES,STOCKCH,KBD,x,3
QA,2002-02,GASDIES,STOCKCH,KL,17.1707,3
QA,2002-02,GASDIES,STOCKCH,KTONS,14.5946,3
QA,2002-02,GASDIES,TOTDEMO,CONVBBL,7400.0000,3
QA,2002-02,GASDIES,TOTDEMO,KBBL,224.0000,2
QA,2002-02,GASDIES,TOTDEMO,KBD,8.0000,2
QA,2002-02,GASDIES,TOTDEMO,KL,35.6132,2
QA,2002-02,GASDIES,TOTDEMO,KTONS,30.2703,2
QA,2002-02,GASDIES,TOTEXPSB,CONVBBL,7400.0000,3
QA,2002-02,GASDIES,TOTEXPSB,KBBL,224.0000,3
QA,2002-02,GASDIES,TOTEXPSB,KBD,8.0000,3
QA,2002-02,GASDIES,TOTEXPSB,KL,35.6132,3
QA,2002-02,GASDIES,TOTEXPSB,KTONS,30.2703,3
QA,2002-02,GASDIES,TOTIMPSB,CONVBBL,7400.0000,3
QA,2002-02,GASDIES,TOTIMPSB,KBBL,0.0000,3
QA,2002-02,GASDIES,TOTIMPSB,KBD,0.0000,3
QA,2002-02,GASDIES,TOTIMPSB,KL,0.0000,3
QA,2002-02,GASDIES,TOTIMPSB,KTONS,0.0000,3
QA,2002-03,GASDIES,CLOSTLV,CONVBBL,7400.0000,3
QA,2002-03,GASDIES,CLOSTLV,KBBL,0.0000,3
QA,2002-03,GASDIES,CLOSTLV,KBD,x,3
QA,2002-03,GASDIES,CLOSTLV,KL,0.0000,3
QA,2002-03,GASDIES,CLOSTLV,KTONS,0.0000,3
QA,2002-03,GASDIES,IPTRANSF,CONVBBL,,3
QA,2002-03,GASDIES,IPTRANSF,KBBL,,3
QA,2002-03,GASDIES,IPTRANSF,KBD,,3
QA,2002-03,GASDIES,IPTRANSF,KL,,3
QA,2002-03,GASDIES,IPTRANSF,KTONS,,3
QA,2002-03,GASDIES,PTRANSF,CONVBBL,,3
QA,2002-03,GASDIES,PTRANSF,KBBL,,3
QA,2002-03,GASDIES,PTRANSF,KBD,,3
QA,2002-03,GASDIES,PTRANSF,KL,,3
QA,2002-03,GASDIES,PTRANSF,KTONS,,3
QA,2002-03,GASDIES,RECEIPTS,CONVBBL,,3
QA,2002-03,GASDIES,RECEIPTS,KBBL,,3
QA,2002-03,GASDIES,RECEIPTS,KBD,,3
QA,2002-03,GASDIES,RECEIPTS,KL,,3
QA,2002-03,GASDIES,RECEIPTS,KTONS,,3
QA,2002-03,GASDIES,REFGROUT,CONVBBL,7400.0000,3
QA,2002-03,GASDIES,REFGROUT,KBBL,558.0000,3
QA,2002-03,GASDIES,REFGROUT,KBD,18.0000,3
QA,2002-03,GASDIES,REFGROUT,KL,88.7151,3
QA,2002-03,GASDIES,REFGROUT,KTONS,75.4054,3
QA,2002-03,GASDIES,STATDIFF,CONVBBL,,3
QA,2002-03,GASDIES,STATDIFF,KBBL,,3
QA,2002-03,GASDIES,STATDIFF,KBD,,3
QA,2002-03,GASDIES,STATDIFF,KL,,3
QA,2002-03,GASDIES,STATDIFF,KTONS,,3
QA,2002-03,GASDIES,STOCKCH,CONVBBL,7400.0000,3
QA,2002-03,GASDIES,STOCKCH,KBBL,73.0000,3
QA,2002-03,GASDIES,STOCKCH,KBD,x,3
QA,2002-03,GASDIES,STOCKCH,KL,11.6061,3
QA,2002-03,GASDIES,STOCKCH,KTONS,9.8649,3
QA,2002-03,GASDIES,TOTDEMO,CONVBBL,7400.0000,3
QA,2002-03,GASDIES,TOTDEMO,KBBL,248.0000,2
QA,2002-03,GASDIES,TOTDEMO,KBD,8.0000,2
QA,2002-03,GASDIES,TOTDEMO,KL,39.4289,2
QA,2002-03,GASDIES,TOTDEMO,KTONS,33.5135,2
QA,2002-03,GASDIES,TOTEXPSB,CONVBBL,7400.0000,3
QA,2002-03,GASDIES,TOTEXPSB,KBBL,217.0000,3
QA,2002-03,GASDIES,TOTEXPSB,KBD,7.0000,3
QA,2002-03,GASDIES,TOTEXPSB,KL,34.5003,3
QA,2002-03,GASDIES,TOTEXPSB,KTONS,29.3243,3
QA,2002-03,GASDIES,TOTIMPSB,CONVBBL,7400.0000,3
QA,2002-03,GASDIES,TOTIMPSB,KBBL,0.0000,3
QA,2002-03,GASDIES,TOTIMPSB,KBD,0.0000,3
QA,2002-03,GASDIES,TOTIMPSB,KL,0.0000,3
QA,2002-03,GASDIES,TOTIMPSB,KTONS,0.0000,3
QA,2002-04,GASDIES,CLOSTLV,CONVBBL,7400.0000,3
QA,2002-04,GASDIES,CLOSTLV,KBBL,0.0000,3
QA,2002-04,GASDIES,CLOSTLV,KBD,x,3
QA,2002-04,GASDIES,CLOSTLV,KL,0.0000,3
QA,2002-04,GASDIES,CLOSTLV,KTONS,0.0000,3
QA,2002-04,GASDIES,IPTRANSF,CONVBBL,,3
QA,2002-04,GASDIES,IPTRANSF,KBBL,,3
QA,2002-04,GASDIES,IPTRANSF,KBD,,3
QA,2002-04,GASDIES,IPTRANSF,KL,,3
QA,2002-04,GASDIES,IPTRANSF,KTONS,,3
QA,2002-04,GASDIES,PTRANSF,CONVBBL,,3
QA,2002-04,GASDIES,PTRANSF,KBBL,,3
QA,2002-04,GASDIES,PTRANSF,KBD,,3
QA,2002-04,GASDIES,PTRANSF,KL,,3
QA,2002-04,GASDIES,PTRANSF,KTONS,,3
QA,2002-04,GASDIES,RECEIPTS,CONVBBL,,3
QA,2002-04,GASDIES,RECEIPTS,KBBL,,3
QA,2002-04,GASDIES,RECEIPTS,KBD,,3
QA,2002-04,GASDIES,RECEIPTS,KL,,3
QA,2002-04,GASDIES,RECEIPTS,KTONS,,3
QA,2002-04,GASDIES,REFGROUT,CONVBBL,7400.0000,3
QA,2002-04,GASDIES,REFGROUT,KBBL,600.0000,3
QA,2002-04,GASDIES,REFGROUT,KBD,20.0000,3
QA,2002-04,GASDIES,REFGROUT,KL,95.3925,3
QA,2002-04,GASDIES,REFGROUT,KTONS,81.0811,3
QA,2002-04,GASDIES,STATDIFF,CONVBBL,,3
QA,2002-04,GASDIES,STATDIFF,KBBL,,3
QA,2002-04,GASDIES,STATDIFF,KBD,,3
QA,2002-04,GASDIES,STATDIFF,KL,,3
QA,2002-04,GASDIES,STATDIFF,KTONS,,3
QA,2002-04,GASDIES,STOCKCH,CONVBBL,7400.0000,3
QA,2002-04,GASDIES,STOCKCH,KBBL,-231.0000,3
QA,2002-04,GASDIES,STOCKCH,KBD,x,3
QA,2002-04,GASDIES,STOCKCH,KL,-36.7261,3
QA,2002-04,GASDIES,STOCKCH,KTONS,-31.2162,3
QA,2002-04,GASDIES,TOTDEMO,CONVBBL,7400.0000,3
QA,2002-04,GASDIES,TOTDEMO,KBBL,270.0000,2
QA,2002-04,GASDIES,TOTDEMO,KBD,9.0000,2
QA,2002-04,GASDIES,TOTDEMO,KL,42.9266,2
QA,2002-04,GASDIES,TOTDEMO,KTONS,36.4865,2
QA,2002-04,GASDIES,TOTEXPSB,CONVBBL,7400.0000,3
QA,2002-04,GASDIES,TOTEXPSB,KBBL,540.0000,3
QA,2002-04,GASDIES,TOTEXPSB,KBD,18.0000,3
QA,2002-04,GASDIES,TOTEXPSB,KL,85.8533,3
QA,2002-04,GASDIES,TOTEXPSB,KTONS,72.9730,3
QA,2002-04,GASDIES,TOTIMPSB,CONVBBL,7400.0000,3
QA,2002-04,GASDIES,TOTIMPSB,KBBL,0.0000,3
QA,2002-04,GASDIES,TOTIMPSB,KBD,0.0000,3
QA,2002-04,GASDIES,TOTIMPSB,KL,0.0000,3
QA,2002-04,GASDIES,TOTIMPSB,KTONS,0.0000,3
QA,2002-05,GASDIES,CLOSTLV,CONVBBL,7400.0000,3
QA,2002-05,GASDIES,CLOSTLV,KBBL,0.0000,3
QA,2002-05,GASDIES,CLOSTLV,KBD,x,3
QA,2002-05,GASDIES,CLOSTLV,KL,0.0000,3
QA,2002-05,GASDIES,CLOSTLV,KTONS,0.0000,3
QA,2002-05,GASDIES,IPTRANSF,CONVBBL,,3
QA,2002-05,GASDIES,IPTRANSF,KBBL,,3
QA,2002-05,GASDIES,IPTRANSF,KBD,,3
QA,2002-05,GASDIES,IPTRANSF,KL,,3
QA,2002-05,GASDIES,IPTRANSF,KTONS,,3
QA,2002-05,GASDIES,PTRANSF,CONVBBL,,3
QA,2002-05,GASDIES,PTRANSF,KBBL,,3
QA,2002-05,GASDIES,PTRANSF,KBD,,3
QA,2002-05,GASDIES,PTRANSF,KL,,3
QA,2002-05,GASDIES,PTRANSF,KTONS,,3
QA,2002-05,GASDIES,RECEIPTS,CONVBBL,,3
QA,2002-05,GASDIES,RECEIPTS,KBBL,,3
QA,2002-05,GASDIES,RECEIPTS,KBD,,3
QA,2002-05,GASDIES,RECEIPTS,KL,,3
QA,2002-05,GASDIES,RECEIPTS,KTONS,,3
QA,2002-05,GASDIES,REFGROUT,CONVBBL,7400.0000,3
QA,2002-05,GASDIES,REFGROUT,KBBL,496.0000,3
QA,2002-05,GASDIES,REFGROUT,KBD,16.0000,3
QA,2002-05,GASDIES,REFGROUT,KL,78.8578,3
QA,2002-05,GASDIES,REFGROUT,KTONS,67.0270,3
QA,2002-05,GASDIES,STATDIFF,CONVBBL,,3
QA,2002-05,GASDIES,STATDIFF,KBBL,,3
QA,2002-05,GASDIES,STATDIFF,KBD,,3
QA,2002-05,GASDIES,STATDIFF,KL,,3
QA,2002-05,GASDIES,STATDIFF,KTONS,,3
QA,2002-05,GASDIES,STOCKCH,CONVBBL,7400.0000,3
QA,2002-05,GASDIES,STOCKCH,KBBL,8.0000,3
QA,2002-05,GASDIES,STOCKCH,KBD,x,3
QA,2002-05,GASDIES,STOCKCH,KL,1.2719,3
QA,2002-05,GASDIES,STOCKCH,KTONS,1.0811,3
QA,2002-05,GASDIES,TOTDEMO,CONVBBL,7400.0000,3
QA,2002-05,GASDIES,TOTDEMO,KBBL,279.0000,2
QA,2002-05,GASDIES,TOTDEMO,KBD,9.0000,2
QA,2002-05,GASDIES,TOTDEMO,KL,44.3575,2
QA,2002-05,GASDIES,TOTDEMO,KTONS,37.7027,2
QA,2002-05,GASDIES,TOTEXPSB,CONVBBL,7400.0000,3
QA,2002-05,GASDIES,TOTEXPSB,KBBL,217.0000,3
QA,2002-05,GASDIES,TOTEXPSB,KBD,7.0000,3
QA,2002-05,GASDIES,TOTEXPSB,KL,34.5003,3
QA,2002-05,GASDIES,TOTEXPSB,KTONS,29.3243,3
QA,2002-05,GASDIES,TOTIMPSB,CONVBBL,7400.0000,3
QA,2002-05,GASDIES,TOTIMPSB,KBBL,0.0000,3
QA,2002-05,GASDIES,TOTIMPSB,KBD,0.0000,3
QA,2002-05,GASDIES,TOTIMPSB,KL,0.0000,3
QA,2002-05,GASDIES,TOTIMPSB,KTONS,0.0000,3
QA,2002-06,GASDIES,CLOSTLV,CONVBBL,7400.0000,3
QA,2002-06,GASDIES,CLOSTLV,KBBL,0.0000,3
QA,2002-06,GASDIES,CLOSTLV,KBD,x,3
QA,2002-06,GASDIES,CLOSTLV,KL,0.0000,3
QA,2002-06,GASDIES,CLOSTLV,KTONS,0.0000,3
QA,2002-06,GASDIES,IPTRANSF,CONVBBL,,3
QA,2002-06,GASDIES,IPTRANSF,KBBL,,3
QA,2002-06,GASDIES,IPTRANSF,KBD,,3
QA,2002-06,GASDIES,IPTRANSF,KL,,3
QA,2002-06,GASDIES,IPTRANSF,KTONS,,3
QA,2002-06,GASDIES,PTRANSF,CONVBBL,,3
QA,2002-06,GASDIES,PTRANSF,KBBL,,3
QA,2002-06,GASDIES,PTRANSF,KBD,,3
QA,2002-06,GASDIES,PTRANSF,KL,,3
QA,2002-06,GASDIES,PTRANSF,KTONS,,3
QA,2002-06,GASDIES,RECEIPTS,CONVBBL,,3
QA,2002-06,GASDIES,RECEIPTS,KBBL,,3
QA,2002-06,GASDIES,RECEIPTS,KBD,,3
QA,2002-06,GASDIES,RECEIPTS,KL,,3
QA,2002-06,GASDIES,RECEIPTS,KTONS,,3
QA,2002-06,GASDIES,REFGROUT,CONVBBL,7400.0000,3
QA,2002-06,GASDIES,REFGROUT,KBBL,570.0000,3
QA,2002-06,GASDIES,REFGROUT,KBD,19.0000,3
QA,2002-06,GASDIES,REFGROUT,KL,90.6229,3
QA,2002-06,GASDIES,REFGROUT,KTONS,77.0270,3
