REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
SK,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
SK,2002-01,GASDIES,CLOSTLV,KBBL,992.1800,1
SK,2002-01,GASDIES,CLOSTLV,KBD,x,3
SK,2002-01,GASDIES,CLOSTLV,KL,157.7443,1
SK,2002-01,GASDIES,CLOSTLV,KTONS,133.0000,1
SK,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
SK,2002-01,GASDIES,IPTRANSF,KBBL,,3
SK,2002-01,GASDIES,IPTRANSF,KBD,,3
SK,2002-01,GASDIES,IPTRANSF,KL,,3
SK,2002-01,GASDIES,IPTRANSF,KTONS,,3
SK,2002-01,GASDIES,PTRANSF,CONVBBL,,3
SK,2002-01,GASDIES,PTRANSF,KBBL,,3
SK,2002-01,GASDIES,PTRANSF,KBD,,3
SK,2002-01,GASDIES,PTRANSF,KL,,3
SK,2002-01,GASDIES,PTRANSF,KTONS,,3
SK,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
SK,2002-01,GASDIES,RECEIPTS,KBBL,,3
SK,2002-01,GASDIES,RECEIPTS,KBD,,3
SK,2002-01,GASDIES,RECEIPTS,KL,,3
SK,2002-01,GASDIES,RECEIPTS,KTONS,,3
SK,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
SK,2002-01,GASDIES,REFGROUT,KBBL,1424.8600,1
SK,2002-01,GASDIES,REFGROUT,KBD,45.9632,1
SK,2002-01,GASDIES,REFGROUT,KL,226.5350,1
SK,2002-01,GASDIES,REFGROUT,KTONS,191.0000,1
SK,2002-01,GASDIES,STATDIFF,CONVBBL,,3
SK,2002-01,GASDIES,STATDIFF,KBBL,,3
SK,2002-01,GASDIES,STATDIFF,KBD,,3
SK,2002-01,GASDIES,STATDIFF,KL,,3
SK,2002-01,GASDIES,STATDIFF,KTONS,,3
SK,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
SK,2002-01,GASDIES,STOCKCH,KBBL,462.5200,1
SK,2002-01,GASDIES,STOCKCH,KBD,x,3
SK,2002-01,GASDIES,STOCKCH,KL,73.5349,1
SK,2002-01,GASDIES,STOCKCH,KTONS,62.0000,1
SK,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
SK,2002-01,GASDIES,TOTDEMO,KBBL,298.4000,1
SK,2002-01,GASDIES,TOTDEMO,KBD,9.6258,1
SK,2002-01,GASDIES,TOTDEMO,KL,47.4419,1
SK,2002-01,GASDIES,TOTDEMO,KTONS,40.0000,1
SK,2002-01,GASDIES,TOTEXPSB,CONVBBL,7460.0000,3
SK,2002-01,GASDIES,TOTEXPSB,KBBL,850.4400,1
SK,2002-01,GASDIES,TOTEXPSB,KBD,27.4335,1
SK,2002-01,GASDIES,TOTEXPSB,KL,135.2094,1
SK,2002-01,GASDIES,TOTEXPSB,KTONS,114.0000,1
SK,2002-01,GASDIES,TOTIMPSB,CONVBBL,7460.0000,3
SK,2002-01,GASDIES,TOTIMPSB,KBBL,179.0400,1
SK,2002-01,GASDIES,TOTIMPSB,KBD,5.7755,1
SK,2002-01,GASDIES,TOTIMPSB,KL,28.4651,1
SK,2002-01,GASDIES,TOTIMPSB,KTONS,24.0000,1
SK,2002-02,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
SK,2002-02,GASDIES,CLOSTLV,KBBL,1178.6800,1
SK,2002-02,GASDIES,CLOSTLV,KBD,x,3
SK,2002-02,GASDIES,CLOSTLV,KL,187.3955,1
SK,2002-02,GASDIES,CLOSTLV,KTONS,158.0000,1
SK,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
SK,2002-02,GASDIES,IPTRANSF,KBBL,,3
SK,2002-02,GASDIES,IPTRANSF,KBD,,3
SK,2002-02,GASDIES,IPTRANSF,KL,,3
SK,2002-02,GASDIES,IPTRANSF,KTONS,,3
SK,2002-02,GASDIES,PTRANSF,CONVBBL,,3
SK,2002-02,GASDIES,PTRANSF,KBBL,,3
SK,2002-02,GASDIES,PTRANSF,KBD,,3
SK,2002-02,GASDIES,PTRANSF,KL,,3
SK,2002-02,GASDIES,PTRANSF,KTONS,,3
SK,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
SK,2002-02,GASDIES,RECEIPTS,KBBL,,3
