REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
US,2002-01,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
US,2002-01,GASDIES,CLOSTLV,KBBL,136533.0000,1
US,2002-01,GASDIES,CLOSTLV,KBD,x,3
US,2002-01,GASDIES,CLOSTLV,KL,21707.0368,1
US,2002-01,GASDIES,CLOSTLV,KTONS,18302.0000,1
US,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
US,2002-01,GASDIES,IPTRANSF,KBBL,,3
US,2002-01,GASDIES,IPTRANSF,KBD,,3
US,2002-01,GASDIES,IPTRANSF,KL,,3
US,2002-01,GASDIES,IPTRANSF,KTONS,,3
US,2002-01,GASDIES,PTRANSF,CONVBBL,,3
US,2002-01,GASDIES,PTRANSF,KBBL,,3
US,2002-01,GASDIES,PTRANSF,KBD,,3
US,2002-01,GASDIES,PTRANSF,KL,,3
US,2002-01,GASDIES,PTRANSF,KTONS,,3
US,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
US,2002-01,GASDIES,RECEIPTS,KBBL,,3
US,2002-01,GASDIES,RECEIPTS,KBD,,3
US,2002-01,GASDIES,RECEIPTS,KL,,3
US,2002-01,GASDIES,RECEIPTS,KTONS,,3
US,2002-01,GASDIES,REFGROUT,CONVBBL,7460.0000,3
US,2002-01,GASDIES,REFGROUT,KBBL,108740.0000,1
US,2002-01,GASDIES,REFGROUT,KBD,3507.7419,1
US,2002-01,GASDIES,REFGROUT,KL,17287.8247,1
US,2002-01,GASDIES,REFGROUT,KTONS,14576.0000,1
US,2002-01,GASDIES,STATDIFF,CONVBBL,,3
US,2002-01,GASDIES,STATDIFF,KBBL,,3
US,2002-01,GASDIES,STATDIFF,KBD,,3
US,2002-01,GASDIES,STATDIFF,KL,,3
US,2002-01,GASDIES,STATDIFF,KTONS,,3
US,2002-01,GASDIES,STOCKCH,CONVBBL,7460.0000,3
US,2002-01,GASDIES,STOCKCH,KBBL,-9765.0000,1
US,2002-01,GASDIES,STOCKCH,KBD,x,3
US,2002-01,GASDIES,STOCKCH,KL,-1552.5359,1
US,2002-01,GASDIES,STOCKCH,KTONS,-1309.0000,1
US,2002-01,GASDIES,TOTDEMO,CONVBBL,7460.0000,3
US,2002-01,GASDIES,TOTDEMO,KBBL,124576.0000,1
US,2002-01,GASDIES,TOTDEMO,KBD,4018.5806,1
US,2002-01,GASDIES,TOTDEMO,KL,19805.8030,1
US,2002-01,GASDIES,TOTDEMO,KTONS,16699.0000,1
US,2002-01,GASDIES,TOTEXPSB,CONVBBL,7455.0000,3
US,2002-01,GASDIES,TOTEXPSB,KBBL,3392.0000,1
US,2002-01,GASDIES,TOTEXPSB,KBD,109.4194,1
US,2002-01,GASDIES,TOTEXPSB,KL,539.2898,1
US,2002-01,GASDIES,TOTEXPSB,KTONS,455.0000,1
US,2002-01,GASDIES,TOTIMPSB,CONVBBL,7463.0000,3
US,2002-01,GASDIES,TOTIMPSB,KBBL,9239.0000,1
US,2002-01,GASDIES,TOTIMPSB,KBD,298.0323,1
US,2002-01,GASDIES,TOTIMPSB,KL,1468.9170,1
US,2002-01,GASDIES,TOTIMPSB,KTONS,1238.0000,1
US,2002-02,GASDIES,CLOSTLV,CONVBBL,7460.0000,3
US,2002-02,GASDIES,CLOSTLV,KBBL,129431.0000,1
US,2002-02,GASDIES,CLOSTLV,KBD,x,3
US,2002-02,GASDIES,CLOSTLV,KL,20577.9198,1
US,2002-02,GASDIES,CLOSTLV,KTONS,17350.0000,1
US,2002-02,GASDIES,IPTRANSF,CONVBBL,,3
US,2002-02,GASDIES,IPTRANSF,KBBL,,3
US,2002-02,GASDIES,IPTRANSF,KBD,,3
US,2002-02,GASDIES,IPTRANSF,KL,,3
US,2002-02,GASDIES,IPTRANSF,KTONS,,3
US,2002-02,GASDIES,PTRANSF,CONVBBL,,3
US,2002-02,GASDIES,PTRANSF,KBBL,,3
US,2002-02,GASDIES,PTRANSF,KBD,,3
US,2002-02,GASDIES,PTRANSF,KL,,3
US,2002-02,GASDIES,PTRANSF,KTONS,,3
US,2002-02,GASDIES,RECEIPTS,CONVBBL,,3
US,2002-02,GASDIES,RECEIPTS,KBBL,,3
US,2002-02,GASDIES,RECEIPTS,KBD,,3
US,2002-02,GASDIES,RECEIPTS,KL,,3
US,2002-02,GASDIES,RECEIPTS,KTONS,,3
