asOfDate,mbs,cmbs,tips,frn,tipsInflationCompensation,notesbonds,bills,agencies,total,ust_total,mbs_total
2003-07-09,0.0,0.0,12814483000,,928695000.0,398852847000,239304992000,10000000.0,650982322000.0,,0.0
2003-07-16,0.0,0.0,12814483000,,928695000.0,398852847000,239549686000,10000000.0,651227016000.0,,0.0
2003-07-23,0.0,0.0,12814483000,,1468195000.0,398852847000,239691886000,10000000.0,651369216000.0,,0.0
2003-07-30,0.0,0.0,12814483000,,928695000.0,398852847000,239725686000,10000000.0,651403016000.0,,0.0
2003-08-06,0.0,0.0,12814483000,,1465167000.0,398852847000,239891686000,10000000.0,651569016000.0,,0.0
2003-08-13,0.0,0.0,12814483000,,1468695000.0,398852847000,240141686000,10000000.0,651819016000.0,,0.0
2003-08-20,0.0,0.0,12814483000,,1472188000.0,398852847000,240376486000,10000000.0,652053816000.0,,0.0
2003-08-27,0.0,0.0,12814483000,,928695000.0,398852847000,240528186000,10000000.0,652205516000.0,,0.0
2003-09-03,0.0,0.0,12814483000,,1479261000.0,398852847000,240784686000,10000000.0,652462016000.0,,0.0
2003-09-10,0.0,0.0,13454483000,,1522527000.0,399594847000,241019786000,10000000.0,654079116000.0,,0.0
2003-09-17,0.0,0.0,13454483000,,1526291000.0,399594847000,241366886000,10000000.0,654426216000.0,,0.0
2003-09-24,0.0,0.0,13454483000,,1530122000.0,399594847000,241413986000,10000000.0,654473316000.0,,0.0
2003-10-01,0.0,0.0,13454483000,,1535220000.0,399594847000,241601286000,10000000.0,654660616000.0,,0.0
2003-10-08,0.0,0.0,13454483000,,1548107000.0,399594847000,241672386000,10000000.0,654731716000.0,,0.0
2003-10-15,0.0,0.0,13454483000,,1560973000.0,399594847000,241879086000,10000000.0,654938416000.0,,0.0
2003-10-22,0.0,0.0,13454483000,,1573862000.0,399594847000,242130986000,10000000.0,655190316000.0,,0.0
2003-10-29,0.0,0.0,13454483000,,1586746000.0,401322447000,242308486000,10000000.0,657095416000.0,,0.0
2003-11-05,0.0,0.0,13454483000,,1598563000.0,401322447000,242499986000,10000000.0,657286916000.0,,0.0
2003-11-12,0.0,0.0,13454483000,,1609969000.0,402422447000,242792486000,10000000.0,658679416000.0,,0.0
2003-11-19,0.0,0.0,13454483000,,1621412000.0,404669247000,242958086000,10000000.0,661091816000.0,,0.0
2003-11-26,0.0,0.0,13454483000,,1632794000.0,406173047000,243252886000,10000000.0,662890416000.0,,0.0
2003-12-03,0.0,0.0,13994483000,,1680002000.0,406173047000,243384886000,10000000.0,663562416000.0,,0.0
2003-12-10,0.0,0.0,13994483000,,1676133000.0,406173047000,243766786000,0.0,663934316000.0,,0.0
2003-12-17,0.0,0.0,13994483000,,1672335000.0,406173047000,244113386000,0.0,664280916000.0,,0.0
2003-12-24,0.0,0.0,13994483000,,1668482000.0,406173047000,244380586000,,664548116000.0,,0.0
2003-12-31,0.0,0.0,13994483000,,1664696000.0,406173047000,244832586000,,665000116000.0,,0.0
2004-01-07,0.0,0.0,13994483000,,1655115000.0,406173047000,244897186000,,665064716000.0,,0.0
2004-01-14,0.0,0.0,13994483000,,1645566000.0,406173047000,244984786000,,665152316000.0,,0.0
2004-01-21,0.0,0.0,13994483000,,1636040000.0,406173047000,245028186000,,665195716000.0,,0.0
2004-01-28,0.0,0.0,13994483000,,1626484000.0,406173047000,245265886000,,665433416000.0,,0.0
2004-02-04,0.0,0.0,13994483000,,1620050000.0,406173047000,245504586000,,665672116000.0,,0.0
2004-02-11,0.0,0.0,13994483000,,1615961000.0,408394047000,245846786000,,668235316000.0,,0.0
2004-02-18,0.0,0.0,13994483000,,1611856000.0,409124047000,246055486000,,669174016000.0,,0.0
2004-02-25,0.0,0.0,13994483000,,1607768000.0,409784047000,246141086000,,669919616000.0,,0.0
2004-03-03,0.0,0.0,13994483000,,1612801000.0,409784047000,246240186000,,670018716000.0,,0.0
2004-03-10,0.0,0.0,14464483000,,1639254000.0,410563247000,246372286000,,671400016000.0,,0.0
2004-03-17,0.0,0.0,14464483000,,1656676000.0,410563247000,246468586000,,671496316000.0,,0.0
2004-03-24,0.0,0.0,14464483000,,1674441000.0,411387597000,246468586000,,672320666000.0,,0.0
2004-03-31,0.0,0.0,14464483000,,1692180000.0,411387597000,246539286000,,672391366000.0,,0.0
2004-04-07,0.0,0.0,14464483000,,1712521000.0,411387597000,246729086000,,672581166000.0,,0.0
2004-04-14,0.0,0.0,14464483000,,1732896000.0,411387597000,247132086000,,672984166000.0,,0.0
2004-04-21,0.0,0.0,14464483000,,1753254000.0,411387597000,247332086000,,673184166000.0,,0.0
2004-04-28,0.0,0.0,14464483000,,1773587000.0,411387597000,248757486000,,674609566000.0,,0.0
2004-05-05,0.0,0.0,14464483000,,1796317000.0,411387597000,250162686000,,676014766000.0,,0.0
2004-05-12,0.0,0.0,14464483000,,1819952000.0,411387597000,250162686000,,676014766000.0,,0.0
2004-05-19,0.0,0.0,14464483000,,1843570000.0,413080197000,250229886000,,677774566000.0,,0.0
2004-05-26,0.0,0.0,14464483000,,1867183000.0,413862897000,250438586000,,678765966000.0,,0.0
2004-06-02,0.0,0.0,14464483000,,1887609000.0,414659497000,250471586000,,679595566000.0,,0.0
2004-06-09,0.0,0.0,14464483000,,1899781000.0,415659497000,251908186000,,682032166000.0,,0.0
2004-06-16,0.0,0.0,14464483000,,1912032000.0,416694497000,251921986000,,683080966000.0,,0.0
2004-06-23,0.0,0.0,14464483000,,1924224000.0,416694497000,252093586000,,683252566000.0,,0.0
2004-06-30,0.0,0.0,14464483000,,1936448000.0,416694497000,254295386000,,685454366000.0,,0.0
2004-07-07,0.0,0.0,14464483000,,1958134000.0,416694497000,254775586000,,685934566000.0,,0.0
2004-07-14,0.0,0.0,14862483000,,2016795000.0,418251497000,255178286000,,688292266000.0,,0.0
2004-07-21,0.0,0.0,14862483000,,2039047000.0,420149597000,255247686000,,690259766000.0,,0.0
2004-07-28,0.0,0.0,14862483000,,2061249000.0,421545797000,255247686000,,691655966000.0,,0.0
2004-08-04,0.0,0.0,14862483000,,2077727000.0,421545797000,255247686000,,691655966000.0,,0.0
2004-08-11,0.0,0.0,14862483000,,2089901000.0,421545797000,255247686000,,691655966000.0,,0.0
2004-08-18,0.0,0.0,14862483000,,2101986000.0,422541497000,255254486000,,692658466000.0,,0.0
2004-08-25,0.0,0.0,14862483000,,2114140000.0,422541497000,255322186000,,692726166000.0,,0.0
2004-09-01,0.0,0.0,14862483000,,2123656000.0,422541497000,255330386000,,692734366000.0,,0.0
2004-09-08,0.0,0.0,14862483000,,2117395000.0,422541497000,255347886000,,692751866000.0,,0.0
2004-09-15,0.0,0.0,14862483000,,2111118000.0,423340797000,255388786000,,693592066000.0,,0.0
