asOfDate,wam_years
2003-07-01,3.4229005719754717
2003-08-01,3.466947177132753
2003-09-01,3.4422851886706387
2003-10-01,3.39699475111806
2003-11-01,3.4121396204563377
2003-12-01,3.3889576460257578
2004-01-01,3.3389867869053984
2004-02-01,3.338699277945008
2004-03-01,3.330943856972226
2004-04-01,3.2700196872036256
2004-05-01,3.3044905617105704
2004-06-01,3.2756403145162842
2004-07-01,3.209740007256524
2004-08-01,3.239975612618869
2004-09-01,3.2103507065128007
2004-10-01,3.1794434185052407
2004-11-01,3.2296137743054567
2004-12-01,3.1707062566661626
2005-01-01,3.1433576607396025
2005-02-01,3.2286379782788597
2005-03-01,3.1920811213025395
2005-04-01,3.1661892803638034
2005-05-01,3.2227693272288698
2005-06-01,3.194237362983037
2005-07-01,3.1702669976081705
2005-08-01,3.176755489587982
2005-09-01,3.127046848996566
2005-10-01,3.086018253842235
2005-11-01,3.1452082325438737
2005-12-01,3.09598075418048
2006-01-01,3.0790321770360456
2006-02-01,3.131395385049455
2006-03-01,3.1259230643572704
2006-04-01,3.1080138202163603
2006-05-01,3.168941123710532
2006-06-01,3.126688783719296
2006-07-01,3.144280715113744
2006-08-01,3.2316572408747013
2006-09-01,3.2254245868303935
2006-10-01,3.2364679589764815
2006-11-01,3.276801421370679
2006-12-01,3.2815273278488677
2007-01-01,3.3282954034145984
2007-02-01,3.3631385281945163
2007-03-01,3.3153279377427354
2007-04-01,3.2977422517811252
2007-05-01,3.426248693185698
2007-06-01,3.4111488462639503
2007-07-01,3.391458781979606
2007-08-01,3.6923641443413673
2007-09-01,3.6966109723214506
2007-10-01,3.6923071721650444
2007-11-01,3.827250359715176
2007-12-01,3.9298035717096966
2008-01-01,4.111114234340135
2008-02-01,4.404854635865605
2008-03-01,4.997483418415464
2008-04-01,5.464858657531626
2008-05-01,6.230581997285752
2008-06-01,6.343995782231243
2008-07-01,6.2851834393819646
2008-08-01,6.644598101655411
2008-09-01,6.6785009365007175
2008-10-01,6.643566872680452
2008-11-01,6.805665825104267
2008-12-01,6.79258451409722
2009-01-01,6.765992024960414
2009-02-01,6.791589135223325
2009-03-01,6.785799623970106
2009-04-01,6.59585411418865
2009-05-01,6.792143282676477
2009-06-01,6.651597827737091
2009-07-01,6.684827041020951
2009-08-01,6.766966843443423
2009-09-01,6.70852513357948
2009-10-01,6.676891483356649
2009-11-01,6.750434221752769
2009-12-01,6.682145352123412
2010-01-01,6.665302442319528
2010-02-01,6.725293137003132
2010-03-01,6.682474275726514
2010-04-01,6.678533615204934
2010-05-01,6.713859813050863
2010-06-01,6.6580214604954495
2010-07-01,6.58349358098072
2010-08-01,6.577540142788222
2010-09-01,6.486436222995615
2010-10-01,6.484018598066703
2010-11-01,6.433901475341826
2010-12-01,6.3696693454569875
2011-01-01,6.373348313888763
2011-02-01,6.336472302293647
2011-03-01,6.323240943821263
