operationDate,srf_billion
2025-10-22,0.001
2025-10-23,3.003
2025-10-24,0.0
2025-10-27,8.4
2025-10-28,7.753
2025-10-29,10.233
2025-10-30,2.2
2025-10-31,20.35
2025-11-03,14.75
2025-11-04,2.8
2025-11-05,0.099
2025-11-06,0.001
2025-11-07,2.0
2025-11-10,0.003
2025-11-12,6.052
2025-11-13,3.9
2025-11-14,0.013
2025-11-17,2.551
2025-11-18,0.0
2025-11-19,0.0
2025-11-20,0.0
2025-11-21,0.0
2025-11-24,0.0
2025-11-25,10.6
2025-11-26,14.0
2025-11-28,24.4
2025-12-01,25.0
2025-12-02,9.253
2025-12-03,0.0
2025-12-04,0.0
2025-12-05,0.002
2025-12-08,0.0
2025-12-09,0.005
2025-12-10,0.0
