date,nonfarm_total,private_total,goods_producing,service_providing,private_service,government,mining_logging,construction,manufacturing,durable_goods,nondurable_goods,trade_transport_utilities,wholesale_trade,retail_trade,transport_warehouse,utilities,information,financial,professional_business,education_health,leisure_hospitality,other_services,hours_private,hours_goods,hours_private_service
2020-01-01,152031.0,129250.0,20999.0,131032.0,108251.0,22781.0,679.0,7575.0,12745.0,7963.0,4782.0,27775.0,5896.2,15512.5,5819.5,547.0,2901.0,8833.0,21476.0,24510.0,16823.0,5933.0,34.3,40.1,33.2
2020-02-01,152293.0,129436.0,21037.0,131256.0,108399.0,22857.0,684.0,7610.0,12743.0,7963.0,4780.0,27738.0,5893.4,15519.2,5777.5,547.4,2910.0,8872.0,21483.0,24573.0,16889.0,5934.0,34.3,40.1,33.2
2020-03-01,150895.0,128068.0,20903.0,129992.0,107165.0,22827.0,678.0,7541.0,12684.0,7930.0,4754.0,27659.0,5876.1,15432.9,5802.6,547.4,2902.0,8855.0,21388.0,24356.0,16158.0,5847.0,34.1,40.0,32.9
2020-04-01,130426.0,108517.0,18523.0,111903.0,89994.0,21909.0,619.0,6522.0,11382.0,7030.0,4352.0,24564.0,5485.6,13246.9,5288.7,542.6,2643.0,8592.0,19223.0,21742.0,8719.0,4511.0,34.2,38.2,33.4
2020-05-01,133040.0,111647.0,19209.0,113831.0,92438.0,21393.0,595.0,7004.0,11610.0,7162.0,4448.0,24975.0,5500.2,13631.4,5301.4,542.1,2609.0,8607.0,19410.0,22150.0,9947.0,4740.0,34.7,38.9,33.8
2020-06-01,137671.0,116259.0,19688.0,117983.0,96571.0,21412.0,579.0,7159.0,11950.0,7427.0,4523.0,25963.0,5541.2,14452.3,5430.0,539.9,2622.0,8622.0,19768.0,22727.0,11777.0,5092.0,34.6,39.1,33.6
2020-07-01,139255.0,117741.0,19738.0,119517.0,98003.0,21514.0,569.0,7196.0,11973.0,7448.0,4525.0,26231.0,5522.2,14675.8,5493.4,539.1,2622.0,8623.0,19953.0,22923.0,12415.0,5236.0,34.6,39.6,33.6
2020-08-01,140821.0,118821.0,19786.0,121035.0,99035.0,22000.0,561.0,7226.0,11999.0,7440.0,4559.0,26613.0,5539.3,14942.7,5590.2,541.0,2640.0,8649.0,20147.0,23124.0,12573.0,5289.0,34.7,39.8,33.7
2020-09-01,141770.0,119841.0,19871.0,121899.0,99970.0,21929.0,561.0,7253.0,12057.0,7482.0,4575.0,26746.0,5565.6,14981.1,5656.4,542.7,2695.0,8674.0,20267.0,23189.0,13065.0,5334.0,34.8,39.8,33.7
2020-10-01,142460.0,120655.0,19943.0,122517.0,100712.0,21805.0,556.0,7301.0,12086.0,7492.0,4594.0,26947.0,5577.2,15090.3,5737.8,541.6,2684.0,8691.0,20455.0,23278.0,13303.0,5354.0,34.8,40.0,33.8
2020-11-01,142733.0,121050.0,19993.0,122740.0,101057.0,21683.0,554.0,7321.0,12118.0,7517.0,4601.0,27112.0,5590.3,15126.8,5853.1,541.6,2696.0,8706.0,20602.0,23337.0,13260.0,5344.0,34.8,40.0,33.8
2020-12-01,142548.0,120870.0,20067.0,122481.0,100803.0,21678.0,557.0,7357.0,12153.0,7533.0,4620.0,27158.0,5599.1,15144.2,5872.9,541.5,2712.0,8718.0,20770.0,23334.0,12798.0,5313.0,34.8,39.9,33.7
2021-01-01,142863.0,121122.0,20053.0,122810.0,101069.0,21741.0,549.0,7362.0,12142.0,7524.0,4618.0,27201.0,5607.3,15165.9,5885.3,542.5,2747.0,8722.0,20922.0,23362.0,12801.0,5314.0,35.0,40.2,34.0
2021-02-01,143380.0,121626.0,19989.0,123391.0,101637.0,21754.0,539.0,7278.0,12172.0,7545.0,4627.0,27277.0,5618.8,15188.9,5926.8,542.1,2764.0,8718.0,20999.0,23413.0,13142.0,5324.0,34.6,39.6,33.6
2021-03-01,144232.0,122388.0,20181.0,124051.0,102207.0,21844.0,553.0,7399.0,12229.0,7585.0,4644.0,27423.0,5633.7,15232.8,6013.6,543.3,2770.0,8736.0,21109.0,23536.0,13298.0,5335.0,34.9,40.2,33.9
2021-04-01,144587.0,122694.0,20148.0,124439.0,102546.0,21893.0,555.0,7400.0,12193.0,7553.0,4640.0,27387.0,5651.4,15189.4,6001.3,544.6,2796.0,8750.0,21103.0,23584.0,13568.0,5358.0,34.9,40.1,33.9
2021-05-01,145065.0,123136.0,20164.0,124901.0,102972.0,21929.0,557.0,7391.0,12216.0,7571.0,4645.0,27431.0,5672.0,15191.5,6022.7,544.5,2816.0,8761.0,21176.0,23616.0,13802.0,5370.0,34.9,40.0,33.9
2021-06-01,145820.0,123789.0,20199.0,125621.0,103590.0,22031.0,559.0,7393.0,12247.0,7600.0,4647.0,27571.0,5699.9,15244.8,6081.5,544.6,2824.0,8773.0,21257.0,23642.0,14085.0,5438.0,34.8,39.8,33.8
2021-07-01,146762.0,124723.0,20291.0,126471.0,104432.0,22039.0,561.0,7425.0,12305.0,7640.0,4665.0,27652.0,5723.3,15238.2,6145.2,545.4,2881.0,8808.0,21418.0,23684.0,14495.0,5494.0,34.8,40.0,33.8
2021-08-01,147314.0,125178.0,20350.0,126964.0,104828.0,22136.0,565.0,7432.0,12353.0,7671.0,4682.0,27703.0,5744.0,15216.0,6197.9,544.9,2903.0,8826.0,21535.0,23708.0,14621.0,5532.0,34.8,40.0,33.7
2021-09-01,147771.0,125669.0,20443.0,127328.0,105226.0,22102.0,566.0,7484.0,12393.0,7698.0,4695.0,27832.0,5758.5,15280.1,6247.7,545.8,2917.0,8851.0,21636.0,23705.0,14746.0,5539.0,34.8,40.3,33.7
2021-10-01,148572.0,126545.0,20540.0,128032.0,106005.0,22027.0,569.0,7518.0,12453.0,7737.0,4716.0,27988.0,5773.9,15348.1,6319.2,546.3,2938.0,8879.0,21873.0,23800.0,14949.0,5578.0,34.7,39.8,33.7
2021-11-01,149230.0,127184.0,20632.0,128598.0,106552.0,22046.0,572.0,7562.0,12498.0,7756.0,4742.0,28151.0,5800.1,15407.0,6396.2,547.3,2957.0,8911.0,22019.0,23845.0,15071.0,5598.0,34.8,40.1,33.8
2021-12-01,149816.0,127754.0,20709.0,129107.0,107045.0,22062.0,577.0,7595.0,12537.0,7777.0,4760.0,28262.0,5828.1,15421.7,6465.0,547.6,2967.0,8938.0,22129.0,23886.0,15246.0,5617.0,34.9,40.2,33.8
2022-01-01,150006.0,127957.0,20737.0,129269.0,107220.0,22049.0,578.0,7595.0,12564.0,7800.0,4764.0,28318.0,5851.6,15428.6,6487.3,550.4,2984.0,8934.0,22183.0,23869.0,15329.0,5603.0,34.5,39.8,33.5
2022-02-01,150825.0,128793.0,20833.0,129992.0,107960.0,22032.0,581.0,7651.0,12601.0,7808.0,4793.0,28528.0,5876.5,15537.4,6562.7,551.0,2990.0,8976.0,22372.0,23984.0,15462.0,5648.0,34.7,40.2,33.6
2022-03-01,151315.0,129282.0,20955.0,130360.0,108327.0,22033.0,589.0,7692.0,12674.0,7863.0,4811.0,28593.0,5913.7,15537.1,6590.7,551.7,3018.0,9002.0,22483.0,24057.0,15523.0,5651.0,34.7,40.0,33.6
2022-04-01,151623.0,129554.0,21020.0,130603.0,108534.0,22069.0,596.0,7698.0,12726.0,7894.0,4832.0,28595.0,5945.3,15488.0,6607.9,553.9,3034.0,9037.0,22468.0,24117.0,15626.0,5657.0,34.6,40.0,33.6
2022-05-01,151924.0,129799.0,21073.0,130851.0,108726.0,22125.0,600.0,7738.0,12735.0,7894.0,4841.0,28572.0,5970.7,15418.7,6627.2,555.7,3057.0,9049.0,22503.0,24176.0,15704.0,5665.0,34.6,40.0,33.5
2022-06-01,152358.0,130216.0,21136.0,131222.0,109080.0,22142.0,608.0,7761.0,12767.0,7906.0,4861.0,28646.0,5987.6,15464.6,6636.4,557.1,3076.0,9059.0,22564.0,24267.0,15794.0,5674.0,34.6,39.9,33.5
2022-07-01,153072.0,130766.0,21206.0,131866.0,109560.0,22306.0,614.0,7792.0,12800.0,7931.0,4869.0,28702.0,6002.2,15490.6,6648.8,560.4,3094.0,9073.0,22658.0,24395.0,15931.0,5707.0,34.6,40.0,33.6
2022-08-01,153362.0,131056.0,21245.0,132117.0,109811.0,22306.0,612.0,7801.0,12832.0,7966.0,4866.0,28748.0,6025.3,15521.8,6638.4,562.8,3097.0,9092.0,22697.0,24468.0,15990.0,5719.0,34.5,39.9,33.5
2022-09-01,153582.0,131285.0,21295.0,132287.0,109990.0,22297.0,614.0,7832.0,12849.0,7976.0,4873.0,28720.0,6031.0,15498.2,6626.3,564.2,3095.0,9097.0,22744.0,24552.0,16052.0,5730.0,34.6,39.9,33.5
2022-10-01,153939.0,131646.0,21348.0,132591.0,110298.0,22293.0,618.0,7847.0,12883.0,8002.0,4881.0,28761.0,6043.4,15512.0,6638.8,566.6,3100.0,9122.0,22783.0,24642.0,16142.0,5748.0,34.6,40.0,33.5
2022-11-01,154242.0,131863.0,21383.0,132859.0,110480.0,22379.0,624.0,7863.0,12896.0,8012.0,4884.0,28763.0,6049.4,15530.2,6616.0,567.2,3115.0,9136.0,22792.0,24729.0,16183.0,5762.0,34.5,39.8,33.5
2022-12-01,154342.0,131977.0,21407.0,132935.0,110570.0,22365.0,627.0,7885.0,12895.0,8031.0,4864.0,28769.0,6059.8,15533.9,6606.5,568.3,3092.0,9146.0,22774.0,24773.0,16245.0,5771.0,34.4,39.8,33.4
2023-01-01,154776.0,132292.0,21469.0,133307.0,110823.0,22484.0,634.0,7932.0,12903.0,8036.0,4867.0,28807.0,6073.4,15551.3,6614.3,567.9,3061.0,9144.0,22791.0,24883.0,16352.0,5785.0,34.6,40.4,33.5
2023-02-01,155066.0,132528.0,21474.0,133592.0,111054.0,22538.0,633.0,7943.0,12898.0,8032.0,4866.0,28845.0,6089.7,15602.6,6584.9,568.1,3048.0,9152.0,22837.0,24956.0,16431.0,5785.0,34.5,40.0,33.4
2023-03-01,155134.0,132554.0,21448.0,133686.0,111106.0,22580.0,634.0,7926.0,12888.0,8028.0,4860.0,28803.0,6094.4,15562.8,6574.3,571.2,3049.0,9150.0,22832.0,25033.0,16450.0,5789.0,34.4,39.9,33.3
2023-04-01,155375.0,132733.0,21476.0,133899.0,111257.0,22642.0,637.0,7955.0,12884.0,8023.0,4861.0,28799.0,6091.5,15556.0,6577.2,574.2,3043.0,9180.0,22837.0,25113.0,16487.0,5798.0,34.4,39.8,33.3
2023-05-01,155655.0,132933.0,21476.0,134179.0,111457.0,22722.0,642.0,7965.0,12869.0,8014.0,4855.0,28830.0,6098.5,15555.9,6600.6,574.8,3034.0,9175.0,22850.0,25221.0,16533.0,5814.0,34.4,39.8,33.3
2023-06-01,155880.0,133088.0,21521.0,134359.0,111567.0,22792.0,640.0,8006.0,12875.0,8027.0,4848.0,28799.0,6101.0,15533.2,6589.4,575.6,3021.0,9182.0,22826.0,25314.0,16594.0,5831.0,34.4,39.8,33.3
2023-07-01,156043.0,133206.0,21520.0,134523.0,111686.0,22837.0,642.0,8016.0,12862.0,8025.0,4837.0,28816.0,6112.5,15539.5,6589.4,574.1,3001.0,9193.0,22779.0,25435.0,16616.0,5846.0,34.3,39.8,33.3
2023-08-01,156261.0,133354.0,21544.0,134717.0,111810.0,22907.0,641.0,8042.0,12861.0,8029.0,4832.0,28799.0,6116.7,15531.2,6574.5,577.0,2981.0,9193.0,22768.0,25544.0,16651.0,5874.0,34.4,39.8,33.3
2023-09-01,156417.0,133469.0,21566.0,134851.0,111903.0,22948.0,641.0,8053.0,12872.0,8029.0,4843.0,28832.0,6125.9,15531.3,6595.3,579.5,2975.0,9186.0,22743.0,25641.0,16643.0,5883.0,34.4,39.8,33.3
2023-10-01,156576.0,133583.0,21556.0,135020.0,112027.0,22993.0,639.0,8080.0,12837.0,7990.0,4847.0,28865.0,6127.4,15543.9,6612.2,581.4,2951.0,9179.0,22715.0,25735.0,16689.0,5893.0,34.3,39.8,33.2
2023-11-01,156703.0,133667.0,21583.0,135120.0,112084.0,23036.0,636.0,8088.0,12859.0,8017.0,4842.0,28837.0,6132.3,15511.3,6611.0,582.3,2962.0,9172.0,22661.0,25853.0,16694.0,5905.0,34.4,39.8,33.3
2023-12-01,156857.0,133766.0,21610.0,135247.0,112156.0,23091.0,638.0,8100.0,12872.0,8029.0,4843.0,28829.0,6132.8,15550.9,6560.6,584.8,2963.0,9176.0,22643.0,25935.0,16704.0,5906.0,34.4,39.7,33.3
2024-01-01,157032.0,133892.0,21631.0,135401.0,112261.0,23140.0,633.0,8123.0,12875.0,8023.0,4852.0,28799.0,6126.0,15524.0,6562.5,586.4,2963.0,9165.0,22668.0,26033.0,16716.0,5917.0,34.2,39.6,33.1
2024-02-01,157238.0,134027.0,21617.0,135621.0,112410.0,23211.0,633.0,8132.0,12852.0,8004.0,4848.0,28839.0,6120.5,15528.5,6600.3,589.9,2958.0,9151.0,22658.0,26130.0,16744.0,5930.0,34.4,39.8,33.3
2024-03-01,157466.0,134170.0,21636.0,135830.0,112534.0,23296.0,636.0,8164.0,12836.0,7993.0,4843.0,28855.0,6127.2,15529.3,6610.1,588.8,2951.0,9149.0,22631.0,26225.0,16780.0,5943.0,34.4,39.9,33.3
2024-04-01,157530.0,134233.0,21631.0,135899.0,112602.0,23297.0,628.0,8170.0,12833.0,7988.0,4845.0,28880.0,6127.5,15531.2,6631.4,589.4,2940.0,9144.0,22616.0,26313.0,16762.0,5947.0,34.2,39.6,33.2
2024-05-01,157608.0,134278.0,21625.0,135983.0,112653.0,23330.0,624.0,8176.0,12825.0,7981.0,4844.0,28880.0,6109.1,15536.0,6644.6,590.6,2930.0,9147.0,22633.0,26383.0,16731.0,5949.0,34.3,39.8,33.2
2024-06-01,157695.0,134356.0,21630.0,136065.0,112726.0,23339.0,620.0,8196.0,12814.0,7968.0,4846.0,28851.0,6111.9,15499.9,6647.2,592.4,2930.0,9159.0,22606.0,26474.0,16744.0,5962.0,34.3,40.0,33.2
2024-07-01,157748.0,134348.0,21636.0,136112.0,112712.0,23400.0,622.0,8208.0,12806.0,7960.0,4846.0,28830.0,6110.4,15480.8,6646.0,592.5,2917.0,9154.0,22584.0,26515.0,16751.0,5961.0,34.2,39.6,33.2
2024-08-01,157757.0,134321.0,21628.0,136129.0,112693.0,23436.0,620.0,8236.0,12772.0,7930.0,4842.0,28802.0,6106.2,15458.4,6643.2,593.8,2909.0,9162.0,22544.0,26573.0,16746.0,5957.0,34.3,39.8,33.2
2024-09-01,157912.0,134463.0,21634.0,136278.0,112829.0,23449.0,622.0,8254.0,12758.0,7921.0,4837.0,28813.0,6099.4,15456.7,6659.4,597.0,2903.0,9162.0,22525.0,26691.0,16776.0,5959.0,34.3,39.8,33.2
2024-10-01,157945.0,134459.0,21581.0,136364.0,112878.0,23486.0,622.0,8262.0,12697.0,7870.0,4827.0,28794.0,6094.8,15452.4,6650.2,596.3,2887.0,9164.0,22486.0,26786.0,16799.0,5962.0,34.2,39.7,33.2
2024-11-01,158079.0,134575.0,21602.0,136477.0,112973.0,23504.0,624.0,8267.0,12711.0,7895.0,4816.0,28755.0,6089.5,15409.8,6659.6,596.5,2885.0,9173.0,22499.0,26870.0,16823.0,5968.0,34.3,39.7,33.2
2024-12-01,158316.0,134787.0,21591.0,136725.0,113196.0,23529.0,622.0,8276.0,12693.0,7875.0,4818.0,28811.0,6092.1,15460.1,6663.2,595.9,2895.0,9179.0,22532.0,26945.0,16862.0,5972.0,34.3,39.7,33.2
2025-01-01,158268.0,134711.0,21559.0,136709.0,113152.0,23557.0,622.0,8264.0,12673.0,7858.0,4815.0,28795.0,6073.3,15459.3,6664.9,597.0,2877.0,9187.0,22480.0,27006.0,16832.0,5975.0,34.1,39.7,33.1
2025-02-01,158310.0,134751.0,21560.0,136750.0,113191.0,23559.0,622.0,8267.0,12671.0,7859.0,4812.0,28806.0,6075.9,15441.8,6689.1,598.8,2876.0,9199.0,22473.0,27064.0,16796.0,5977.0,34.2,39.7,33.1
2025-03-01,158377.0,134818.0,21559.0,136818.0,113259.0,23559.0,620.0,8273.0,12666.0,7854.0,4812.0,28792.0,6062.0,15457.5,6671.7,600.4,2867.0,9201.0,22457.0,27132.0,16823.0,5987.0,34.2,40.0,33.1
