date,median_overall_3m,median_overall_12m,median_overall_1983_3m,median_overall_1983,median_overall,weighted_median_overall_3m,weighted_median_overall_12m,weighted_median_1997_12m,weighted_median_1997_3m,job_stayer_12m,job_stayer_3m,job_switcher_12m,job_switcher_3m,age_16_24_12m,age_25_54_12m,age_25_54_3m,age_55_over_12m,male_12m,male_3m,female_12m,female_3m,white_12m,nonwhite_12m,high_school_12m,associates_12m,bachelor_higher_12m,college_degree_3m,fulltime_12m,fulltime_3m,parttime_12m,paid_hourly_12m,paid_hourly_3m,not_paid_hourly_12m,manufacturing_12m,construction_mining_12m,trade_transport_12m,finance_business_12m,education_health_12m,leisure_hospitality_12m,public_admin_12m,services_3m,professional_mgmt_12m,service_12m,optics_12m,msa_area_12m,non_msa_12m,percentile_1_25_12m,percentile_26_50_12m,percentile_51_75_12m,percentile_76_100_12m,percentile_1_50_3m,percentile_51_100_3m,percentile_25_3m,percentile_75_3m,mean_3m,trimmed_mean_3m,unchanged_3m,weekly_wage_3m
2020-01-01,3.8,3.7,3.8,3.9,3.9,4.3,4.0,4.3,4.6,3.2,3.2,4.3,4.8,8.4,3.9,4.0,2.5,3.9,4.0,3.5,3.6,3.6,4.3,3.7,3.2,3.7,3.8,3.8,3.8,3.3,3.5,3.5,3.9,3.8,4.1,3.8,4.0,3.1,4.1,3.5,3.7,3.7,3.7,3.6,3.8,3.4,4.7,3.6,3.5,3.1,4.3,3.3,-1.3,14.2,5.8,3.9,13.6,3.9
2020-02-01,3.7,3.7,3.7,3.6,3.6,3.9,4.0,4.3,4.2,3.3,3.2,4.4,4.5,8.3,3.9,4.0,2.5,3.9,3.9,3.6,3.6,3.6,4.3,3.8,3.2,3.8,3.6,3.8,3.8,3.5,3.6,3.7,3.8,3.8,4.2,3.7,4.1,3.2,4.1,3.5,3.6,3.7,3.7,3.7,3.8,3.4,4.7,3.8,3.5,3.1,4.2,3.2,-1.5,14.0,5.5,3.7,13.7,3.8
2020-03-01,3.5,3.7,3.5,3.0,3.0,3.6,3.9,4.3,4.0,3.2,3.0,4.4,4.3,7.9,3.9,3.9,2.4,3.8,3.6,3.5,3.4,3.6,4.3,3.7,3.1,3.7,3.5,3.7,3.7,3.2,3.6,3.5,3.8,3.8,4.3,3.6,4.0,3.1,3.7,3.6,3.3,3.7,3.3,3.6,3.7,3.4,4.6,3.7,3.3,3.1,4.0,3.1,-1.7,13.8,4.9,3.5,13.9,3.7
2020-04-01,3.3,3.6,3.3,3.4,3.4,3.3,3.9,4.2,3.8,3.2,2.9,4.3,4.0,7.8,3.9,3.7,2.4,3.7,3.2,3.6,3.5,3.6,4.0,3.8,3.1,3.6,3.2,3.7,3.5,3.2,3.5,3.3,3.8,3.7,4.3,3.7,4.0,3.2,3.3,3.5,3.1,3.6,3.2,3.7,3.7,3.4,4.6,3.7,3.3,3.1,3.7,3.0,-1.9,13.9,5.0,3.5,14.1,3.5
2020-05-01,3.5,3.7,3.5,4.1,4.1,3.6,3.9,4.2,3.9,3.2,3.0,4.4,4.3,7.9,3.9,3.8,2.6,3.7,3.4,3.6,3.6,3.6,4.2,3.8,3.1,3.7,3.7,3.8,3.7,3.2,3.5,3.1,3.9,3.7,4.3,3.7,4.1,3.3,3.3,3.6,3.4,3.7,3.1,3.8,3.7,3.6,4.6,3.7,3.4,3.2,3.6,3.4,-1.1,14.3,5.6,3.7,14.2,3.4
2020-06-01,3.8,3.6,3.8,3.9,3.9,3.9,3.8,4.2,4.2,3.2,3.2,4.4,4.5,7.6,3.9,3.9,2.6,3.7,3.8,3.6,3.8,3.6,4.1,3.7,3.1,3.8,3.9,3.8,3.9,3.0,3.4,3.5,4.0,3.5,4.1,3.6,4.3,3.3,3.1,3.8,3.9,3.6,3.0,3.8,3.7,3.5,4.4,3.7,3.3,3.3,4.0,3.6,-1.0,14.7,6.6,4.0,13.8,3.2
2020-07-01,3.9,3.6,3.9,3.6,3.6,3.9,3.8,4.1,3.9,3.2,3.5,4.3,4.3,7.8,3.9,4.0,2.5,3.7,4.2,3.5,3.5,3.6,3.8,3.7,3.2,3.7,4.1,3.7,4.0,3.0,3.4,3.4,3.9,3.3,4.3,3.6,4.3,3.2,3.1,4.0,4.0,3.6,3.1,3.7,3.7,3.6,4.4,3.7,3.3,3.2,3.7,3.9,-1.2,15.2,6.8,4.0,13.8,3.1
2020-08-01,3.5,3.6,3.5,3.0,3.0,3.4,3.8,4.1,3.5,3.2,3.3,4.2,3.7,7.7,3.9,3.9,2.4,3.7,3.9,3.5,3.2,3.6,3.7,3.6,3.2,3.8,3.6,3.7,3.6,3.2,3.4,3.2,3.9,3.2,4.4,3.6,4.2,3.3,3.1,4.0,3.6,3.7,3.1,3.6,3.7,3.5,4.4,3.5,3.4,3.3,3.5,3.5,-1.8,15.1,6.4,3.8,14.5,2.8
2020-09-01,3.5,3.6,3.5,3.7,3.7,3.3,3.7,4.0,3.4,3.2,3.3,4.2,3.6,7.5,3.9,3.8,2.4,3.7,3.8,3.5,3.1,3.6,3.5,3.6,3.2,3.7,3.4,3.7,3.5,2.8,3.4,3.2,3.9,3.3,4.5,3.6,3.9,3.3,3.1,4.0,3.4,3.7,3.0,3.6,3.7,3.4,4.3,3.5,3.5,3.3,3.4,3.4,-1.5,15.3,6.0,3.9,14.7,2.9
2020-10-01,3.5,3.6,3.5,3.8,3.8,3.6,3.8,4.1,3.8,3.2,3.3,4.2,3.8,7.5,3.9,4.0,2.3,3.8,3.7,3.4,3.2,3.6,3.5,3.6,3.3,3.7,3.5,3.7,3.6,2.8,3.4,3.4,3.9,3.3,4.7,3.7,3.8,3.3,3.2,3.9,3.5,3.7,3.0,3.6,3.7,3.4,4.4,3.6,3.4,3.3,3.7,3.2,-1.2,14.5,5.7,3.8,14.7,3.0
