date,existing_home_sales_ehs_sales_national_sa,existing_home_sales_ehs_inventory_national,existing_home_sales_ehs_months_supply,existing_home_sales_ehs_sf_sales_national_sa,existing_home_sales_ehs_sf_inventory_national,existing_home_sales_ehs_sf_months_supply,existing_home_sales_ehs_sales_northeast_sa,existing_home_sales_ehs_sales_midwest_sa,existing_home_sales_ehs_sales_south_sa,existing_home_sales_ehs_sales_west_sa,existing_home_sales_ehs_sf_sales_northeast_sa,existing_home_sales_ehs_sf_sales_midwest_sa,existing_home_sales_ehs_sf_sales_south_sa,existing_home_sales_ehs_sf_sales_west_sa,new_residential_sales_nrs_sales_national_sa,new_residential_sales_nrs_sales_national_nsa,new_residential_sales_nrs_sales_national_annual,new_residential_sales_nrs_inventory_national_sa,new_residential_sales_nrs_inventory_national_nsa,new_residential_sales_nrs_inventory_national_annual,new_residential_sales_nrs_months_supply_sa,new_residential_sales_nrs_months_supply_nsa,new_residential_sales_nrs_sales_northeast_sa,new_residential_sales_nrs_sales_midwest_sa,new_residential_sales_nrs_sales_south_sa,new_residential_sales_nrs_sales_west_sa,new_residential_sales_nrs_sales_northeast_nsa,new_residential_sales_nrs_sales_midwest_nsa,new_residential_sales_nrs_sales_south_nsa,new_residential_sales_nrs_sales_west_nsa,new_residential_sales_nrs_sales_northeast_annual,new_residential_sales_nrs_sales_midwest_annual,new_residential_sales_nrs_sales_south_annual,new_residential_sales_nrs_sales_west_annual,new_residential_sales_nrs_inventory_northeast,new_residential_sales_nrs_inventory_midwest,new_residential_sales_nrs_inventory_south,new_residential_sales_nrs_inventory_west
2020-01-01,,,,,,,,,,,,,,,689.0,59.0,822.0,325.0,329.0,302.0,5.7,5.6,31.0,77.0,363.0,218.0,3.0,7.0,30.0,19.0,37.0,93.0,474.0,218.0,27.0,39.0,178.0,85.0
2020-02-01,,,,,,,,,,,,,,,707.0,63.0,,328.0,326.0,,5.6,5.1,37.0,74.0,386.0,210.0,4.0,6.0,34.0,19.0,,,,,26.0,37.0,178.0,84.0
2020-03-01,,,,,,,,,,,,,,,626.0,59.0,,332.0,328.0,,6.4,5.6,20.0,76.0,367.0,163.0,2.0,7.0,35.0,15.0,,,,,27.0,36.0,181.0,85.0
2020-04-01,,,,,,,,,,,,,,,576.0,52.0,,324.0,321.0,,6.8,6.1,21.0,69.0,332.0,154.0,2.0,8.0,29.0,14.0,,,,,26.0,33.0,179.0,82.0
2020-05-01,,,,,,,,,,,,,,,707.0,64.0,,313.0,308.0,,5.3,4.8,34.0,76.0,417.0,180.0,3.0,7.0,38.0,16.0,,,,,25.0,31.0,173.0,79.0
2020-06-01,,,,,,,,,,,,,,,901.0,79.0,,301.0,299.0,,4.0,3.8,60.0,98.0,526.0,217.0,5.0,8.0,47.0,20.0,,,,,24.0,31.0,168.0,75.0
2020-07-01,,,,,,,,,,,,,,,981.0,85.0,,289.0,290.0,,3.5,3.4,47.0,112.0,575.0,247.0,4.0,11.0,50.0,20.0,,,,,23.0,29.0,164.0,74.0
2020-08-01,,,,,,,,,,,,,,,1016.0,81.0,,284.0,283.0,,3.4,3.5,47.0,106.0,597.0,266.0,4.0,8.0,48.0,21.0,,,,,22.0,29.0,159.0,73.0
2020-09-01,,,,,,,,,,,,,,,979.0,77.0,,284.0,286.0,,3.5,3.7,40.0,103.0,562.0,274.0,3.0,8.0,45.0,21.0,,,,,22.0,31.0,161.0,72.0
2020-10-01,,,,,,,,,,,,,,,1031.0,78.0,,281.0,284.0,,3.3,3.7,40.0,122.0,576.0,293.0,3.0,9.0,44.0,22.0,,,,,21.0,30.0,162.0,71.0
