date,INDPRO,IPMAN,IPDMAN,IPNMAN,IPMINE,IPUTIL,IPG2211S,IPG2212S,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPB54100S,IPB54200S,IPMAT,IPNMAT,IPB53300S,IPG321S,IPG327S,IPG331S,IPG332S,IPG333S,IPG334S,IPG3341S,IPG3342S,IPG3344S,IPG335S,IPG3361T3S,IPG3364T9S,IPG337S,IPG339S,IPG311A2S,IPG313A4S,IPG315A6S,IPG322S,IPG323S,IPG324S,IPG325S,IPG326S,TCU,MCUMFN,CAPUTLGMFDS,CAPUTLGMFNS,CAPUTLG21S,CAPUTLG2211A2S,CAPUTLG2211S,CAPUTLG2212S,CAPUTLG321S,CAPUTLG327S,CAPUTLG331S,CAPUTLG332S,CAPUTLG333S,CAPUTLG334S,CAPUTLG3341S,CAPUTLG3342S,CAPUTLHITEK2S,CAPUTLG335S,CAPUTLG3361T3S,CAPUTLG3364T9S,CAPUTLG337S,CAPUTLG339S,CAPUTLG311A2S,CAPUTLG313A4S,CAPUTLG315A6S,CAPUTLG322S,CAPUTLG323S,CAPUTLG324S,CAPUTLG325S,CAPUTLG326S
2020-01-01,101.0338,98.6069,98.7351,98.4241,120.7359,98.6077,98.0688,101.2037,98.9933,102.5567,98.0036,92.7992,101.4375,99.5838,103.8483,98.0172,113.3447,100.5686,102.1487,99.1885,100.1279,97.266,108.3342,124.2497,130.7234,110.9344,100.4276,102.6564,82.7546,96.3868,97.6006,100.922,96.5861,90.575,100.9335,95.3762,95.1619,96.3502,101.37,76.519,76.9774,75.4606,78.7425,74.973,74.3385,74.236,75.7412,82.2686,75.4277,72.4167,80.8592,77.3756,73.4698,64.9203,68.1012,72.8903,78.0087,73.4766,64.4507,88.4143,80.1009,76.9453,70.2413,69.3831,90.2388,76.5536,83.1515,76.7712,84.6427
2020-02-01,101.3735,98.8309,99.085,98.5115,119.2371,101.8788,100.6552,109.5358,100.0076,105.441,98.4931,92.5923,101.3096,100.0893,103.8027,97.6494,113.7756,99.3993,102.2988,96.4573,100.3786,97.7368,108.8027,122.6228,133.2492,108.6923,100.6379,107.828,80.0271,96.0688,97.0084,101.3359,95.7507,91.636,100.8481,97.7823,92.7108,96.2903,102.1653,76.7764,77.2033,75.7186,78.9474,73.6496,76.6454,76.0563,81.8657,81.3205,75.6571,70.1974,81.0922,77.8426,73.7733,64.3783,68.7987,72.1258,78.3031,76.944,62.2086,88.1571,79.937,77.3526,69.9469,70.3247,90.3637,78.9441,81.3128,76.823,85.4076
2020-03-01,97.4078,94.3639,91.7963,97.1518,118.5364,99.7348,99.948,96.7806,94.9801,87.6242,97.1097,86.2824,98.3041,95.6924,101.0708,98.1369,112.8164,96.0714,97.4674,94.2552,96.9428,94.7324,108.2628,126.9343,132.7967,109.4757,97.7782,75.6491,77.0503,91.6256,92.6964,100.0312,91.9539,86.0132,100.7117,90.2631,86.8597,97.9725,95.9255,73.7887,73.7668,70.1426,77.9954,72.9647,74.8721,75.3772,72.2336,78.6013,72.1878,68.3631,78.3413,75.5439,73.4012,66.9584,67.9014,72.7389,76.2067,53.8179,59.7933,84.1224,76.7194,76.4629,67.5054,66.1196,90.4723,73.29,76.5106,78.2512,80.2946
2020-04-01,84.5619,79.8587,72.4491,88.0105,102.9683,100.4717,98.5922,112.9254,84.1471,53.609,92.9119,66.5175,87.7368,84.9626,87.9338,90.0183,101.412,85.9619,84.4232,73.8885,86.8067,77.3144,103.219,111.8996,130.108,107.5225,91.6759,20.5804,60.3368,71.2005,76.5136,93.2845,69.5295,62.7705,95.7202,69.2298,70.0918,91.9821,78.0269,64.0847,62.4754,55.3568,70.7829,63.2899,75.2612,74.2057,84.1679,70.3288,62.611,53.4116,70.166,61.7336,69.9808,59.2965,65.843,70.5967,71.5684,14.5978,46.7548,65.4082,63.6187,71.4173,51.3154,48.3259,86.2333,56.5227,62.0365,73.5321,65.3985
2020-05-01,85.9604,83.4204,77.8301,89.5503,89.5779,98.5173,96.4259,112.5127,87.5392,64.6781,94.1008,72.2792,91.0686,85.628,86.799,90.1228,92.7188,90.2136,91.7575,71.2573,88.9469,82.1329,101.2518,104.8657,126.734,107.1574,90.4293,39.3778,68.1783,81.5505,79.4041,96.5053,78.3279,72.1252,90.2589,76.3791,69.2178,91.8093,81.8799,65.1874,65.3154,59.4695,72.151,55.1055,73.6357,72.4248,83.7451,73.8041,68.1413,51.3529,71.9035,65.6697,68.6485,55.8103,63.4499,69.626,70.7064,27.8517,52.7684,74.9618,66.3343,74.0109,58.1379,55.6075,81.5656,62.6946,61.5899,73.4444,68.7145
2020-06-01,91.5934,89.9764,87.7798,92.314,92.0042,100.5435,99.2252,108.8364,95.2679,92.3988,96.0513,80.3646,92.726,89.0337,91.8853,91.6634,97.5534,93.988,95.9369,75.6757,90.3165,87.0401,105.2213,107.3931,123.9497,109.2417,92.0403,85.2413,69.8473,86.0386,87.2438,100.1501,82.6348,79.0637,90.9281,79.4404,71.0603,92.3713,90.7341,69.5218,70.5106,67.078,74.5111,56.7854,74.9868,74.3691,80.8978,76.888,71.3438,54.4014,73.0074,69.6919,71.3407,57.3894,61.3781,70.4803,72.0719,60.1317,54.0122,79.1333,73.2266,76.9503,61.7031,61.0416,82.443,65.5472,63.6005,73.9296,76.2306
2020-07-01,95.0256,93.2857,93.0104,93.4759,96.6742,104.205,103.3371,109.1593,99.6641,107.3556,97.3937,84.0105,94.11,91.915,95.2149,92.7247,101.3734,98.1125,97.7587,80.1664,89.7866,89.5699,105.7716,110.0467,122.0181,111.7799,94.7932,107.6752,73.1752,87.7235,92.6354,99.9877,84.7327,76.464,91.1765,82.5842,75.2407,93.9842,93.6418,72.2103,73.1726,71.0868,75.5824,60.0207,77.553,77.2856,81.0281,80.257,72.8066,57.5301,72.5629,71.8231,71.7118,59.0311,59.7648,71.6679,74.3262,75.777,56.554,80.7227,78.1033,76.9781,63.6633,59.1159,82.9544,68.4826,67.771,75.2408,78.7444
2020-08-01,95.9549,94.6243,93.905,95.3148,96.9113,101.9999,101.0663,107.4385,100.4768,106.9383,98.572,85.7669,95.4025,93.2338,95.8452,94.3412,100.0423,97.5742,97.9058,84.6764,91.0344,91.5401,106.7513,111.3266,120.8337,112.4082,94.5644,104.7129,76.8817,87.9319,93.7468,102.4439,88.1909,83.3609,91.629,83.153,74.8458,95.2989,97.4657,73.0192,74.2964,71.7871,77.2032,60.674,75.7572,75.4269,79.6447,79.8108,73.0366,60.7162,73.5402,73.5136,72.3689,59.9294,58.5575,72.0239,74.2326,73.5392,59.4052,80.942,79.3716,79.032,66.6843,64.5392,83.6632,69.2874,67.8755,76.2969,82.0078
2020-09-01,95.9669,94.5995,93.9252,95.2481,98.2139,100.8368,99.235,111.045,99.2072,105.4504,97.3767,85.2593,95.5878,94.1314,96.6267,95.6368,100.661,97.2504,96.6788,88.6757,92.9783,92.2701,104.1682,113.8411,120.4337,115.8024,95.3143,102.0821,78.2462,88.1247,93.2355,101.0153,91.9551,82.8064,93.8847,84.8868,74.5465,95.5095,98.3273,73.1451,74.3524,71.8229,77.2781,62.127,74.7477,73.9052,82.211,79.5456,72.2557,63.5907,75.0626,74.2097,70.6038,61.4866,57.7701,73.7936,74.8921,71.5657,60.4639,81.1313,79.2352,78.0948,69.9804,64.2036,86.0339,71.0616,68.0819,76.451,82.7483
2020-10-01,96.7394,95.5707,94.7215,96.4189,96.7829,101.954,100.8538,108.5872,99.5442,106.0956,97.637,85.4987,97.2607,95.875,97.371,97.4595,100.2555,99.3126,99.4073,90.4226,92.5825,92.6342,104.7878,115.7934,121.0856,119.86,98.4618,101.1274,79.7702,87.8631,95.9563,101.2633,91.8812,85.9514,96.3257,86.6857,76.8155,97.0645,99.7552,73.8636,75.1925,72.4559,78.3511,61.9587,75.4367,74.957,80.289,81.2373,74.4515,64.9172,74.6787,74.6081,71.0016,62.7381,57.5238,75.955,77.4203,70.7961,61.6627,80.8835,81.812,78.4536,70.3792,66.7437,88.594,72.8943,70.6545,77.6631,83.9276
2020-11-01,97.0816,96.0944,95.3641,96.8214,100.6447,98.4616,99.0014,93.5896,99.5598,107.1894,97.3581,85.9214,97.2522,95.9408,98.0128,97.8193,101.344,99.3893,100.0554,92.6162,93.5878,91.8853,105.8288,117.4224,123.149,121.1263,98.5691,101.478,80.7565,86.7031,98.1047,102.0598,90.7908,84.9222,97.276,85.6107,76.9217,97.4373,99.8738,74.2637,75.6805,72.9752,78.7914,65.2903,72.7264,73.4337,69.114,81.3109,75.1148,66.6379,75.408,74.1017,71.6757,63.8139,57.9781,77.0236,77.5404,70.9662,62.4611,79.7881,83.8675,79.2389,69.9959,66.0496,89.7959,72.3031,71.2479,77.9107,83.9633
2020-12-01,98.363,96.8555,96.1928,97.5177,101.1155,104.8443,103.7743,111.1225,101.6376,108.7084,99.6049,86.9262,98.6488,97.2382,98.8583,97.8777,103.2301,102.9551,102.028,91.9515,94.0607,92.4564,105.9765,119.5341,126.7408,121.0366,99.3016,103.2304,80.7807,87.9334,99.4479,102.4981,93.2505,86.5481,96.871,86.0195,80.6401,97.6797,101.1704,75.3903,76.354,73.6403,79.4605,66.5323,77.3161,76.8261,81.9632,84.2448,76.7964,66.3699,75.6921,74.65,71.7359,65.1553,59.1756,77.6959,78.1337,72.1403,62.528,80.8714,85.1932,79.7453,72.3538,67.4262,89.7457,72.9519,75.1968,78.0374,84.9465
