date,goods_services_balance,goods_balance,services_balance,goods_services_exports,goods_services_imports,goods_exports,goods_imports,services_exports,financial_services_exports,ip_exports,japan_exports,japan_imports,mexico_exports,mexico_imports,canada_imports,uk_exports,uk_imports,germany_exports,korea_imports,india_imports,vietnam_exports,vietnam_imports,asia_imports,atp_exports,atp_imports,world_exports,world_imports
2020-01-01,-43562.0,-67273.0,23710.0,208878.0,252440.0,136175.0,203448.0,72702.0,12119.0,10205.0,5507.656014,10457.8388,20840.066322,28202.281911,25286.848208,5830.208879,4602.430446,4767.870597,6349.241957,4978.750914,878.691047,6125.356435,83891.923264,27699.780802,39073.363843,129119.54074500003,195796.204072
2020-02-01,-39931.0,-62520.0,22589.0,209544.0,249475.0,137583.0,200104.0,71961.0,12076.0,10126.0,6094.69063,10665.460534,19310.694516,28903.203952,24339.034042,6387.116675,4522.60438,5035.415032,5599.663951,4540.264847,928.920385,6031.86563,69532.613131,27874.09599,32770.005143,131116.9866960001,178107.95998800005
2020-03-01,-42374.0,-65509.0,23135.0,190055.0,232429.0,126704.0,192213.0,63351.0,12303.0,9821.0,6492.613812,12173.551333,19773.971584,29882.071459,25080.381294,5401.201547,5032.981805,6104.159921,6668.670144,4469.939704,1058.456937,5181.046254,71281.49435899999,29679.202673,39898.870061,133295.74917999996,193922.84789900004
2020-04-01,-51888.0,-74901.0,23013.0,151929.0,203817.0,94513.0,169414.0,57415.0,12253.0,9546.0,5462.597898,9849.203383,12381.136086,15771.982737,14936.992515,3514.431817,4174.885024,4019.077294,6584.017932,3364.742455,776.040977,4999.94067,77962.910999,21456.88059,34997.94295,94708.95457699994,165611.88568899996
2020-05-01,-53995.0,-76702.0,22707.0,147143.0,201138.0,90117.0,166819.0,57026.0,12379.0,9580.0,4880.622879,7383.24751,10428.109739,14857.386976,15842.688055,3684.346743,3226.982324,3677.199786,5496.584226,2120.133814,670.636364,4848.335339,77987.303154,20443.659022,37133.74561,91026.76498099997,163494.07939700002
2020-06-01,-49161.0,-71730.0,22569.0,160760.0,209921.0,103668.0,175398.0,57091.0,12469.0,9667.0,4775.576561,6641.328361,15784.080645,25672.078884,20315.178877,4591.762081,3304.835278,3956.769301,5866.633574,3239.454863,671.80591,5868.799335,79684.378089,23668.84121,42320.222454,105122.44466500005,179138.11517099995
2020-07-01,-58882.0,-80570.0,21688.0,172697.0,231578.0,115415.0,195985.0,57282.0,12267.0,9878.0,4797.538375,8271.013302,18698.574584,28878.18955,22329.745268,4039.590522,3915.843084,4862.946117,5879.080248,4091.663658,772.462426,7524.73646,88683.849323,24583.624836,41460.682837,113303.535888,199927.69781200017
2020-08-01,-61843.0,-83184.0,21341.0,176731.0,238574.0,118859.0,202043.0,57871.0,12338.0,10191.0,5236.607793,9698.066349,17154.584329,29555.632641,23748.921934,4704.17554,3790.513823,4855.764915,6155.750518,4294.294214,789.704106,8370.495626,91085.895968,23322.351663,42130.240751,118351.81562,203112.04865599997
2020-09-01,-57002.0,-78363.0,21361.0,182527.0,239529.0,123549.0,201913.0,58977.0,12623.0,10614.0,4805.745505,9942.045205,18714.786127,29788.03202,24595.47813,4986.923779,4170.061933,5527.638541,5921.126319,4965.46397,811.486874,7919.532461,93001.61740300001,24520.232777,42913.976742,121447.900324,206083.66846900003
2020-10-01,-61126.0,-82281.0,21155.0,185902.0,247028.0,125549.0,207830.0,60353.0,12944.0,11155.0,5345.896572,11251.333342,20496.130521,32785.496819,24853.058195,5425.753263,4226.105507,5346.810939,7273.265398,5367.803407,790.790692,7941.606649,100358.136412,27081.499762,46220.305243,132638.4927150001,218952.60853099983
