timestamp,JTS000000000000000HIL,JTS000000000000000JOL,JTS000000000000000LDL,JTS100000000000000HIL,JTS100000000000000JOL,JTS100000000000000LDL,JTS110099000000000HIL,JTS110099000000000JOL,JTS110099000000000LDL,JTS230000000000000HIL,JTS230000000000000JOL,JTS230000000000000LDL,JTS300000000000000HIL,JTS300000000000000JOL,JTS300000000000000LDL,JTS400000000000000HIL,JTS400000000000000JOL,JTS400000000000000LDL,JTS510000000000000HIL,JTS510000000000000JOL,JTS510000000000000LDL,JTS510099000000000HIL,JTS510099000000000JOL,JTS510099000000000LDL,JTS540099000000000HIL,JTS540099000000000JOL,JTS540099000000000LDL,JTS600000000000000HIL,JTS600000000000000JOL,JTS600000000000000LDL,JTS700000000000000HIL,JTS700000000000000JOL,JTS700000000000000LDL,JTS810000000000000HIL,JTS810000000000000JOL,JTS810000000000000LDL,JTS900000000000000HIL,JTS900000000000000JOL,JTS900000000000000LDL
2020-01-01,5981.0,7124.0,1808.0,5583.0,6304.0,1712.0,12.0,16.0,10.0,429.0,299.0,175.0,318.0,407.0,129.0,1238.0,1253.0,327.0,83.0,130.0,30.0,218.0,406.0,57.0,1165.0,1293.0,409.0,773.0,1320.0,162.0,1120.0,913.0,300.0,226.0,267.0,112.0,398.0,820.0,96.0
2020-02-01,5990.0,6966.0,1954.0,5584.0,6194.0,1866.0,25.0,25.0,6.0,377.0,291.0,206.0,353.0,392.0,134.0,1282.0,1214.0,457.0,96.0,138.0,31.0,243.0,413.0,64.0,1109.0,1288.0,414.0,767.0,1282.0,168.0,1097.0,940.0,307.0,235.0,211.0,80.0,406.0,771.0,87.0
2020-03-01,5171.0,5894.0,12985.0,4780.0,5181.0,12755.0,18.0,11.0,37.0,377.0,226.0,641.0,309.0,295.0,703.0,1180.0,1087.0,2078.0,73.0,121.0,191.0,242.0,361.0,240.0,1117.0,1095.0,1260.0,670.0,1157.0,1554.0,642.0,653.0,5157.0,150.0,175.0,894.0,391.0,713.0,230.0
2020-04-01,4029.0,4606.0,9170.0,3805.0,3955.0,8907.0,14.0,9.0,63.0,243.0,211.0,710.0,359.0,298.0,718.0,1085.0,859.0,1626.0,40.0,118.0,169.0,146.0,252.0,239.0,829.0,817.0,1228.0,514.0,952.0,1075.0,423.0,321.0,2255.0,152.0,117.0,824.0,224.0,651.0,263.0
2020-05-01,8133.0,5612.0,2139.0,7875.0,4991.0,1958.0,16.0,11.0,21.0,754.0,283.0,203.0,628.0,314.0,148.0,1564.0,1064.0,437.0,68.0,93.0,33.0,210.0,313.0,65.0,1006.0,1001.0,458.0,1145.0,1007.0,257.0,1879.0,710.0,256.0,605.0,194.0,81.0,258.0,621.0,181.0
2020-06-01,7477.0,6129.0,2245.0,7212.0,5464.0,2068.0,8.0,16.0,15.0,521.0,228.0,185.0,478.0,338.0,211.0,1469.0,1104.0,423.0,55.0,106.0,38.0,206.0,333.0,110.0,1189.0,1079.0,441.0,901.0,1127.0,226.0,2002.0,876.0,322.0,383.0,257.0,97.0,266.0,665.0,177.0
2020-07-01,6320.0,6530.0,1827.0,5991.0,5712.0,1718.0,18.0,10.0,15.0,391.0,306.0,193.0,347.0,392.0,156.0,1336.0,1267.0,304.0,84.0,79.0,25.0,250.0,296.0,73.0,1129.0,1149.0,410.0,853.0,1178.0,186.0,1378.0,781.0,300.0,206.0,254.0,55.0,329.0,818.0,108.0
2020-08-01,6004.0,6429.0,1560.0,5466.0,5722.0,1478.0,13.0,10.0,10.0,379.0,254.0,191.0,400.0,458.0,103.0,1276.0,1240.0,323.0,91.0,86.0,28.0,226.0,299.0,49.0,1164.0,1152.0,380.0,707.0,1237.0,177.0,988.0,763.0,188.0,221.0,222.0,29.0,538.0,707.0,82.0
2020-09-01,5966.0,6511.0,1567.0,5627.0,5803.0,1423.0,18.0,14.0,9.0,380.0,227.0,164.0,385.0,469.0,105.0,1288.0,1164.0,307.0,98.0,110.0,22.0,252.0,306.0,56.0,1161.0,1262.0,343.0,757.0,1220.0,149.0,1052.0,801.0,203.0,237.0,230.0,65.0,339.0,708.0,143.0
2020-10-01,6091.0,6798.0,1697.0,5745.0,6066.0,1452.0,16.0,16.0,9.0,387.0,242.0,184.0,393.0,519.0,103.0,1340.0,1218.0,332.0,124.0,126.0,34.0,250.0,317.0,45.0,1133.0,1259.0,351.0,746.0,1314.0,154.0,1120.0,821.0,181.0,237.0,234.0,59.0,346.0,732.0,245.0
2020-11-01,5894.0,6820.0,2097.0,5575.0,6144.0,1902.0,17.0,13.0,7.0,382.0,260.0,178.0,414.0,490.0,117.0,1233.0,1263.0,298.0,88.0,109.0,31.0,208.0,275.0,53.0,1236.0,1343.0,444.0,733.0,1315.0,209.0,1047.0,845.0,489.0,217.0,233.0,75.0,319.0,676.0,196.0
2020-12-01,5577.0,6773.0,1906.0,5254.0,6109.0,1815.0,22.0,17.0,9.0,389.0,253.0,199.0,449.0,502.0,118.0,1197.0,1223.0,272.0,83.0,123.0,29.0,199.0,283.0,53.0,1186.0,1448.0,378.0,719.0,1241.0,170.0,832.0,799.0,513.0,177.0,219.0,74.0,323.0,664.0,92.0
2021-01-01,5594.0,7204.0,1657.0,5205.0,6446.0,1573.0,10.0,15.0,10.0,330.0,317.0,174.0,360.0,529.0,97.0,1242.0,1349.0,413.0,97.0,169.0,25.0,211.0,313.0,40.0,1182.0,1419.0,374.0,679.0,1368.0,138.0,881.0,735.0,203.0,213.0,232.0,98.0,388.0,759.0,85.0
2021-02-01,5772.0,7752.0,1625.0,5468.0,7057.0,1554.0,16.0,20.0,8.0,360.0,248.0,228.0,404.0,595.0,82.0,1169.0,1433.0,303.0,95.0,111.0,27.0,203.0,337.0,49.0,1186.0,1477.0,425.0,721.0,1588.0,161.0,1083.0,949.0,194.0,231.0,300.0,78.0,304.0,695.0,71.0
2021-03-01,6148.0,8470.0,1488.0,5762.0,7607.0,1409.0,27.0,24.0,5.0,417.0,344.0,157.0,438.0,735.0,108.0,1298.0,1659.0,273.0,101.0,107.0,25.0,222.0,340.0,64.0,1177.0,1563.0,393.0,788.0,1470.0,131.0,1073.0,1097.0,196.0,221.0,268.0,59.0,386.0,863.0,79.0
2021-04-01,6216.0,9356.0,1430.0,5862.0,8390.0,1359.0,20.0,20.0,7.0,348.0,321.0,162.0,382.0,834.0,104.0,1257.0,1696.0,255.0,123.0,127.0,22.0,205.0,434.0,43.0,1193.0,1727.0,343.0,746.0,1579.0,143.0,1342.0,1306.0,209.0,246.0,346.0,71.0,355.0,966.0,72.0
2021-05-01,6013.0,9905.0,1352.0,5700.0,9008.0,1275.0,19.0,25.0,7.0,321.0,306.0,169.0,408.0,894.0,94.0,1257.0,1692.0,255.0,103.0,152.0,26.0,210.0,397.0,42.0,1167.0,1888.0,305.0,740.0,1757.0,132.0,1270.0,1421.0,199.0,205.0,475.0,47.0,313.0,898.0,77.0
2021-06-01,6606.0,10298.0,1299.0,6202.0,9363.0,1243.0,19.0,23.0,4.0,366.0,327.0,165.0,447.0,894.0,101.0,1512.0,1888.0,282.0,110.0,174.0,30.0,223.0,348.0,46.0,1241.0,1932.0,299.0,760.0,1787.0,134.0,1279.0,1585.0,124.0,245.0,404.0,59.0,404.0,935.0,55.0
2021-07-01,6732.0,11049.0,1390.0,6335.0,10106.0,1312.0,19.0,33.0,6.0,333.0,376.0,129.0,476.0,920.0,105.0,1378.0,1853.0,268.0,112.0,202.0,28.0,239.0,561.0,50.0,1321.0,2076.0,422.0,752.0,1871.0,68.0,1453.0,1790.0,159.0,253.0,424.0,77.0,397.0,944.0,79.0
2021-08-01,6390.0,10956.0,1338.0,6017.0,10100.0,1274.0,21.0,33.0,6.0,367.0,386.0,148.0,474.0,867.0,103.0,1406.0,2079.0,276.0,118.0,220.0,29.0,214.0,489.0,47.0,1216.0,2057.0,291.0,788.0,1814.0,110.0,1200.0,1731.0,214.0,213.0,425.0,51.0,373.0,856.0,64.0
2021-09-01,6653.0,10879.0,1428.0,6303.0,9921.0,1345.0,15.0,31.0,3.0,348.0,352.0,120.0,501.0,930.0,114.0,1408.0,2002.0,236.0,119.0,201.0,50.0,299.0,480.0,43.0,1338.0,1954.0,398.0,837.0,1907.0,137.0,1210.0,1591.0,189.0,228.0,473.0,55.0,351.0,957.0,83.0
2021-10-01,6652.0,11341.0,1285.0,6278.0,10361.0,1206.0,21.0,29.0,5.0,378.0,403.0,124.0,496.0,942.0,100.0,1387.0,2016.0,252.0,128.0,205.0,32.0,229.0,446.0,32.0,1382.0,2115.0,304.0,860.0,2097.0,127.0,1170.0,1633.0,177.0,228.0,475.0,53.0,374.0,980.0,79.0
2021-11-01,6811.0,11119.0,1368.0,6417.0,10139.0,1295.0,20.0,30.0,5.0,425.0,365.0,148.0,494.0,847.0,95.0,1422.0,1968.0,243.0,112.0,216.0,33.0,246.0,516.0,26.0,1388.0,2045.0,341.0,868.0,2103.0,141.0,1200.0,1595.0,202.0,242.0,454.0,60.0,394.0,980.0,73.0
2021-12-01,6596.0,11417.0,1376.0,6209.0,10327.0,1306.0,22.0,36.0,5.0,378.0,390.0,141.0,487.0,846.0,105.0,1352.0,1954.0,186.0,117.0,245.0,37.0,247.0,517.0,39.0,1319.0,2092.0,362.0,856.0,2139.0,195.0,1193.0,1661.0,172.0,239.0,447.0,63.0,387.0,1090.0,70.0
2022-01-01,6400.0,11238.0,1434.0,6021.0,10222.0,1354.0,20.0,40.0,6.0,315.0,428.0,127.0,480.0,897.0,123.0,1357.0,1866.0,256.0,128.0,233.0,62.0,250.0,524.0,36.0,1266.0,2096.0,322.0,831.0,2096.0,164.0,1172.0,1589.0,207.0,201.0,454.0,51.0,379.0,1016.0,80.0
2022-02-01,6806.0,11661.0,1420.0,6412.0,10600.0,1339.0,21.0,32.0,4.0,397.0,387.0,138.0,497.0,830.0,102.0,1494.0,1961.0,222.0,80.0,259.0,11.0,261.0,500.0,43.0,1388.0,2348.0,413.0,883.0,2188.0,145.0,1143.0,1695.0,215.0,248.0,399.0,46.0,394.0,1061.0,81.0
2022-03-01,6607.0,12134.0,1383.0,6218.0,11105.0,1296.0,24.0,41.0,4.0,391.0,445.0,125.0,516.0,898.0,97.0,1335.0,2138.0,250.0,110.0,262.0,17.0,255.0,505.0,38.0,1357.0,2454.0,400.0,819.0,2286.0,135.0,1175.0,1650.0,172.0,235.0,427.0,59.0,389.0,1029.0,87.0
2022-04-01,6614.0,11881.0,1353.0,6222.0,10815.0,1285.0,25.0,40.0,3.0,358.0,441.0,127.0,504.0,1001.0,108.0,1324.0,1896.0,243.0,111.0,273.0,29.0,278.0,560.0,34.0,1307.0,2318.0,315.0,876.0,2213.0,150.0,1214.0,1617.0,209.0,225.0,455.0,67.0,392.0,1066.0,68.0
2022-05-01,6461.0,11483.0,1509.0,6066.0,10421.0,1433.0,25.0,35.0,5.0,384.0,412.0,126.0,449.0,825.0,94.0,1191.0,1919.0,272.0,108.0,247.0,28.0,240.0,555.0,54.0,1344.0,2226.0,397.0,866.0,2199.0,177.0,1240.0,1602.0,206.0,218.0,400.0,75.0,395.0,1063.0,76.0
2022-06-01,6510.0,11256.0,1497.0,6091.0,10272.0,1414.0,27.0,41.0,4.0,376.0,401.0,166.0,476.0,851.0,99.0,1294.0,1627.0,226.0,119.0,254.0,30.0,227.0,645.0,52.0,1277.0,2282.0,405.0,863.0,2161.0,145.0,1222.0,1586.0,226.0,211.0,425.0,62.0,419.0,984.0,83.0
2022-07-01,6470.0,11610.0,1459.0,6020.0,10383.0,1399.0,24.0,36.0,4.0,395.0,375.0,152.0,432.0,898.0,96.0,1281.0,1743.0,291.0,102.0,238.0,37.0,223.0,658.0,28.0,1277.0,2101.0,336.0,888.0,2279.0,167.0,1182.0,1615.0,224.0,216.0,440.0,63.0,450.0,1227.0,60.0
2022-08-01,6443.0,10148.0,1609.0,6049.0,9195.0,1518.0,18.0,24.0,5.0,382.0,334.0,120.0,476.0,841.0,110.0,1363.0,1637.0,340.0,110.0,200.0,55.0,241.0,524.0,56.0,1183.0,1785.0,405.0,842.0,2133.0,135.0,1204.0,1477.0,228.0,229.0,239.0,64.0,394.0,954.0,91.0
2022-09-01,6206.0,10812.0,1443.0,5807.0,9746.0,1352.0,23.0,34.0,7.0,379.0,434.0,195.0,398.0,814.0,90.0,1277.0,1660.0,312.0,96.0,218.0,35.0,236.0,468.0,58.0,1181.0,2134.0,311.0,839.0,2215.0,155.0,1142.0,1524.0,145.0,236.0,245.0,45.0,399.0,1066.0,91.0
2022-10-01,6104.0,10488.0,1539.0,5712.0,9497.0,1468.0,22.0,42.0,4.0,351.0,397.0,164.0,436.0,734.0,100.0,1214.0,1674.0,265.0,101.0,211.0,49.0,218.0,636.0,56.0,1148.0,1797.0,412.0,811.0,2139.0,136.0,1184.0,1578.0,217.0,227.0,291.0,64.0,392.0,991.0,71.0
2022-11-01,6134.0,10619.0,1461.0,5703.0,9583.0,1389.0,23.0,40.0,6.0,334.0,317.0,141.0,422.0,815.0,115.0,1248.0,1568.0,253.0,108.0,221.0,41.0,253.0,564.0,97.0,1126.0,2151.0,337.0,864.0,2063.0,136.0,1115.0,1536.0,205.0,209.0,307.0,58.0,431.0,1035.0,73.0
