date,headline_12m,core_12m,percentile_16,median,percentile_84,normalized,goods,services_ex_housing,housing,goods_common,goods_sector_specific,services_ex_housing_common,services_ex_housing_sector_specific,housing_common,housing_sector_specific
1960-01-01,1.69,2.07,1.19,1.51,1.81,-0.32,0.49,-0.37,-0.42,0.0,0.48,-0.05,-0.34,0.0,-0.43
1960-02-01,1.7,2.19,1.18,1.48,1.78,-0.35,0.56,-0.47,-0.42,0.06,0.47,0.0,-0.49,0.0,-0.42
1960-03-01,1.69,2.07,1.17,1.47,1.78,-0.35,0.54,-0.46,-0.41,0.06,0.45,0.0,-0.49,0.0,-0.42
1960-04-01,1.86,2.0,1.18,1.48,1.79,-0.35,0.46,-0.39,-0.39,0.01,0.43,-0.04,-0.37,0.0,-0.4
1960-05-01,1.91,2.05,1.05,1.34,1.64,-0.48,0.34,-0.43,-0.37,-0.07,0.41,-0.09,-0.34,0.0,-0.37
1960-06-01,1.66,1.8,1.05,1.34,1.6,-0.49,0.28,-0.4,-0.37,-0.1,0.4,-0.11,-0.28,0.0,-0.37
1960-07-01,1.63,1.74,1.22,1.47,1.73,-0.35,0.36,-0.35,-0.35,-0.06,0.41,-0.09,-0.27,0.0,-0.36
1960-08-01,1.66,1.73,1.28,1.54,1.82,-0.28,0.39,-0.3,-0.35,-0.04,0.42,-0.08,-0.23,0.0,-0.35
1960-09-01,1.45,1.54,1.31,1.57,1.83,-0.26,0.4,-0.29,-0.35,-0.04,0.42,-0.07,-0.24,0.0,-0.35
1960-10-01,1.32,1.43,1.14,1.4,1.65,-0.43,0.29,-0.36,-0.34,-0.12,0.41,-0.13,-0.22,0.0,-0.35
1960-11-01,1.6,1.51,1.03,1.29,1.56,-0.53,0.25,-0.43,-0.33,-0.16,0.42,-0.16,-0.25,0.0,-0.34
1960-12-01,1.5,1.33,1.08,1.32,1.58,-0.5,0.29,-0.44,-0.34,-0.13,0.43,-0.14,-0.29,0.0,-0.34
1961-01-01,1.58,1.33,0.79,1.05,1.31,-0.78,0.19,-0.61,-0.34,-0.22,0.42,-0.21,-0.38,0.0,-0.34
1961-02-01,1.57,1.24,0.91,1.15,1.39,-0.68,0.23,-0.54,-0.35,-0.19,0.42,-0.18,-0.33,0.0,-0.34
1961-03-01,1.45,1.26,0.88,1.13,1.38,-0.7,0.22,-0.56,-0.34,-0.2,0.43,-0.19,-0.34,0.0,-0.34
1961-04-01,1.03,1.22,0.95,1.21,1.45,-0.62,0.23,-0.51,-0.33,-0.19,0.43,-0.18,-0.31,0.0,-0.33
1961-05-01,0.98,1.18,1.12,1.37,1.62,-0.46,0.3,-0.41,-0.33,-0.13,0.43,-0.14,-0.25,0.0,-0.33
1961-06-01,0.98,1.28,1.16,1.41,1.65,-0.42,0.24,-0.3,-0.34,-0.18,0.43,-0.18,-0.11,0.0,-0.34
1961-07-01,1.02,1.25,1.14,1.38,1.63,-0.45,0.2,-0.27,-0.35,-0.22,0.43,-0.21,-0.05,0.0,-0.35
1961-08-01,0.93,1.21,1.12,1.37,1.62,-0.45,0.19,-0.26,-0.37,-0.23,0.43,-0.21,-0.04,0.0,-0.36
1961-09-01,0.99,1.33,1.08,1.33,1.57,-0.5,0.18,-0.28,-0.38,-0.24,0.43,-0.22,-0.05,0.0,-0.37
1961-10-01,0.87,1.31,1.03,1.27,1.52,-0.56,0.19,-0.34,-0.38,-0.23,0.43,-0.21,-0.11,0.0,-0.37
1961-11-01,0.53,1.05,1.08,1.33,1.56,-0.49,0.22,-0.32,-0.38,-0.22,0.45,-0.2,-0.1,0.0,-0.37
1961-12-01,0.54,1.17,1.15,1.4,1.64,-0.43,0.25,-0.29,-0.37,-0.2,0.46,-0.19,-0.09,0.0,-0.37
1962-01-01,0.71,1.27,1.39,1.66,1.92,-0.16,0.39,-0.19,-0.35,-0.09,0.47,-0.11,-0.08,0.0,-0.35
1962-02-01,0.89,1.33,1.36,1.61,1.87,-0.21,0.41,-0.26,-0.35,-0.07,0.48,-0.1,-0.16,0.0,-0.35
1962-03-01,1.08,1.54,1.35,1.59,1.84,-0.23,0.42,-0.29,-0.35,-0.07,0.47,-0.1,-0.2,0.0,-0.36
1962-04-01,1.25,1.42,1.09,1.33,1.57,-0.5,0.25,-0.36,-0.36,-0.17,0.43,-0.17,-0.18,0.0,-0.36
1962-05-01,1.26,1.43,0.85,1.09,1.33,-0.74,0.13,-0.49,-0.36,-0.26,0.42,-0.23,-0.24,0.0,-0.35
