date,core_demand_yoy,core_ambiguous_yoy,core_supply_yoy,core_demand_mom,core_ambiguous_mom,core_supply_mom,headline_demand_yoy,headline_ambiguous_yoy,headline_supply_yoy,headline_demand_mom,headline_ambiguous_mom,headline_supply_mom
1969-01-01,,,,1.00552,0.6627029,2.94793,,,,0.8937086,0.5173395,3.359262
1969-02-01,,,,1.228343,0.7927637,2.12429,,,,0.8016546,0.6103315,1.632276
1969-03-01,,,,1.656581,0.6951928,3.330465,,,,1.400759,0.6008376,3.722206
1969-04-01,,,,1.074667,0.5761784,3.06285,,,,1.296727,0.5580357,3.520767
1969-05-01,,,,1.137665,0.3497824,3.381552,,,,0.909965,1.175215,2.818368
1969-06-01,,,,1.369679,0.7933149,2.015581,,,,1.131981,0.6750773,4.094613
1969-07-01,,,,0.4130896,0.824489,4.406578,,,,0.146701,0.6415513,4.560076
1969-08-01,,,,1.327517,0.3934164,1.710533,,,,1.58994,0.3086714,1.476139
1969-09-01,,,,1.210713,0.2422521,3.428525,,,,0.8465942,0.1831943,4.021718
1969-10-01,,,,1.476338,0.5158578,3.185913,,,,1.015297,0.40569,2.719213
1969-11-01,,,,1.280866,0.3254889,3.06196,,,,0.9934475,0.3187642,3.951219
1969-12-01,1.137614,0.5954504,2.954412,0.5194872,0.9768381,3.025946,0.9564638,0.5631685,3.329134,0.4870082,0.7669613,4.343118
1970-01-01,1.255393,0.5674839,2.812362,2.432943,0.3276814,1.239002,1.128304,0.5412221,3.140259,2.982169,0.2544371,1.094925
1970-02-01,1.316857,0.5643845,2.795291,1.974155,0.7550303,1.918111,1.204455,0.5961657,3.157437,1.724277,1.27226,1.839371
1970-03-01,1.242721,0.5383492,2.797878,0.7611431,0.3832411,3.367244,1.139235,0.5676985,3.026915,0.6143119,0.259531,2.142906
1970-04-01,1.275134,0.60395,2.703893,1.465911,1.366644,1.92255,1.131618,0.6202221,3.047049,1.205383,1.189999,3.760183
1970-05-01,1.268208,0.6057382,2.658486,1.054817,0.3709448,2.825838,1.104164,0.5463719,3.061926,0.5793356,0.2876916,2.995275
1970-06-01,1.214755,0.6458402,2.687502,0.7262561,1.276519,2.366671,1.061845,0.5910873,2.828479,0.6230217,1.213609,1.278042
1970-07-01,1.301897,0.6318092,2.524567,1.464079,0.6559,2.423313,1.185656,0.5891562,2.625716,1.639303,0.6184456,2.101071
1970-08-01,1.296723,0.6508112,2.571201,1.263358,0.6210883,2.276228,1.082563,0.6342888,2.665102,0.3478763,0.8504995,1.953266
1970-09-01,1.286507,0.7148385,2.531004,1.084011,1.010122,2.947012,1.156759,0.6919146,2.56362,1.7399,0.8736857,2.793088
1970-10-01,1.309717,0.7519603,2.541554,1.755395,0.9616383,3.315834,1.19462,0.7241607,2.652526,1.470811,0.7918267,3.80495
1970-11-01,1.307845,0.7919788,2.635479,1.25926,0.8045423,4.200548,1.197541,0.7539868,2.58199,1.029346,0.6759445,3.086483
1970-12-01,1.502359,0.7608891,2.595067,2.875398,0.6035668,2.528033,1.356387,0.7544875,2.398002,2.406786,0.7728357,2.099215
1971-01-01,1.445508,0.7612705,2.697611,1.74253,0.3319933,2.474534,1.112366,0.7557154,2.475464,0.0341404,0.2693077,2.027407
1971-02-01,1.468229,0.7014871,2.729535,2.251934,0.0403544,2.295763,1.07553,0.6522655,2.503705,1.279177,0.0314373,2.172149
1971-03-01,1.521683,0.6862998,2.635205,1.405551,0.2015229,2.214822,1.087904,0.6492257,2.575219,0.7635509,0.2232391,2.999044
1971-04-01,1.512754,0.6236553,2.684009,1.356891,0.612483,2.505584,1.076043,0.5912781,2.525783,1.061748,0.4929361,3.154765
1971-05-01,1.574385,0.6522894,2.677906,1.796995,0.7146533,2.752191,1.155889,0.6137967,2.519488,1.542619,0.5577047,2.926692
1971-06-01,1.598144,0.5962133,2.744055,1.010399,0.6011774,3.17343,1.176345,0.5632639,2.736604,0.8688264,0.6053404,3.909923
1971-07-01,1.555824,0.6605625,2.730501,0.9505594,1.431273,2.246904,1.123381,0.5694866,2.724981,0.9952728,0.6933309,1.949595
1971-08-01,1.545572,0.6414175,2.560627,1.13989,0.3915021,0.2206469,1.166451,0.5310416,2.755165,0.8633757,0.388553,2.311116
1971-09-01,1.562858,0.5074739,2.434433,1.291466,-0.5911817,1.416013,1.12015,0.418222,2.621329,1.180378,-0.4765973,1.17686
1971-10-01,1.444697,0.4471064,2.27114,0.3331672,0.2365034,1.346929,1.034749,0.3696918,2.408528,0.440593,0.209076,1.233487
1971-11-01,1.385713,0.4100204,2.076221,0.5500052,0.3585506,1.834204,0.9961009,0.3407359,2.285981,0.5642951,0.3279727,1.60673
1971-12-01,1.257408,0.3643394,2.0702,1.31525,0.0557563,2.455228,1.01949,0.2803683,2.281761,2.696299,0.0476976,2.047891
1972-01-01,1.218367,0.4081368,2.118528,1.267377,0.8587821,3.058632,1.065052,0.3144145,2.423763,0.5747854,0.6784559,3.746912
1972-02-01,1.054263,0.4619122,2.121019,0.2689462,0.6850238,2.337871,1.158321,0.3457189,2.40469,2.41837,0.4066805,1.951286
1972-03-01,1.0113,0.4840612,2.022231,0.8898298,0.4667801,1.029071,1.159096,0.364244,2.196181,0.7742592,0.4457712,0.4960485
1972-04-01,0.9794831,0.4626989,1.938772,0.9747142,0.3565463,1.498796,1.103199,0.3406286,2.041233,0.3915301,0.2093388,1.282443
1972-05-01,0.8925796,0.4706383,1.816308,0.7480985,0.8101678,1.272083,1.046324,0.350678,1.891208,0.8556075,0.678421,1.107228
1972-06-01,0.9059072,0.435698,1.641119,1.172658,0.1820525,1.054498,1.035678,0.3121614,1.647985,0.7421313,0.1433926,0.9555528
1972-07-01,0.8733273,0.3639817,1.648581,0.5592546,0.5656208,2.342079,1.004088,0.2922893,1.754522,0.6153374,0.4540913,3.25126
1972-08-01,0.8238316,0.3787279,1.749277,0.5440187,0.5685059,1.43505,1.08217,0.2972841,1.669502,1.808388,0.4485275,1.281125
1972-09-01,0.8402467,0.5073905,1.764846,1.490524,0.9486253,1.603745,1.09024,0.5562425,1.694643,1.278051,2.651022,1.479682
